time,open,high,low,close,volume
2023-11-30 07:00:00,8.75,8.87,8.71,8.71,1947600
2023-12-01 07:00:00,8.79,8.79,8.67,8.71,1388700
2023-12-04 07:00:00,8.81,9.01,8.79,8.87,3368400
2023-12-05 07:00:00,9.0,9.0,8.89,8.97,2545400
2023-12-06 07:00:00,8.99,9.51,8.99,9.41,5637900
2023-12-07 07:00:00,9.49,9.49,9.15,9.31,4177800
2023-12-08 07:00:00,9.32,9.41,9.12,9.2,2541300
2023-12-11 07:00:00,9.24,9.38,9.24,9.29,1423600
2023-12-12 07:00:00,9.4,9.4,9.24,9.27,1315700
2023-12-13 07:00:00,9.31,9.34,9.03,9.09,2381000
2023-12-14 07:00:00,9.2,9.2,8.92,8.95,2903100
2023-12-15 07:00:00,8.96,9.1,8.88,8.97,1761300
2023-12-18 07:00:00,8.88,9.02,8.65,8.65,2270100
2023-12-19 07:00:00,8.7,8.8,8.69,8.78,1578200
2023-12-20 07:00:00,8.83,8.9,8.78,8.88,1029500
2023-12-21 07:00:00,8.82,8.88,8.78,8.87,556100
2023-12-22 07:00:00,8.88,8.98,8.86,8.87,1226100
2023-12-25 07:00:00,8.88,8.98,8.88,8.96,1554200
2023-12-26 07:00:00,8.98,9.02,8.93,8.94,1322600
2023-12-27 07:00:00,8.97,9.11,8.97,9.03,1999000
2023-12-28 07:00:00,9.05,9.16,9.03,9.05,1452800
2023-12-29 07:00:00,9.06,9.17,9.06,9.07,1660900
2024-01-02 07:00:00,9.11,9.16,9.02,9.06,1693400
2024-01-03 07:00:00,9.06,9.36,9.02,9.24,2536300
2024-01-04 07:00:00,9.27,9.34,9.21,9.22,2347000
2024-01-05 07:00:00,9.22,9.29,9.1,9.15,2233000
2024-01-08 07:00:00,9.21,9.34,9.16,9.31,4264900
2024-01-09 07:00:00,9.38,9.43,9.28,9.29,3021100
2024-01-10 07:00:00,9.29,9.41,9.28,9.3,3360200
2024-01-11 07:00:00,9.34,9.49,9.3,9.35,2880100
2024-01-12 07:00:00,9.3,9.34,9.11,9.12,4287800
2024-01-15 07:00:00,9.16,9.25,9.03,9.03,2659500
2024-01-16 07:00:00,9.04,9.12,9.01,9.12,1117000
2024-01-17 07:00:00,9.22,9.23,9.13,9.13,1551500
2024-01-18 07:00:00,9.15,9.19,9.07,9.12,1381500
2024-01-19 07:00:00,9.19,9.19,9.1,9.1,1902700
2024-01-22 07:00:00,9.15,9.24,9.13,9.23,2205400
2024-01-23 07:00:00,9.27,9.28,9.2,9.23,1523500
2024-01-24 07:00:00,9.23,9.27,9.21,9.24,1710100
2024-01-25 07:00:00,9.25,9.84,9.25,9.7,10056800
2024-01-26 07:00:00,9.7,9.79,9.6,9.7,3892800
2024-01-29 07:00:00,9.75,10.03,9.7,9.99,8131400
2024-01-30 07:00:00,9.94,10.08,9.84,9.94,4403700
2024-01-31 07:00:00,9.99,10.03,9.6,9.7,5135200
2024-02-01 07:00:00,9.75,10.37,9.7,10.37,8434900
2024-02-02 07:00:00,10.37,10.42,10.18,10.18,3614600
2024-02-05 07:00:00,10.18,10.51,10.13,10.23,4235500
2024-02-06 07:00:00,10.23,10.42,10.13,10.23,2563200
2024-02-07 07:00:00,10.27,10.37,10.23,10.27,2263000
2024-02-15 07:00:00,10.42,10.66,10.37,10.42,5038100
2024-02-16 07:00:00,10.47,10.56,10.37,10.47,4359800
2024-02-19 07:00:00,10.47,10.51,10.32,10.42,5717300
2024-02-20 07:00:00,10.42,10.51,10.32,10.47,3651800
2024-02-21 07:00:00,10.51,10.95,10.42,10.85,9799900
2024-02-22 07:00:00,10.95,10.95,10.66,10.66,3574700
2024-02-23 07:00:00,10.71,10.8,10.27,10.37,6690300
2024-02-26 07:00:00,10.37,10.85,10.27,10.8,6508300
2024-02-27 07:00:00,10.85,10.85,10.71,10.8,3686600
2024-02-28 07:00:00,10.8,10.95,10.66,10.75,4032300
2024-02-29 07:00:00,10.8,10.85,10.51,10.85,5638700
2024-03-01 07:00:00,10.95,10.95,10.66,10.8,3427700
2024-03-04 07:00:00,10.85,10.9,10.66,10.71,3695800
2024-03-05 07:00:00,10.71,11.04,10.66,10.8,5499900
2024-03-06 07:00:00,10.85,10.85,10.61,10.66,2448600
2024-03-07 07:00:00,10.75,10.75,10.61,10.71,2582700
