time,open,high,low,close,volume
2024-02-16 07:00:00,6.73,6.73,6.57,6.73,1345596
2024-02-19 07:00:00,6.65,6.73,6.57,6.65,1383385
2024-02-20 07:00:00,6.65,6.65,6.57,6.65,862573
2024-02-21 07:00:00,6.65,6.73,6.57,6.65,1458861
2024-02-22 07:00:00,6.65,6.73,6.57,6.65,1874476
2024-02-23 07:00:00,6.65,6.81,6.57,6.65,4788089
2024-02-26 07:00:00,6.65,6.73,6.57,6.65,683508
2024-02-27 07:00:00,6.65,6.65,6.49,6.57,1621447
2024-02-28 07:00:00,6.65,6.65,6.57,6.65,1048821
2024-02-29 07:00:00,6.65,6.65,6.57,6.57,577321
2024-03-01 07:00:00,6.57,6.81,6.57,6.65,3380881
2024-03-04 07:00:00,6.65,6.73,6.57,6.65,826578
2024-03-05 07:00:00,6.65,6.65,6.49,6.65,2399183
2024-03-06 07:00:00,6.65,6.65,6.49,6.57,2610300
2024-03-07 07:00:00,6.49,6.57,6.42,6.57,1630431
2024-03-08 07:00:00,6.57,6.57,6.42,6.49,1116536
2024-03-11 07:00:00,6.49,6.49,6.34,6.42,1231759
2024-03-12 07:00:00,6.42,6.49,6.34,6.42,554564
2024-03-13 07:00:00,6.42,6.49,6.34,6.49,1277562
2024-03-14 07:00:00,6.42,6.49,6.34,6.49,929536
2024-03-15 07:00:00,6.42,6.49,6.34,6.49,1116857
2024-03-18 07:00:00,6.49,6.49,6.26,6.26,1931497
2024-03-19 07:00:00,6.34,6.42,6.26,6.26,515732
2024-03-20 07:00:00,6.34,6.42,6.26,6.34,396002
2024-03-21 07:00:00,6.34,6.42,6.34,6.34,1114370
2024-03-22 07:00:00,6.34,6.49,6.34,6.42,1526277
2024-03-25 07:00:00,6.42,6.42,6.26,6.42,1164813
2024-03-26 07:00:00,6.34,6.42,6.26,6.42,1074368
2024-03-27 07:00:00,6.34,6.42,6.26,6.34,955763
2024-03-28 07:00:00,6.34,6.42,6.26,6.42,2444673
2024-03-29 07:00:00,6.42,6.42,6.26,6.42,1077938
2024-04-01 07:00:00,6.34,6.42,6.26,6.34,997861
2024-04-02 07:00:00,6.34,6.34,6.18,6.34,1317390
2024-04-03 07:00:00,6.26,6.34,6.26,6.34,1327146
2024-04-04 07:00:00,6.34,6.34,6.18,6.34,1112154
2024-04-05 07:00:00,6.34,6.34,6.18,6.26,974311
2024-04-08 07:00:00,6.26,6.26,6.18,6.26,817717
2024-04-09 07:00:00,6.18,6.26,6.1,6.26,1300250
2024-04-10 07:00:00,6.26,6.49,6.18,6.42,4682103
