time,open,high,low,close,volume
2024-01-29,22.2,22.82,22.2,22.49,291797
2024-01-30,22.24,22.45,21.66,22.45,241900
2024-01-31,22.45,22.45,21.25,21.25,544040
2024-02-01,21.33,21.66,21.33,21.41,157970
2024-02-02,21.25,21.5,21.0,21.0,350538
2024-02-05,20.92,21.29,20.92,21.16,96086
2024-02-06,21.08,21.29,21.0,21.25,138801
2024-02-07,21.25,21.66,21.25,21.25,124216
2024-02-15,21.29,21.37,20.83,21.29,102261
2024-02-16,21.29,21.74,20.67,21.7,237162
2024-02-19,21.83,22.07,21.62,21.83,350712
2024-02-20,21.95,22.32,21.74,22.16,629544
2024-02-21,22.12,22.49,21.7,22.07,436902
2024-02-22,22.07,22.28,21.74,21.78,179075
2024-02-23,21.78,22.03,21.16,21.25,238677
2024-02-26,21.29,21.5,21.25,21.37,151805
2024-02-27,21.66,22.16,21.5,21.91,194811
2024-02-28,22.16,23.02,21.91,22.57,623498
2024-02-29,22.57,22.69,22.24,22.32,187672
2024-03-01,22.36,22.74,22.07,22.49,352777
2024-03-04,22.49,22.49,22.07,22.16,451459
2024-03-05,22.16,22.65,22.07,22.65,390708
2024-03-06,22.65,22.74,22.4,22.57,292040
2024-03-07,22.53,24.14,22.53,24.14,2022293
2024-03-08,24.22,24.76,23.89,24.22,651276
2024-03-11,24.72,25.92,24.35,25.71,1035011
2024-03-12,25.63,26.29,25.38,25.38,850155
2024-03-13,25.67,27.12,25.42,26.74,711855
2024-03-14,26.74,27.03,26.04,26.54,382632
2024-03-15,26.54,26.54,25.71,26.37,291178
2024-03-18,26.12,27.28,24.55,24.55,991468
2024-03-19,24.47,25.22,24.06,24.8,239587
2024-03-20,24.68,25.38,24.68,25.05,198428
2024-03-21,25.22,25.59,24.88,25.46,394692
2024-03-22,25.88,25.88,24.64,24.8,494303
2024-03-25,25.13,25.22,24.26,24.26,511865
2024-03-26,24.31,25.05,24.22,24.39,239854
2024-03-27,24.39,24.84,24.39,24.8,261374
2024-03-28,25.22,25.22,24.8,25.17,319995
2024-03-29,25.3,25.79,25.17,25.17,521618
2024-04-01,25.17,25.17,24.76,24.76,193571
2024-04-02,24.64,25.55,24.64,25.55,412367
2024-04-03,25.84,27.32,25.84,27.12,1094878
2024-04-04,27.45,27.45,26.17,26.7,244866
2024-04-05,26.04,26.83,25.05,25.05,1024116
2024-04-08,25.05,25.05,24.14,24.14,506770
2024-04-09,24.22,24.68,24.22,24.64,182866
2024-04-10,24.64,24.97,24.31,24.47,156763
2024-04-11,23.98,24.72,23.98,24.6,214711
2024-04-12,24.93,24.93,24.35,24.6,144935
2024-04-15,24.6,25.17,22.9,23.98,357522
2024-04-16,23.81,23.98,22.82,23.56,278410
2024-04-17,23.07,23.93,22.86,23.64,214708
2024-04-19,22.49,23.15,22.16,22.16,239274
2024-04-22,22.98,22.98,22.32,22.61,109483
2024-04-23,22.61,22.74,22.24,22.61,61161
2024-04-24,23.15,23.48,22.74,23.23,166479
2024-04-25,23.6,23.6,22.94,23.31,101824
2024-04-26,22.98,23.48,22.49,22.49,84154
