time,open,high,low,close,volume
2023-12-01 07:00:00,68.82,69.22,68.66,68.98,95800
2023-12-04 07:00:00,69.61,72.86,69.3,72.86,430800
2023-12-05 07:00:00,73.49,73.49,71.43,71.91,175400
2023-12-06 07:00:00,71.91,72.54,71.28,72.54,130800
2023-12-07 07:00:00,72.62,72.94,70.4,72.07,272400
2023-12-08 07:00:00,72.07,72.78,71.2,72.78,140400
2023-12-11 07:00:00,73.02,73.02,71.75,72.22,95600
2023-12-12 07:00:00,72.3,72.7,71.67,72.3,79300
2023-12-13 07:00:00,72.46,72.46,71.35,71.59,139600
2023-12-14 07:00:00,71.59,71.91,70.8,71.2,113200
2023-12-15 07:00:00,70.96,71.28,70.48,70.48,82000
2023-12-18 07:00:00,70.48,70.72,69.69,69.77,86100
2023-12-19 07:00:00,69.69,69.93,68.98,69.85,84000
2023-12-20 07:00:00,70.01,73.09,69.93,73.09,356000
2023-12-21 07:00:00,73.17,73.96,72.78,73.96,141100
2023-12-22 07:00:00,74.04,79.11,73.41,79.11,633600
2023-12-25 07:00:00,80.69,83.38,79.11,83.38,371900
2023-12-26 07:00:00,83.06,84.25,81.48,83.69,230900
2023-12-27 07:00:00,83.69,83.93,81.88,83.85,236100
2023-12-28 07:00:00,83.93,86.94,83.93,84.01,247000
2023-12-29 07:00:00,83.77,83.77,81.48,82.51,236300
2024-01-02 07:00:00,81.72,86.62,81.72,86.23,236600
2024-01-03 07:00:00,86.07,86.38,84.64,84.64,84500
2024-01-04 07:00:00,84.8,85.83,82.59,82.59,297500
2024-01-05 07:00:00,82.59,82.59,80.77,81.95,221100
2024-01-08 07:00:00,82.27,84.56,81.72,83.85,237600
2024-01-09 07:00:00,83.85,84.56,81.64,82.98,67000
2024-01-10 07:00:00,81.95,83.06,81.95,82.43,81700
2024-01-11 07:00:00,82.43,84.33,82.43,84.33,208100
2024-01-12 07:00:00,82.9,84.33,82.27,84.09,124900
2024-01-15 07:00:00,84.25,87.81,84.25,84.72,225800
2024-01-16 07:00:00,84.8,85.44,83.77,85.44,73400
2024-01-17 07:00:00,85.51,86.86,84.64,86.23,166000
2024-01-18 07:00:00,85.44,86.15,85.04,86.15,86700
2024-01-19 07:00:00,85.12,86.07,84.8,85.44,94200
2024-01-22 07:00:00,85.28,89.63,85.04,89.63,204800
2024-01-23 07:00:00,89.39,89.71,87.49,88.6,83700
2024-01-24 07:00:00,87.89,87.97,85.44,86.07,117400
2024-01-25 07:00:00,86.07,86.86,80.69,82.59,356500
2024-01-26 07:00:00,82.98,84.56,80.69,83.06,380100
2024-01-29 07:00:00,82.43,83.85,81.95,82.03,141600
2024-01-30 07:00:00,83.06,83.06,81.72,82.11,115200
2024-01-31 07:00:00,82.9,82.9,81.16,81.64,141100
2024-02-01 07:00:00,82.98,85.12,81.8,84.72,279600
2024-02-02 07:00:00,85.12,85.2,83.54,84.09,134200
2024-02-05 07:00:00,83.85,85.91,83.06,85.44,219100
2024-02-06 07:00:00,86.3,86.3,84.09,84.17,130600
2024-02-07 07:00:00,84.17,85.12,83.85,83.85,118800
2024-02-15 07:00:00,84.72,84.72,82.19,82.27,265100
2024-02-16 07:00:00,83.06,83.38,82.43,82.67,87000
2024-02-19 07:00:00,82.67,82.82,81.48,82.03,251300
