time,open,high,low,close,volume
2023-11-27 07:00:00,24.24,24.33,23.47,23.57,113605
2023-11-28 07:00:00,23.37,23.76,21.65,23.76,120519
2023-11-29 07:00:00,23.85,24.04,23.85,23.95,31520
2023-11-30 07:00:00,24.04,24.24,23.57,23.66,94560
2023-12-01 07:00:00,23.76,24.14,23.66,23.95,83931
2023-12-04 07:00:00,23.95,25.0,23.95,24.91,661842
2023-12-05 07:00:00,25.1,25.19,24.72,24.81,240834
2023-12-06 07:00:00,24.72,25.19,24.72,25.0,298213
2023-12-07 07:00:00,25.1,25.58,24.14,24.43,586836
2023-12-08 07:00:00,24.62,24.62,24.24,24.24,200868
2023-12-11 07:00:00,24.24,24.62,24.04,24.33,207727
2023-12-12 07:00:00,24.33,24.62,24.24,24.33,209602
2023-12-13 07:00:00,24.62,24.62,23.95,24.04,145674
2023-12-14 07:00:00,24.04,24.33,23.95,23.95,98200
2023-12-15 07:00:00,24.04,24.43,23.95,24.04,156650
2023-12-18 07:00:00,24.04,24.24,23.95,24.14,60000
2023-12-19 07:00:00,24.14,24.33,23.95,24.33,90067
2023-12-20 07:00:00,24.52,24.62,24.24,24.43,61620
2023-12-21 07:00:00,24.43,24.43,23.76,24.33,114220
2023-12-22 07:00:00,24.33,24.43,24.04,24.04,157326
2023-12-25 07:00:00,24.04,24.33,23.95,24.33,140600
2023-12-26 07:00:00,24.52,24.52,24.24,24.33,87641
2023-12-27 07:00:00,24.43,24.52,24.33,24.33,100901
2023-12-28 07:00:00,24.33,24.52,24.33,24.33,174305
2023-12-29 07:00:00,24.52,24.62,24.33,24.33,100800
2024-01-02 07:00:00,24.43,24.52,23.57,23.95,628895
2024-01-03 07:00:00,23.95,24.24,23.95,24.14,134650
2024-01-04 07:00:00,24.14,24.62,24.14,24.14,319015
2024-01-05 07:00:00,24.24,24.43,24.24,24.33,81937
2024-01-08 07:00:00,24.33,25.1,24.33,25.0,390032
2024-01-09 07:00:00,25.1,25.1,24.72,24.81,188530
2024-01-10 07:00:00,24.81,24.81,24.33,24.43,143789
2024-01-11 07:00:00,24.62,25.0,24.33,24.91,194760
2024-01-12 07:00:00,24.91,24.91,24.33,24.52,154058
2024-01-15 07:00:00,24.52,24.72,24.04,24.04,138307
2024-01-16 07:00:00,24.04,24.43,23.85,24.43,153902
2024-01-17 07:00:00,24.33,25.48,24.33,24.81,391258
2024-01-18 07:00:00,25.0,25.0,24.62,24.81,83622
2024-01-19 07:00:00,24.81,25.1,24.52,24.62,161060
2024-01-22 07:00:00,24.62,24.91,24.43,24.72,136047
2024-01-23 07:00:00,24.72,24.72,24.43,24.72,95676
2024-01-24 07:00:00,24.81,25.19,24.72,24.81,441886
2024-01-25 07:00:00,24.91,25.0,24.81,24.91,151411
2024-01-26 07:00:00,24.91,25.0,24.81,24.91,117504
2024-01-29 07:00:00,25.0,25.19,24.91,24.91,191050
2024-01-30 07:00:00,24.91,25.1,24.72,25.1,126555
2024-01-31 07:00:00,25.19,25.96,24.91,24.91,396658
2024-02-01 07:00:00,24.91,25.29,24.91,25.19,140315
2024-02-02 07:00:00,25.29,25.58,25.29,25.29,134230
2024-02-05 07:00:00,25.29,25.39,24.52,25.0,256615
2024-02-06 07:00:00,25.67,25.67,24.91,24.91,349910
2024-02-07 07:00:00,25.1,25.48,25.0,25.48,128502
2024-02-15 07:00:00,25.48,25.77,25.0,25.19,534795
2024-02-16 07:00:00,25.19,25.39,25.1,25.19,208601
2024-02-19 07:00:00,25.86,25.86,24.91,25.29,348992
2024-02-20 07:00:00,25.29,25.86,25.29,25.58,500854
2024-02-21 07:00:00,25.58,25.77,25.19,25.58,254330
2024-02-22 07:00:00,25.58,25.58,25.29,25.29,218550
2024-02-23 07:00:00,25.29,25.58,24.43,24.62,455661
2024-02-26 07:00:00,24.62,25.39,24.52,25.29,310282
2024-02-27 07:00:00,25.48,25.48,25.1,25.29,281320
2024-02-28 07:00:00,25.39,25.58,25.1,25.29,171868
2024-02-29 07:00:00,25.29,26.34,25.29,26.34,1238411
2024-03-01 07:00:00,26.34,27.3,26.34,27.01,751688
2024-03-04 07:00:00,27.01,27.78,27.01,27.01,506510
2024-03-05 07:00:00,26.82,27.97,26.54,27.78,630872
2024-03-06 07:00:00,27.78,30.56,27.69,30.56,1944322
2024-03-07 07:00:00,30.65,32.19,30.65,31.61,1395458
2024-03-08 07:00:00,31.61,32.28,30.56,30.94,1001293
2024-03-11 07:00:00,30.94,31.61,30.46,30.85,723661
2024-03-12 07:00:00,30.85,31.8,30.65,31.13,878097
2024-03-13 07:00:00,31.33,33.05,30.75,32.57,1629973
2024-03-14 07:00:00,32.86,32.86,31.23,31.8,880040
2024-03-15 07:00:00,31.8,31.8,30.37,31.33,1053769
2024-03-18 07:00:00,31.33,31.42,28.55,29.41,1275108
2024-03-19 07:00:00,29.51,30.46,29.41,29.98,436422
2024-03-20 07:00:00,29.98,30.56,29.51,30.56,486483
2024-03-21 07:00:00,30.85,31.8,30.46,31.04,648261
2024-03-22 07:00:00,31.04,32.09,30.56,31.23,747181
2024-03-25 07:00:00,31.33,31.42,30.08,30.85,600220
2024-03-26 07:00:00,30.65,30.85,30.08,30.85,520138
2024-03-27 07:00:00,30.85,31.33,30.18,30.65,400350
2024-03-28 07:00:00,30.65,33.05,30.65,32.47,1587624
2024-03-29 07:00:00,32.57,32.86,31.9,32.09,461871
2024-04-01 07:00:00,32.09,32.19,31.23,31.71,789288
2024-04-02 07:00:00,31.71,32.09,31.23,32.0,743102
