time,open,high,low,close,volume
2024-03-08 07:00:00,29.83,30.76,29.62,30.42,11193600
2024-03-11 07:00:00,30.42,30.93,29.45,29.96,4931500
2024-03-12 07:00:00,30.04,30.3,29.49,29.66,5741000
2024-03-13 07:00:00,30.08,31.1,29.66,30.81,8408700
2024-03-14 07:00:00,30.85,30.98,30.08,30.3,5945500
2024-03-15 07:00:00,30.26,30.51,29.96,30.08,4699600
2024-03-18 07:00:00,30.13,30.34,28.39,28.9,9159700
2024-03-19 07:00:00,29.15,29.2,28.69,28.81,3452300
2024-03-20 07:00:00,28.98,29.32,28.64,29.11,3043300
2024-03-21 07:00:00,29.32,29.66,29.2,29.45,3592200
2024-03-22 07:00:00,29.79,29.83,29.24,29.66,3882900
2024-03-25 07:00:00,29.92,30.0,29.11,29.2,3223200
2024-03-26 07:00:00,29.49,29.96,29.24,29.75,2643600
2024-03-27 07:00:00,29.96,29.96,29.62,29.79,2328800
2024-03-28 07:00:00,29.96,30.26,29.66,30.13,4660800
2024-03-29 07:00:00,30.26,30.34,29.75,29.79,1895900
2024-04-01 07:00:00,29.79,29.83,29.24,29.28,4246600
2024-04-02 07:00:00,29.36,29.58,29.03,29.45,2746100
2024-04-03 07:00:00,29.58,30.85,29.58,30.08,8687100
2024-04-04 07:00:00,30.47,30.47,29.58,30.0,3425200
2024-04-05 07:00:00,29.7,29.92,29.07,29.07,3189300
2024-04-08 07:00:00,29.15,29.24,28.39,28.39,3250100
2024-04-09 07:00:00,28.48,28.64,28.14,28.6,2167900
2024-04-10 07:00:00,28.73,28.73,28.31,28.31,1465800
2024-04-11 07:00:00,28.14,28.39,27.8,28.31,2107800
2024-04-12 07:00:00,28.39,28.48,28.18,28.43,1616200
2024-04-15 07:00:00,28.56,29.07,26.48,26.53,3243600
2024-04-16 07:00:00,26.7,26.86,26.02,26.82,3524900
2024-04-17 07:00:00,27.08,27.12,26.36,26.48,1694400
2024-04-19 07:00:00,26.14,26.61,25.3,25.85,3021100
2024-04-22 07:00:00,26.27,26.27,25.81,25.93,1585300
2024-04-23 07:00:00,26.02,26.23,25.42,25.51,1889400
2024-04-24 07:00:00,25.85,26.27,25.64,26.27,1925000
2024-04-25 07:00:00,26.1,26.27,25.81,25.98,960000
2024-04-26 07:00:00,25.55,26.36,25.55,26.02,1924400
2024-05-02 07:00:00,26.1,27.16,26.1,27.16,3002900
2024-05-03 07:00:00,27.37,27.37,26.78,27.12,1991900
2024-05-06 07:00:00,27.2,27.8,27.12,27.8,2776500
2024-05-07 07:00:00,27.88,28.64,27.8,28.22,4871800
2024-05-08 07:00:00,27.97,29.32,27.58,28.94,6823700
2024-05-09 07:00:00,29.36,29.58,28.77,28.98,4236200
2024-05-10 07:00:00,28.98,29.49,28.39,29.28,3784000
2024-05-13 07:00:00,29.49,29.49,28.73,29.07,2271700
2024-05-14 07:00:00,29.28,29.28,28.73,29.15,2194500
2024-05-15 07:00:00,29.32,30.76,29.03,30.68,10753600
2024-05-16 07:00:00,30.93,31.48,30.59,31.44,8558500
2024-05-17 07:00:00,31.31,31.91,30.98,31.61,4962000
2024-05-20 07:00:00,32.2,32.2,31.23,31.23,4192100
2024-05-21 07:00:00,31.23,33.01,30.93,32.88,10015300
2024-05-22 07:00:00,33.05,33.26,32.25,32.84,4071800
2024-05-23 07:00:00,32.84,33.73,32.46,33.14,5073900
2024-05-24 07:00:00,32.67,32.97,30.98,32.03,9127000
2024-05-27 07:00:00,32.37,33.05,31.7,32.54,4721400
2024-05-28 07:00:00,32.58,32.8,32.37,32.63,3537100
2024-05-29 07:00:00,32.8,33.35,31.91,32.2,9376300
2024-05-30 07:00:00,31.61,31.99,30.93,31.95,10134000
2024-05-31 07:00:00,31.86,32.16,31.57,31.82,3245600
2024-06-03 07:00:00,32.08,33.94,31.82,32.97,10790200
2024-06-04 07:00:00,32.97,33.18,32.5,32.71,4295300
2024-06-05 07:00:00,32.88,32.97,31.99,32.2,6105600
2024-06-06 07:00:00,32.2,32.84,32.03,32.5,4200100
2024-06-07 07:00:00,32.88,33.69,32.58,33.14,9058900
2024-06-10 07:00:00,33.48,33.48,32.71,32.84,3595200
2024-06-11 07:00:00,33.14,33.9,33.01,33.26,6790100
2024-06-12 07:00:00,33.52,33.77,32.8,33.43,4158900
2024-06-13 07:00:00,33.52,33.77,33.01,33.05,4388500
2024-06-14 07:00:00,33.09,33.31,31.78,31.78,9203900
2024-06-17 07:00:00,31.82,32.37,31.82,32.03,4578500
2024-06-18 07:00:00,32.2,32.8,32.2,32.58,2921700
2024-06-19 07:00:00,32.8,34.45,32.76,33.31,9192900
2024-06-20 07:00:00,33.73,33.73,32.84,33.31,3625600
2024-06-21 07:00:00,33.39,33.94,33.14,33.26,5453600
2024-06-24 07:00:00,33.04,33.44,31.61,31.92,7069000
2024-06-25 07:00:00,32.1,32.42,31.7,32.37,2855300
2024-06-26 07:00:00,32.37,32.86,31.97,32.86,2775600
