time,open,high,low,close,volume
2024-04-08 07:00:00,92.61,93.08,89.29,89.68,3268100
2024-04-09 07:00:00,89.68,90.91,89.68,90.45,1164100
2024-04-10 07:00:00,90.91,91.53,90.06,91.14,1440300
2024-04-11 07:00:00,90.45,93.15,90.22,92.69,1522700
2024-04-12 07:00:00,93.15,93.15,91.84,92.15,1073200
2024-04-15 07:00:00,91.84,94.24,85.81,85.89,2989100
2024-04-16 07:00:00,83.49,88.36,83.49,87.74,4536300
2024-04-17 07:00:00,88.36,88.52,85.89,85.89,1552300
2024-04-19 07:00:00,84.26,86.89,82.72,83.49,3122100
2024-04-22 07:00:00,85.04,85.81,83.57,85.04,2055900
2024-04-23 07:00:00,85.66,85.66,83.49,85.04,1668500
2024-04-24 07:00:00,85.35,89.91,85.35,89.91,3029200
2024-04-25 07:00:00,89.91,89.91,88.44,89.75,1539200
2024-04-26 07:00:00,88.52,93.15,88.52,91.84,3739600
2024-05-02 07:00:00,91.84,93.54,90.45,92.92,2359700
2024-05-03 07:00:00,93.54,94.31,91.53,92.0,2244100
2024-05-06 07:00:00,92.77,95.47,92.3,94.7,2663000
2024-05-07 07:00:00,94.86,97.1,94.7,94.7,2723700
2024-05-08 07:00:00,93.54,95.47,93.08,95.47,3332600
2024-05-09 07:00:00,96.63,101.27,96.25,96.48,6905300
2024-05-10 07:00:00,96.63,97.48,94.93,95.7,2904100
2024-05-13 07:00:00,95.7,95.78,92.77,94.78,3378200
2024-05-14 07:00:00,94.7,96.32,93.7,96.09,2481400
2024-05-15 07:00:00,97.1,98.1,95.7,97.48,3249800
2024-05-16 07:00:00,98.18,99.18,97.1,97.41,2987700
2024-05-17 07:00:00,97.41,98.64,97.02,97.56,2188600
2024-05-20 07:00:00,98.8,98.8,96.32,96.32,3418300
2024-05-21 07:00:00,95.94,98.18,95.09,97.41,2530800
2024-05-22 07:00:00,97.95,98.49,95.47,97.33,2836300
2024-05-23 07:00:00,97.02,99.65,96.48,98.64,3351000
2024-05-24 07:00:00,98.57,101.66,96.63,98.18,7236900
2024-05-27 07:00:00,97.48,98.18,96.02,97.64,2671100
2024-05-28 07:00:00,97.79,98.95,97.02,98.1,2316900
2024-05-29 07:00:00,98.26,100.88,97.02,97.87,3942300
