time,open,high,low,close,volume
2023-11-21 07:00:00,38.71,39.84,38.34,39.84,1838300
2023-11-22 07:00:00,39.91,39.99,39.24,39.84,1146400
2023-11-23 07:00:00,39.84,40.22,37.21,37.21,1594200
2023-11-24 07:00:00,37.47,38.19,36.83,38.19,1281500
2023-11-27 07:00:00,37.96,38.34,37.43,37.43,596900
2023-11-28 07:00:00,37.43,37.51,36.08,37.4,1242000
2023-11-29 07:00:00,37.51,38.94,37.47,38.71,1105600
2023-11-30 07:00:00,38.71,39.09,37.96,37.96,1130300
2023-12-01 07:00:00,38.19,39.24,37.32,38.71,1199300
2023-12-04 07:00:00,39.39,40.67,38.94,40.14,2202800
2023-12-05 07:00:00,40.14,40.59,39.09,39.09,1527000
2023-12-06 07:00:00,39.16,40.59,39.09,40.52,2303600
2023-12-07 07:00:00,40.89,40.89,38.86,39.84,1919100
2023-12-08 07:00:00,39.99,41.19,39.61,39.99,1940700
2023-12-11 07:00:00,39.99,40.37,39.46,39.99,836900
2023-12-12 07:00:00,40.14,40.22,39.46,39.54,1068800
2023-12-13 07:00:00,39.54,40.14,38.71,38.71,1329700
2023-12-14 07:00:00,39.09,39.31,37.4,37.43,1884700
2023-12-15 07:00:00,37.51,38.41,37.06,38.11,1006000
2023-12-18 07:00:00,38.11,38.49,37.21,37.21,591200
2023-12-19 07:00:00,37.21,38.11,37.17,38.11,794400
2023-12-20 07:00:00,38.34,38.71,37.96,38.71,747400
2023-12-21 07:00:00,38.49,38.71,38.26,38.71,578800
2023-12-22 07:00:00,38.79,39.09,38.04,38.64,657300
2023-12-25 07:00:00,38.49,39.69,38.49,39.69,1704400
2023-12-26 07:00:00,39.76,39.84,39.31,39.46,1145300
2023-12-27 07:00:00,39.46,39.69,39.01,39.46,1189500
2023-12-28 07:00:00,39.46,39.54,39.24,39.24,1177000
2023-12-29 07:00:00,38.79,39.69,38.79,39.31,1066400
2024-01-02 07:00:00,39.54,39.76,38.86,39.31,1046700
2024-01-03 07:00:00,39.24,42.02,38.79,42.02,5612500
2024-01-04 07:00:00,41.94,42.17,41.27,41.34,2197000
