time,open,high,low,close,volume
2024-03-04 07:00:00,42.72,42.98,42.09,42.22,120400
2024-03-05 07:00:00,42.3,42.47,42.22,42.3,69100
2024-03-06 07:00:00,42.47,42.47,41.96,42.05,80000
2024-03-07 07:00:00,42.05,42.18,41.8,42.01,76900
2024-03-08 07:00:00,42.22,42.22,41.37,41.37,117500
2024-03-11 07:00:00,41.37,41.54,40.53,40.7,112700
2024-03-12 07:00:00,40.61,40.87,40.28,40.57,103200
2024-03-13 07:00:00,40.7,42.22,40.61,42.13,100400
2024-03-14 07:00:00,42.13,42.13,41.46,41.67,60600
2024-03-15 07:00:00,41.46,42.47,41.37,42.13,160900
2024-03-18 07:00:00,42.18,42.89,41.29,41.37,192500
2024-03-19 07:00:00,41.42,41.71,41.2,41.2,72100
2024-03-20 07:00:00,41.5,41.54,40.99,41.37,72200
2024-03-21 07:00:00,41.5,42.13,41.37,42.09,111200
2024-03-22 07:00:00,42.09,42.39,41.84,42.22,104300
2024-03-25 07:00:00,42.39,43.06,42.18,42.3,197800
2024-03-26 07:00:00,42.3,42.39,41.96,42.22,57600
2024-03-27 07:00:00,42.39,42.39,41.46,41.75,129600
2024-03-28 07:00:00,41.8,42.22,41.54,42.22,52900
2024-03-29 07:00:00,42.18,42.56,41.67,41.71,46000
2024-04-01 07:00:00,41.8,41.8,41.37,41.5,66800
2024-04-02 07:00:00,41.5,41.8,41.33,41.46,117400
2024-04-03 07:00:00,41.46,42.22,41.37,41.5,138300
2024-04-04 07:00:00,41.46,41.46,40.78,40.95,225900
2024-04-05 07:00:00,40.74,40.78,40.4,40.4,238600
2024-04-08 07:00:00,40.44,40.44,39.98,39.98,138400
2024-04-09 07:00:00,40.23,40.23,39.43,39.6,174100
2024-04-10 07:00:00,39.3,39.6,39.22,39.39,352000
2024-04-11 07:00:00,39.39,39.39,38.8,38.92,93400
2024-04-12 07:00:00,38.92,39.22,38.76,39.18,166500
2024-04-15 07:00:00,39.01,39.14,36.56,36.56,304100
2024-04-16 07:00:00,36.56,36.98,36.18,36.56,155400
2024-04-17 07:00:00,37.19,37.19,36.18,36.31,66800
2024-04-19 07:00:00,36.22,36.22,35.04,35.55,89800
2024-04-22 07:00:00,35.63,36.65,34.62,34.62,155400
2024-04-23 07:00:00,34.62,35.72,34.62,35.46,146500
2024-04-24 07:00:00,35.88,36.98,35.88,36.9,72800
2024-04-25 07:00:00,36.35,36.56,36.18,36.26,62200
2024-04-26 07:00:00,35.46,36.31,35.46,36.31,57800
2024-05-02 07:00:00,36.31,36.31,35.46,35.76,66100
2024-05-03 07:00:00,35.88,36.05,35.8,35.93,30100
2024-05-06 07:00:00,35.93,36.56,35.93,36.48,35500
2024-05-07 07:00:00,36.52,36.81,36.31,36.65,41600
2024-05-08 07:00:00,36.65,38.0,36.31,37.95,80500
2024-05-09 07:00:00,38.42,38.42,37.57,37.74,57000
2024-05-10 07:00:00,38.0,38.33,37.62,37.83,65300
2024-05-13 07:00:00,37.78,37.78,37.32,37.57,24500
2024-05-14 07:00:00,37.57,37.91,37.4,37.57,22800
2024-05-15 07:00:00,37.53,37.95,37.49,37.95,50700
2024-05-16 07:00:00,37.95,38.25,37.87,37.91,69300
2024-05-17 07:00:00,37.91,38.33,37.7,38.0,75800
2024-05-20 07:00:00,38.42,38.42,37.91,38.04,64200
2024-05-21 07:00:00,38.08,38.33,37.83,37.95,68000
2024-05-22 07:00:00,38.0,38.0,37.7,37.95,80800
2024-05-23 07:00:00,37.95,37.95,37.36,37.83,49600
2024-05-24 07:00:00,37.49,37.83,36.98,37.15,83900
2024-05-27 07:00:00,37.15,37.15,36.56,37.07,39400
2024-05-28 07:00:00,37.57,37.57,36.81,37.15,54200
2024-05-29 07:00:00,37.15,37.24,36.98,37.15,36900
2024-05-30 07:00:00,36.9,37.83,36.9,37.83,83500
2024-05-31 07:00:00,37.78,37.95,37.78,37.83,28200
2024-06-03 07:00:00,37.91,38.12,37.91,38.08,58800
2024-06-04 07:00:00,38.25,39.05,38.25,38.92,119200
2024-06-05 07:00:00,38.97,39.18,38.29,39.01,122800
2024-06-06 07:00:00,39.18,39.18,38.84,38.88,84500
2024-06-07 07:00:00,39.01,39.01,38.5,38.54,62200
2024-06-10 07:00:00,38.84,39.05,38.46,38.8,75000
2024-06-11 07:00:00,38.8,38.88,38.54,38.54,75400
2024-06-12 07:00:00,38.54,38.92,38.54,38.84,105500
2024-06-13 07:00:00,39.05,39.05,38.59,38.92,150400
2024-06-14 07:00:00,39.09,39.09,38.59,38.63,92700
