time,open,high,low,close,volume
2025-08-13 07:00:00,21.55,22.1,20.9,21.6,26920100
2025-08-14 07:00:00,21.95,22.1,21.35,21.9,21309800
2025-08-15 07:00:00,22.0,22.05,21.0,21.2,22078600
2025-08-18 07:00:00,21.05,21.4,20.3,21.15,33100500
2025-08-19 07:00:00,21.0,22.4,20.8,21.75,37278600
2025-08-20 07:00:00,21.8,21.85,20.3,21.7,25968600
2025-08-21 07:00:00,21.8,21.8,21.0,21.0,17795900
2025-08-22 07:00:00,20.75,20.9,19.55,20.15,41969900
2025-08-25 07:00:00,20.35,21.05,20.2,20.45,27115000
2025-08-26 07:00:00,20.45,21.3,20.3,21.3,19996700
2025-08-27 07:00:00,21.6,22.75,21.4,22.75,70555100
2025-08-28 07:00:00,23.0,23.1,22.5,22.9,16314900
2025-08-29 07:00:00,23.2,23.8,22.75,22.8,28113900
2025-09-03 07:00:00,22.85,24.0,22.85,24.0,20270300
2025-09-04 07:00:00,24.3,24.5,23.5,23.65,21329000
2025-09-05 07:00:00,24.05,24.2,22.3,22.3,30551700
2025-09-08 07:00:00,22.35,23.35,21.95,22.55,38861800
2025-09-09 07:00:00,22.65,23.5,22.5,23.5,20597800
2025-09-10 07:00:00,23.5,23.6,22.75,23.15,15506000
2025-09-11 07:00:00,22.9,23.5,22.15,23.5,21261100
2025-09-12 07:00:00,23.6,24.15,23.4,24.05,28099400
2025-09-15 07:00:00,24.3,24.5,23.9,24.2,16258900
2025-09-16 07:00:00,24.45,24.45,23.1,23.6,20832200
2025-09-17 07:00:00,23.5,23.6,22.85,23.0,15491300
2025-09-18 07:00:00,23.0,23.2,22.15,22.9,28115500
2025-09-19 07:00:00,23.2,23.2,22.35,23.0,20827400
2025-09-22 07:00:00,23.1,23.4,22.15,22.6,24349000
2025-09-23 07:00:00,22.65,22.95,22.25,22.95,10435000
2025-09-24 07:00:00,22.5,23.4,22.35,23.4,18606200
2025-09-25 07:00:00,23.5,23.8,22.9,23.2,31311200
2025-09-26 07:00:00,23.2,23.2,22.4,22.75,34203000
2025-09-29 07:00:00,22.75,22.75,21.6,21.85,48672000
2025-09-30 07:00:00,21.75,21.95,20.35,20.7,60699100
2025-10-01 07:00:00,20.8,21.25,20.35,20.85,19191300
2025-10-02 07:00:00,21.0,21.05,20.0,20.1,19885400
2025-10-03 07:00:00,20.0,20.5,19.7,20.05,22546900
2025-10-06 07:00:00,20.3,21.25,20.15,21.25,19470400
2025-10-07 07:00:00,21.3,21.3,20.6,20.6,18330100
2025-10-08 07:00:00,20.9,20.9,20.1,20.65,30884600
