time,open,high,low,close,volume
2024-01-04 07:00:00,24.66,25.28,24.49,24.49,1670700
2024-01-05 07:00:00,24.54,24.77,24.43,24.49,729700
2024-01-08 07:00:00,24.57,25.11,24.57,24.88,945500
2024-01-09 07:00:00,24.94,25.62,24.8,25.28,1919000
2024-01-10 07:00:00,25.28,25.39,24.71,24.85,1010100
2024-01-11 07:00:00,24.94,25.68,24.91,25.22,1583800
2024-01-12 07:00:00,25.2,25.28,24.74,24.91,1284800
2024-01-15 07:00:00,24.91,25.14,24.2,24.2,1189300
2024-01-16 07:00:00,24.2,24.94,24.15,24.94,840200
2024-01-17 07:00:00,24.85,26.64,24.85,25.62,2738000
2024-01-18 07:00:00,25.76,26.64,25.73,25.85,1265800
2024-01-19 07:00:00,26.07,26.53,25.36,25.54,1402600
2024-01-22 07:00:00,25.62,25.79,25.02,25.7,1459600
2024-01-23 07:00:00,25.7,26.02,25.56,25.7,965100
2024-01-24 07:00:00,25.7,26.27,25.36,25.7,1233700
2024-01-25 07:00:00,25.7,25.73,25.39,25.51,681300
2024-01-26 07:00:00,25.54,25.85,25.51,25.51,593900
2024-01-29 07:00:00,25.59,26.02,25.48,25.62,737100
2024-01-30 07:00:00,25.62,25.73,25.34,25.7,915200
2024-01-31 07:00:00,26.02,27.49,25.96,27.15,4229600
2024-02-01 07:00:00,26.98,27.6,26.98,27.46,953500
2024-02-02 07:00:00,27.72,28.11,27.46,27.58,1078400
2024-02-05 07:00:00,27.74,27.74,27.12,27.58,1218600
2024-02-06 07:00:00,27.6,28.06,27.43,27.52,782900
2024-02-07 07:00:00,27.52,27.89,27.4,27.58,740100
2024-02-15 07:00:00,27.77,27.86,27.38,27.43,752300
2024-02-16 07:00:00,27.55,28.17,27.29,27.58,1208700
2024-02-19 07:00:00,27.58,28.23,27.24,28.23,1843600
2024-02-20 07:00:00,28.45,29.93,28.34,28.96,2091100
2024-02-21 07:00:00,28.96,29.59,28.68,29.3,1421500
2024-02-22 07:00:00,29.3,29.53,28.91,28.91,700000
2024-02-23 07:00:00,28.85,29.19,27.77,27.83,1934100
2024-02-26 07:00:00,27.89,29.76,27.8,29.76,1965900
2024-02-27 07:00:00,29.98,30.66,29.87,30.04,1289300
2024-02-28 07:00:00,29.98,30.27,29.7,30.21,1271100
2024-02-29 07:00:00,30.49,32.31,29.87,32.31,2244000
2024-03-01 07:00:00,32.31,33.72,31.8,32.88,1716100
2024-03-04 07:00:00,33.04,33.16,32.59,32.88,1221000
2024-03-05 07:00:00,32.88,35.14,32.36,35.08,1979900
2024-03-06 07:00:00,34.97,35.08,34.12,34.86,1516000
2024-03-07 07:00:00,34.86,35.65,34.58,34.69,1425100
2024-03-08 07:00:00,34.74,34.86,33.22,33.61,2620400
2024-03-11 07:00:00,34.46,35.26,34.01,34.52,2611700
2024-03-12 07:00:00,34.52,35.6,34.46,34.86,2015200
2024-03-13 07:00:00,34.97,35.76,34.8,35.6,2603000
2024-03-14 07:00:00,35.71,35.71,34.63,34.86,2940700
2024-03-15 07:00:00,34.8,36.28,34.29,36.28,4852400
2024-03-18 07:00:00,36.22,36.22,33.78,34.29,3845900
2024-03-19 07:00:00,34.35,35.08,34.01,34.01,909100
2024-03-20 07:00:00,34.24,34.52,33.5,34.35,1560500
2024-03-21 07:00:00,34.92,34.92,34.35,34.4,1269600
2024-03-22 07:00:00,34.58,35.6,34.35,34.92,2348000
2024-03-25 07:00:00,34.92,35.42,34.29,34.58,1208600
2024-03-26 07:00:00,34.58,35.42,34.29,35.2,1280800
2024-03-27 07:00:00,35.65,35.65,34.92,35.14,927800
2024-03-28 07:00:00,35.6,36.22,35.14,35.94,2917800
2024-03-29 07:00:00,35.94,35.94,35.2,35.26,1235200
2024-04-01 07:00:00,35.26,35.76,34.8,35.54,1366300
2024-04-02 07:00:00,35.6,36.05,35.14,36.05,2082600
2024-04-03 07:00:00,36.28,37.3,35.71,36.22,3082200
2024-04-04 07:00:00,35.76,36.22,35.26,35.37,1528300
2024-04-05 07:00:00,34.8,34.97,32.99,32.99,2443500
2024-04-08 07:00:00,32.99,33.67,32.14,32.31,2104400
2024-04-09 07:00:00,32.48,33.72,32.31,33.72,1431900
2024-04-10 07:00:00,33.78,34.12,33.61,33.72,900100
2024-04-11 07:00:00,33.44,34.29,32.88,34.12,1226600
2024-04-12 07:00:00,34.58,34.97,33.9,34.86,1327300
2024-04-15 07:00:00,34.58,35.31,32.42,32.42,2692100
2024-04-16 07:00:00,32.31,32.7,30.61,32.31,2564800
2024-04-17 07:00:00,32.88,32.88,30.1,30.1,1645000
2024-04-19 07:00:00,28.68,30.49,28.06,28.34,4702800
2024-04-22 07:00:00,29.19,30.32,29.02,30.32,2193600
2024-04-23 07:00:00,30.49,30.89,29.25,29.81,1812300
2024-04-24 07:00:00,30.21,31.74,30.15,31.46,2240000
2024-04-25 07:00:00,31.29,31.4,30.38,31.12,1566800
2024-04-26 07:00:00,30.32,32.02,30.32,30.89,2188600
2024-05-02 07:00:00,31.51,31.51,30.38,30.89,1342600
2024-05-03 07:00:00,31.29,32.02,30.72,30.89,1719800
2024-05-06 07:00:00,31.63,33.04,31.23,33.04,3165400
2024-05-07 07:00:00,33.5,33.5,32.93,33.44,1343400
