time,open,high,low,close,volume
2023-11-15 07:00:00,18.02,18.02,17.61,17.75,809300
2023-11-16 07:00:00,17.58,18.3,17.58,17.85,490800
2023-11-17 07:00:00,17.85,18.16,17.23,17.3,1102600
2023-11-20 07:00:00,16.58,17.4,16.58,17.34,581600
2023-11-21 07:00:00,17.54,17.54,17.27,17.54,361000
2023-11-22 07:00:00,17.82,17.99,17.54,17.75,415100
2023-11-23 07:00:00,17.92,18.47,17.34,17.34,1139400
2023-11-24 07:00:00,17.34,17.44,16.51,17.34,761000
2023-11-27 07:00:00,17.34,17.75,16.96,17.03,234400
2023-11-28 07:00:00,17.1,17.1,16.51,17.03,472200
2023-11-29 07:00:00,17.2,17.4,17.03,17.37,397100
2023-11-30 07:00:00,17.4,17.61,16.92,16.92,412400
2023-12-01 07:00:00,17.2,17.34,16.92,17.3,187100
2023-12-04 07:00:00,17.37,17.99,17.34,17.82,629600
2023-12-05 07:00:00,17.61,18.44,17.61,18.23,804200
2023-12-06 07:00:00,18.23,18.68,18.23,18.61,677700
2023-12-07 07:00:00,18.51,18.85,18.13,18.37,807200
2023-12-08 07:00:00,18.37,18.71,18.2,18.3,435500
2023-12-11 07:00:00,18.3,18.3,17.78,17.89,675400
2023-12-12 07:00:00,17.89,18.54,17.78,18.09,503700
2023-12-13 07:00:00,18.37,18.37,17.54,17.54,426000
2023-12-14 07:00:00,17.61,17.85,17.2,17.2,387800
2023-12-15 07:00:00,17.27,17.4,17.13,17.16,235500
2023-12-18 07:00:00,17.16,17.2,16.96,16.96,230700
2023-12-19 07:00:00,16.96,17.2,16.85,17.2,260600
2023-12-20 07:00:00,17.2,17.4,17.13,17.3,201100
2023-12-21 07:00:00,17.2,17.23,17.03,17.13,175400
2023-12-22 07:00:00,17.13,17.34,17.06,17.06,190800
2023-12-25 07:00:00,17.06,17.47,17.06,17.47,136500
2023-12-26 07:00:00,17.47,17.68,16.27,17.3,495800
2023-12-27 07:00:00,17.3,17.37,17.13,17.13,395800
