time,open,high,low,close,volume
2023-11-23 07:00:00,19.88,19.88,18.85,18.85,2776300
2023-11-24 07:00:00,18.85,19.1,18.32,19.1,2200900
2023-11-27 07:00:00,19.15,19.34,18.85,18.85,1345200
2023-11-28 07:00:00,18.95,19.15,18.46,19.15,1256000
2023-11-29 07:00:00,19.24,19.44,19.1,19.39,1369700
2023-11-30 07:00:00,19.34,19.93,19.34,19.54,3408300
2023-12-01 07:00:00,19.54,19.73,19.34,19.68,1179800
2023-12-04 07:00:00,19.88,20.37,19.83,20.12,3141500
2023-12-05 07:00:00,20.17,20.37,19.98,20.12,2609300
2023-12-06 07:00:00,20.22,20.32,20.03,20.32,1853800
2023-12-07 07:00:00,20.32,20.32,19.49,19.73,3409800
2023-12-08 07:00:00,19.73,19.93,19.54,19.59,1284200
2023-12-11 07:00:00,19.68,19.88,19.54,19.88,1128600
2023-12-12 07:00:00,19.98,20.22,19.88,19.88,1283200
2023-12-13 07:00:00,19.88,20.07,19.49,19.49,1917800
2023-12-14 07:00:00,19.68,19.73,19.34,19.39,1055000
2023-12-15 07:00:00,19.39,19.63,19.2,19.44,961600
2023-12-18 07:00:00,19.44,19.44,19.0,19.0,1003400
2023-12-19 07:00:00,19.0,19.15,18.76,19.15,1243600
2023-12-20 07:00:00,19.2,19.39,19.05,19.29,789200
2023-12-21 07:00:00,19.24,19.49,19.2,19.44,958000
2023-12-22 07:00:00,19.59,19.78,19.44,19.78,1995500
2023-12-25 07:00:00,19.83,19.93,19.59,19.73,1477400
2023-12-26 07:00:00,19.78,20.03,19.73,19.83,1790200
2023-12-27 07:00:00,19.83,20.03,19.73,19.78,1275100
2023-12-28 07:00:00,19.88,20.03,19.68,19.83,1830100
2023-12-29 07:00:00,19.98,20.81,19.98,20.71,7483700
2024-01-02 07:00:00,20.95,20.95,20.42,20.47,2681000
2024-01-03 07:00:00,20.42,21.39,20.32,21.1,4320100
2024-01-04 07:00:00,21.0,21.25,20.9,20.9,2912300
2024-01-05 07:00:00,21.0,21.44,20.95,21.3,2868500
2024-01-08 07:00:00,21.49,21.49,21.0,21.0,1878400
2024-01-09 07:00:00,21.15,21.15,20.51,20.9,3126900
2024-01-10 07:00:00,20.86,21.1,20.61,21.1,1652900
2024-01-11 07:00:00,21.1,21.15,20.66,20.71,1699700
2024-01-12 07:00:00,20.51,20.71,19.83,19.93,3546100
2024-01-15 07:00:00,20.07,20.42,19.93,20.07,2017500
2024-01-16 07:00:00,20.03,20.47,20.03,20.47,1319800
2024-01-17 07:00:00,20.47,20.95,20.42,20.71,2063200
2024-01-18 07:00:00,20.71,20.9,20.47,20.61,1784700
2024-01-19 07:00:00,20.61,21.15,20.61,20.81,2034500
2024-01-22 07:00:00,20.95,20.95,20.37,20.56,2143000
2024-01-23 07:00:00,20.47,20.56,20.32,20.42,1485300
2024-01-24 07:00:00,20.37,20.81,20.37,20.42,1074100
2024-01-25 07:00:00,20.42,20.51,20.32,20.42,664000
2024-01-26 07:00:00,20.51,20.95,20.47,20.95,2436000
2024-01-29 07:00:00,21.1,22.17,21.1,21.98,6728900
2024-01-30 07:00:00,21.98,22.76,21.73,22.42,3698000
2024-01-31 07:00:00,22.57,22.57,21.49,21.88,4073900
2024-02-01 07:00:00,21.93,23.4,21.93,23.4,5949400
2024-02-02 07:00:00,23.93,24.32,23.69,24.03,5668700
2024-02-05 07:00:00,24.23,24.76,23.74,24.47,5140900
2024-02-06 07:00:00,24.47,24.96,24.23,24.62,2648100
2024-02-07 07:00:00,24.62,24.81,24.37,24.76,2757100
2024-02-15 07:00:00,24.81,24.96,24.18,24.37,4639300
2024-02-16 07:00:00,24.32,26.03,24.27,26.03,7573400
2024-02-19 07:00:00,26.33,27.55,26.18,26.18,5352800
2024-02-20 07:00:00,26.28,27.55,25.74,27.55,5439800
2024-02-21 07:00:00,27.6,27.84,27.06,27.5,3976300
2024-02-22 07:00:00,27.45,27.64,27.11,27.3,2740800
2024-02-23 07:00:00,27.45,27.64,26.18,26.91,5825900
2024-02-26 07:00:00,26.86,28.43,26.67,28.13,7028600
2024-02-27 07:00:00,28.23,28.72,27.99,28.23,3318500
2024-02-28 07:00:00,28.23,29.21,27.79,28.23,5552600
2024-02-29 07:00:00,28.23,28.23,27.5,27.94,4998300
2024-03-01 07:00:00,27.94,28.57,27.35,28.48,4188200
2024-03-04 07:00:00,28.96,30.04,28.77,29.11,6026300
2024-03-05 07:00:00,28.82,29.26,28.67,29.01,2287200
2024-03-06 07:00:00,28.87,28.96,28.13,28.23,3513200
2024-03-07 07:00:00,28.18,28.52,27.99,28.43,3414800
2024-03-08 07:00:00,28.91,29.11,27.84,28.33,5529700
2024-03-11 07:00:00,28.33,29.65,28.33,28.87,5766000
2024-03-12 07:00:00,28.87,30.87,28.82,30.87,9490400
2024-03-13 07:00:00,31.45,32.24,31.06,31.55,3675000
2024-03-14 07:00:00,31.55,32.38,31.06,32.04,4827500
2024-03-15 07:00:00,32.04,33.8,31.65,33.8,5677900
2024-03-18 07:00:00,33.8,34.97,31.45,31.8,13916500
2024-03-19 07:00:00,31.99,33.12,31.16,31.8,5437600
2024-03-20 07:00:00,31.89,32.24,31.45,32.04,4024600
2024-03-21 07:00:00,32.53,32.63,31.85,32.48,4064500
2024-03-22 07:00:00,32.63,32.92,31.99,32.48,5647400
2024-03-25 07:00:00,32.04,32.43,30.87,31.16,6119700
2024-03-26 07:00:00,31.16,33.26,31.11,33.12,5040000
2024-03-27 07:00:00,33.12,33.12,32.24,32.63,2580500
2024-03-28 07:00:00,32.77,32.82,32.24,32.28,3194600
2024-03-29 07:00:00,32.24,32.92,32.14,32.38,3228200
2024-04-01 07:00:00,32.38,32.58,31.89,32.19,3763000
2024-04-02 07:00:00,32.04,34.43,31.99,34.43,10181700
2024-04-03 07:00:00,34.24,34.39,33.46,33.46,3897300
2024-04-04 07:00:00,33.36,33.6,32.33,32.33,5221500
2024-04-05 07:00:00,32.04,32.24,30.77,30.77,7351500
2024-04-08 07:00:00,30.87,31.65,30.58,30.97,3618000
2024-04-09 07:00:00,31.26,31.6,30.87,31.55,2029700
2024-04-10 07:00:00,31.7,31.75,30.87,30.92,2554900
2024-04-11 07:00:00,30.48,31.55,30.43,31.16,2722100
2024-04-12 07:00:00,31.21,31.5,30.92,31.26,2989100
2024-04-15 07:00:00,31.26,32.48,29.11,29.11,7398600
2024-04-16 07:00:00,29.31,29.65,28.62,29.65,5269100
2024-04-17 07:00:00,29.99,29.99,27.99,27.99,4711100
2024-04-19 07:00:00,26.86,28.72,26.86,27.45,5880600
2024-04-22 07:00:00,28.23,28.38,27.55,28.04,2522300
2024-04-23 07:00:00,27.99,28.23,26.42,26.96,4113200
2024-04-24 07:00:00,27.45,28.82,27.21,28.82,6235900
2024-04-25 07:00:00,29.01,29.31,28.48,28.72,3440300
2024-04-26 07:00:00,28.38,29.75,28.38,29.31,3970200
2024-05-02 07:00:00,29.31,29.65,28.57,29.31,3824600
2024-05-03 07:00:00,29.6,29.6,28.67,28.72,3957900
2024-05-06 07:00:00,29.16,30.53,28.82,30.48,6482900
2024-05-07 07:00:00,30.58,31.02,30.09,30.72,3851600
2024-05-08 07:00:00,30.28,31.41,29.79,30.97,5303200
2024-05-09 07:00:00,31.06,31.94,30.87,31.02,5780200
2024-05-10 07:00:00,31.06,31.16,30.48,30.92,3561300
2024-05-13 07:00:00,31.06,31.5,30.58,31.26,3373900
2024-05-14 07:00:00,31.45,32.09,31.36,31.75,4214600
2024-05-15 07:00:00,32.09,32.09,31.55,31.99,3872800
2024-05-16 07:00:00,32.24,32.63,31.75,31.8,4267900
2024-05-17 07:00:00,31.65,33.36,31.55,32.58,6321300
2024-05-20 07:00:00,32.87,33.7,32.72,32.82,5485900
2024-05-21 07:00:00,32.82,32.97,32.14,32.58,4039900
2024-05-22 07:00:00,33.02,33.16,31.85,32.04,5201400
2024-05-23 07:00:00,31.85,32.68,31.65,32.63,4457900
2024-05-24 07:00:00,32.24,34.19,32.04,33.46,12307800
2024-05-27 07:00:00,33.41,35.12,32.77,34.43,7430800
2024-05-28 07:00:00,34.68,34.78,34.14,34.78,4463400
2024-05-29 07:00:00,34.73,36.05,33.99,34.09,6868300
2024-05-30 07:00:00,33.51,35.41,33.26,35.17,8152400
2024-05-31 07:00:00,35.26,35.36,34.34,34.34,2634500
2024-06-03 07:00:00,34.87,34.87,34.19,34.19,4507700
2024-06-04 07:00:00,34.19,34.92,34.14,34.29,3282900
2024-06-05 07:00:00,34.68,35.46,34.29,34.34,4617800
2024-06-06 07:00:00,34.39,34.63,33.8,33.99,3062400
2024-06-07 07:00:00,34.09,34.39,33.99,34.19,2124000
2024-06-10 07:00:00,34.43,35.9,34.43,35.36,6186600
2024-06-11 07:00:00,35.46,35.61,34.43,34.78,4490900
2024-06-12 07:00:00,34.58,34.97,34.24,34.92,3275500
2024-06-13 07:00:00,35.12,35.12,34.48,34.53,3580700
2024-06-14 07:00:00,34.58,34.87,32.24,32.24,5510300
2024-06-17 07:00:00,32.63,33.12,32.24,32.58,5119400
2024-06-18 07:00:00,33.02,33.51,32.72,33.16,2555200
2024-06-19 07:00:00,33.16,33.21,32.63,32.82,3074300
2024-06-20 07:00:00,32.72,33.21,32.63,33.21,2558700
2024-06-21 07:00:00,33.21,34.04,33.21,33.75,3665100
2024-06-24 07:00:00,33.26,33.6,32.24,32.24,4719500
2024-06-25 07:00:00,32.48,32.92,32.24,32.82,2336500
2024-06-26 07:00:00,33.16,35.12,32.82,35.12,10259700
2024-06-27 07:00:00,35.12,35.95,34.48,35.17,6491300
2024-06-28 07:00:00,35.17,35.22,32.72,33.41,7376400
2024-07-01 07:00:00,33.41,33.65,32.82,33.51,3247900
2024-07-02 07:00:00,33.65,33.99,33.36,33.8,2052100
