time,open,high,low,close,volume
2024-01-26 07:00:00,13.14,13.18,13.01,13.06,2281400
2024-01-29 07:00:00,13.06,13.14,12.97,12.97,2987900
2024-01-30 07:00:00,13.01,13.18,12.93,13.18,3667700
2024-01-31 07:00:00,13.18,13.35,12.97,12.97,5193600
2024-02-01 07:00:00,12.97,13.06,12.93,12.97,4418200
2024-02-02 07:00:00,13.06,13.27,12.97,12.97,4875200
2024-02-05 07:00:00,13.06,13.14,12.93,13.06,4376200
2024-02-06 07:00:00,13.1,13.1,12.97,13.06,3417800
2024-02-07 07:00:00,13.06,13.14,12.97,13.1,5222000
2024-02-15 07:00:00,13.18,13.6,13.18,13.48,14392100
2024-02-16 07:00:00,13.6,13.6,13.35,13.39,5051200
2024-02-19 07:00:00,13.44,13.48,13.22,13.35,6502100
2024-02-20 07:00:00,13.39,13.44,13.22,13.27,7282500
2024-02-21 07:00:00,13.31,13.31,13.14,13.14,6223900
2024-02-22 07:00:00,13.14,13.35,13.1,13.14,5291600
2024-02-23 07:00:00,13.14,13.22,12.8,12.8,10103700
2024-02-26 07:00:00,12.8,12.97,12.68,12.97,6232300
2024-02-27 07:00:00,13.01,13.14,12.97,13.14,5624300
2024-02-28 07:00:00,13.18,13.18,12.97,13.06,4456200
2024-02-29 07:00:00,13.1,13.14,12.89,12.93,5302300
2024-03-01 07:00:00,12.97,13.27,12.89,13.22,10184000
2024-03-04 07:00:00,13.31,13.35,13.14,13.18,6688700
2024-03-05 07:00:00,13.27,13.44,13.18,13.22,8421000
2024-03-06 07:00:00,13.22,13.22,12.93,13.01,5892700
2024-03-07 07:00:00,12.93,13.06,12.93,13.01,5546300
2024-03-08 07:00:00,13.14,13.14,12.76,12.8,8250300
2024-03-11 07:00:00,12.8,13.01,12.72,12.76,4271700
2024-03-12 07:00:00,12.76,12.8,12.68,12.72,3442900
2024-03-13 07:00:00,12.89,12.89,12.76,12.89,4818500
2024-03-14 07:00:00,12.89,12.97,12.8,12.8,5153200
2024-03-15 07:00:00,12.8,13.01,12.76,12.8,5858500
2024-03-18 07:00:00,12.84,12.97,12.38,12.68,9915600
2024-03-19 07:00:00,12.63,12.89,12.59,12.68,12209900
2024-03-20 07:00:00,12.68,12.76,12.59,12.76,5989500
2024-03-21 07:00:00,12.8,13.06,12.72,13.06,16971300
2024-03-22 07:00:00,13.18,13.31,13.01,13.06,14815500
2024-03-25 07:00:00,13.22,13.39,13.06,13.1,17469400
2024-03-26 07:00:00,13.14,13.14,12.97,13.1,7322400
2024-03-27 07:00:00,13.18,13.39,13.14,13.22,9734800
2024-03-28 07:00:00,13.31,13.31,13.06,13.1,5748800
2024-03-29 07:00:00,13.1,13.14,12.93,12.97,5851900
2024-04-01 07:00:00,13.01,13.27,12.93,13.01,8406800
2024-04-02 07:00:00,13.01,13.1,12.89,13.1,7134400
2024-04-03 07:00:00,13.14,13.64,13.14,13.22,24821000
2024-04-04 07:00:00,13.18,13.31,13.01,13.01,7076100
2024-04-05 07:00:00,12.97,12.97,12.76,12.76,9184000
2024-04-08 07:00:00,12.8,12.84,12.68,12.68,7840900
2024-04-09 07:00:00,12.72,12.8,12.63,12.8,4473900
2024-04-10 07:00:00,12.84,12.89,12.68,12.68,4939800
2024-04-11 07:00:00,12.59,12.72,12.55,12.63,7163000
2024-04-12 07:00:00,12.72,12.8,12.68,12.72,4949700
2024-04-15 07:00:00,12.72,12.76,11.83,11.83,12538500
2024-04-16 07:00:00,11.67,11.79,11.12,11.33,12083800
2024-04-17 07:00:00,11.41,11.54,11.08,11.08,6370300
2024-04-19 07:00:00,10.95,10.95,10.4,10.53,9669800
2024-04-22 07:00:00,10.74,10.78,10.53,10.7,6018600
2024-04-23 07:00:00,10.74,10.78,10.23,10.32,5873300
2024-04-24 07:00:00,10.44,10.78,10.4,10.74,5373700
2024-04-25 07:00:00,10.78,10.91,10.61,10.66,3626500
2024-04-26 07:00:00,10.53,10.7,10.53,10.66,3034300
2024-05-02 07:00:00,10.82,11.03,10.78,10.87,5260400
2024-05-03 07:00:00,10.95,11.03,10.78,10.78,3912300
2024-05-06 07:00:00,10.82,11.12,10.74,11.12,8167100
2024-05-07 07:00:00,11.2,11.2,10.99,11.03,3434600
2024-05-08 07:00:00,10.95,10.95,10.78,10.82,7681500
2024-05-09 07:00:00,10.91,11.08,10.78,10.82,5924100
2024-05-10 07:00:00,10.87,10.95,10.66,10.78,4565100
