time,open,high,low,close,volume
2023-11-20 07:00:00,19.76,20.36,19.76,20.17,18250000
2023-11-21 07:00:00,20.44,20.81,20.4,20.47,26703200
2023-11-22 07:00:00,20.44,20.59,20.36,20.59,17015100
2023-11-23 07:00:00,20.66,20.7,19.57,19.57,21684500
2023-11-24 07:00:00,19.68,19.98,19.34,19.98,26228500
2023-11-27 07:00:00,20.06,20.25,19.83,19.91,16724600
2023-11-28 07:00:00,19.98,20.21,19.72,20.21,18863600
2023-11-29 07:00:00,20.21,20.51,20.17,20.44,22503000
2023-11-30 07:00:00,20.51,20.59,20.1,20.1,21208100
2023-12-01 07:00:00,20.28,20.51,20.02,20.36,15400100
2023-12-04 07:00:00,20.59,21.0,20.47,20.81,42341900
2023-12-05 07:00:00,20.81,20.85,20.55,20.63,22511100
2023-12-06 07:00:00,20.63,20.89,20.59,20.89,18648100
2023-12-07 07:00:00,20.93,21.12,20.4,20.89,49430900
2023-12-08 07:00:00,21.04,21.38,20.81,20.97,52783700
2023-12-11 07:00:00,20.97,21.04,20.66,20.81,17845400
2023-12-12 07:00:00,20.81,21.34,20.81,21.16,31681800
2023-12-13 07:00:00,21.27,21.34,20.66,20.7,33347700
2023-12-14 07:00:00,20.85,20.85,20.47,20.47,31777500
2023-12-15 07:00:00,20.51,20.59,20.25,20.28,34686700
2023-12-18 07:00:00,20.36,20.44,20.13,20.13,14875800
2023-12-19 07:00:00,20.13,20.59,20.1,20.59,20496200
2023-12-20 07:00:00,20.59,20.7,20.51,20.59,17661600
2023-12-21 07:00:00,20.51,20.66,20.4,20.59,14307400
2023-12-22 07:00:00,20.59,20.7,20.47,20.47,17429100
2023-12-25 07:00:00,20.55,20.89,20.55,20.78,20407300
2023-12-26 07:00:00,20.74,21.12,20.74,21.04,33743700
2023-12-27 07:00:00,21.08,21.19,21.0,21.0,19852100
2023-12-28 07:00:00,21.0,21.34,20.93,21.16,31308200
2023-12-29 07:00:00,21.16,21.27,21.04,21.16,20467100
2024-01-02 07:00:00,21.27,21.31,20.78,20.78,22187200
2024-01-03 07:00:00,20.74,21.04,20.74,21.04,18575400
2024-01-04 07:00:00,21.04,21.27,20.97,21.0,38538700
2024-01-05 07:00:00,21.0,21.12,20.85,21.04,17333400
2024-01-08 07:00:00,21.16,21.38,21.08,21.08,31243900
2024-01-09 07:00:00,21.12,21.16,20.81,20.97,28623900
2024-01-10 07:00:00,20.97,21.0,20.63,20.7,32642500
2024-01-11 07:00:00,20.78,20.93,20.74,20.81,15264900
2024-01-12 07:00:00,20.7,20.78,20.47,20.55,28626500
2024-01-15 07:00:00,20.59,20.78,20.51,20.51,12497100
2024-01-16 07:00:00,20.51,21.04,20.47,21.04,19767200
2024-01-17 07:00:00,21.08,21.16,20.93,20.93,23410200
2024-01-18 07:00:00,20.97,21.08,20.89,20.93,12639000
2024-01-19 07:00:00,21.0,21.12,20.89,21.04,14859900
2024-01-22 07:00:00,21.19,21.69,21.08,21.42,66067900
2024-01-23 07:00:00,21.53,21.57,21.38,21.46,21678300
2024-01-24 07:00:00,21.42,21.57,21.38,21.38,16136900
2024-01-25 07:00:00,21.38,21.5,21.19,21.38,15227000
2024-01-26 07:00:00,21.5,21.57,21.38,21.46,14372300
2024-01-29 07:00:00,21.46,21.5,21.19,21.19,21575000
2024-01-30 07:00:00,21.19,21.27,21.08,21.19,17529200
2024-01-31 07:00:00,21.16,21.27,21.0,21.0,24456900
2024-02-01 07:00:00,21.0,21.27,20.97,21.08,10636100
2024-02-02 07:00:00,20.97,21.27,20.97,21.12,14162200
2024-02-05 07:00:00,21.12,21.42,21.12,21.19,16231200
2024-02-06 07:00:00,21.31,21.38,21.19,21.23,14660300
2024-02-07 07:00:00,21.23,21.42,21.23,21.31,13808300
2024-02-15 07:00:00,21.42,21.87,21.38,21.72,36985800
2024-02-16 07:00:00,21.76,21.8,21.65,21.65,16718800
2024-02-19 07:00:00,21.69,22.25,21.53,22.1,42276100
2024-02-20 07:00:00,22.1,22.21,21.99,22.1,21391700
2024-02-21 07:00:00,22.03,22.06,21.72,21.8,31579600
2024-02-22 07:00:00,21.72,21.8,21.61,21.61,22413300
2024-02-23 07:00:00,21.61,21.84,21.5,21.5,27300800
2024-02-26 07:00:00,21.5,21.8,21.42,21.8,19221700
2024-02-27 07:00:00,21.87,23.05,21.8,22.97,86841500
2024-02-28 07:00:00,23.01,23.43,22.82,23.16,35201800
2024-02-29 07:00:00,23.27,23.58,23.09,23.46,33580500
2024-03-01 07:00:00,23.62,23.62,23.2,23.35,26958700
2024-03-04 07:00:00,23.46,23.77,23.24,23.31,28579500
2024-03-05 07:00:00,23.31,23.69,23.24,23.58,29917200
2024-03-06 07:00:00,23.54,23.58,23.09,23.31,28059400
2024-03-07 07:00:00,23.24,23.73,23.16,23.46,32262200
2024-03-08 07:00:00,23.46,23.5,22.9,22.93,47322200
2024-03-11 07:00:00,22.93,23.16,22.56,22.63,30415100
2024-03-12 07:00:00,22.59,23.01,22.56,22.86,30135400
2024-03-13 07:00:00,22.86,23.35,22.78,23.31,29367000
2024-03-14 07:00:00,23.39,23.39,22.9,22.97,30774000
2024-03-15 07:00:00,22.97,23.24,22.71,22.78,35823700
2024-03-18 07:00:00,22.82,22.86,21.95,22.4,50100700
2024-03-19 07:00:00,22.33,23.16,22.25,22.56,26973500
2024-03-20 07:00:00,22.59,22.78,22.52,22.71,12971200
2024-03-21 07:00:00,22.97,23.12,22.78,22.9,19972600
2024-03-22 07:00:00,22.97,23.24,22.86,23.12,37384100
2024-03-25 07:00:00,23.12,23.43,22.74,22.86,21350200
2024-03-26 07:00:00,22.86,23.12,22.78,23.12,11976300
2024-03-27 07:00:00,23.39,23.54,23.16,23.16,24329500
2024-03-28 07:00:00,23.35,23.35,23.05,23.12,19113700
2024-03-29 07:00:00,23.16,23.16,22.9,22.9,14821800
2024-04-01 07:00:00,22.86,22.97,22.67,22.78,20759400
2024-04-02 07:00:00,22.63,23.01,22.56,23.01,26298400
2024-04-03 07:00:00,22.97,23.05,22.67,22.67,21489800
2024-04-04 07:00:00,22.67,22.74,22.37,22.4,26371300
2024-04-05 07:00:00,22.29,22.52,22.14,22.29,24018800
2024-04-08 07:00:00,22.29,22.56,22.18,22.4,16708800
2024-04-09 07:00:00,22.4,22.63,22.37,22.63,9838000
2024-04-10 07:00:00,22.67,22.78,22.44,22.44,11134400
2024-04-11 07:00:00,22.29,22.82,22.29,22.63,19246200
2024-04-12 07:00:00,22.71,22.78,22.59,22.67,13916900
2024-04-15 07:00:00,22.59,22.67,21.27,21.57,31107300
2024-04-16 07:00:00,21.57,21.61,21.08,21.46,33424200
2024-04-17 07:00:00,21.57,21.61,21.12,21.19,15575000
2024-04-19 07:00:00,21.04,21.46,20.81,21.04,26138500
2024-04-22 07:00:00,21.34,21.34,21.08,21.19,12390900
2024-04-23 07:00:00,21.19,21.23,20.78,20.89,18359900
2024-04-24 07:00:00,21.12,21.91,21.0,21.8,23052000
2024-04-25 07:00:00,21.72,21.72,21.42,21.61,11236400
2024-04-26 07:00:00,21.42,21.61,21.23,21.5,18304000
2024-05-02 07:00:00,21.5,21.5,21.23,21.46,7322100
2024-05-03 07:00:00,21.46,22.03,21.46,21.69,16714800
2024-05-06 07:00:00,21.84,22.21,21.8,22.18,27108200
2024-05-07 07:00:00,22.25,22.86,22.14,22.82,30139200
2024-05-08 07:00:00,22.82,23.46,22.52,23.24,34289800
2024-05-09 07:00:00,23.39,23.39,22.74,23.05,19422700
2024-05-10 07:00:00,23.16,23.2,22.67,23.05,18981900
2024-05-13 07:00:00,23.12,23.2,22.78,22.86,13171500
2024-05-14 07:00:00,23.01,23.24,22.78,22.86,15664000
2024-05-15 07:00:00,22.9,23.73,22.9,23.62,45110300
2024-05-16 07:00:00,23.92,24.11,23.8,23.92,27403900
2024-05-17 07:00:00,23.92,23.92,23.58,23.92,28640900
2024-05-20 07:00:00,23.96,24.33,23.92,24.22,46490000
2024-05-21 07:00:00,24.22,24.22,23.8,24.11,20863500
2024-05-22 07:00:00,24.11,24.18,23.58,23.69,39782700
2024-05-23 07:00:00,24.02,24.57,23.82,24.57,37870200
2024-05-24 07:00:00,24.4,24.57,23.73,24.07,30151700
2024-05-27 07:00:00,24.07,24.4,23.86,24.07,15759100
2024-05-28 07:00:00,24.15,24.32,23.98,24.27,17564600
2024-05-29 07:00:00,24.23,24.36,23.82,23.82,21599400
2024-05-30 07:00:00,23.73,23.77,23.32,23.52,27257700
2024-05-31 07:00:00,23.65,23.98,23.36,23.82,17736800
2024-06-03 07:00:00,23.98,24.23,23.98,24.15,20634500
2024-06-04 07:00:00,24.15,24.82,24.15,24.4,39654300
2024-06-05 07:00:00,24.4,24.57,24.23,24.36,19195800
2024-06-06 07:00:00,24.36,24.69,24.07,24.4,20822600
2024-06-07 07:00:00,24.44,24.48,24.23,24.4,14882900
2024-06-10 07:00:00,24.48,24.52,24.27,24.4,20259700
2024-06-11 07:00:00,24.48,24.69,24.19,24.23,26986400
2024-06-12 07:00:00,24.15,24.65,24.15,24.65,19284400
2024-06-13 07:00:00,24.69,24.73,24.4,24.57,20548700
2024-06-14 07:00:00,24.57,24.94,24.23,24.23,34292400
2024-06-17 07:00:00,24.23,24.94,24.15,24.52,34373100
2024-06-18 07:00:00,24.57,24.73,24.48,24.48,16534100
2024-06-19 07:00:00,24.57,24.61,24.36,24.44,19178300
2024-06-20 07:00:00,24.36,24.48,24.11,24.44,27774000
2024-06-21 07:00:00,24.44,24.44,24.15,24.19,14287400
2024-06-24 07:00:00,24.15,24.23,23.52,23.9,37846100
2024-06-25 07:00:00,23.82,24.19,23.73,23.9,16655000
2024-06-26 07:00:00,23.94,24.32,23.82,24.07,19746800
