time,open,high,low,close,volume
2023-11-23 07:00:00,16.0,16.07,14.9,14.9,19109500
2023-11-24 07:00:00,15.12,15.23,14.47,15.23,17239000
2023-11-27 07:00:00,15.27,15.38,14.94,15.01,7223500
2023-11-28 07:00:00,15.05,15.49,14.65,15.49,12189700
2023-11-29 07:00:00,15.49,15.85,15.38,15.81,11684700
2023-11-30 07:00:00,15.81,16.0,15.56,15.6,10587400
2023-12-01 07:00:00,15.7,15.85,15.41,15.81,9231800
2023-12-04 07:00:00,16.14,16.58,16.0,16.18,20797300
2023-12-05 07:00:00,16.18,16.43,16.1,16.21,12457900
2023-12-06 07:00:00,16.29,16.58,16.07,16.5,10339700
2023-12-07 07:00:00,16.54,16.58,15.63,16.32,22298100
2023-12-08 07:00:00,16.29,16.83,16.0,16.07,17005700
2023-12-11 07:00:00,16.07,16.14,15.7,15.78,8579900
2023-12-12 07:00:00,15.85,16.07,15.78,15.81,6330500
2023-12-13 07:00:00,15.85,16.03,15.27,15.34,12852200
2023-12-14 07:00:00,15.49,15.52,15.2,15.27,10132400
2023-12-15 07:00:00,15.27,15.49,15.01,15.16,9144000
2023-12-18 07:00:00,15.16,15.38,15.09,15.09,5976700
2023-12-19 07:00:00,15.16,15.63,15.12,15.63,8089600
2023-12-20 07:00:00,15.74,15.74,15.49,15.63,4465800
2023-12-21 07:00:00,15.49,15.92,15.45,15.81,9065500
2023-12-22 07:00:00,15.81,15.92,15.56,15.7,5298000
2023-12-25 07:00:00,15.74,16.29,15.74,15.96,10848200
2023-12-26 07:00:00,15.96,16.18,15.89,16.07,7153800
2023-12-27 07:00:00,16.1,16.43,16.1,16.32,15148900
2023-12-28 07:00:00,16.32,16.58,16.29,16.5,11727000
2023-12-29 07:00:00,16.5,16.58,16.4,16.58,12868300
2024-01-02 07:00:00,16.72,16.72,16.1,16.1,12286000
2024-01-03 07:00:00,16.07,16.47,16.03,16.47,7147000
2024-01-04 07:00:00,16.47,16.61,16.32,16.32,12784900
2024-01-05 07:00:00,16.32,16.4,16.1,16.25,9177500
2024-01-08 07:00:00,16.32,16.43,16.18,16.25,10813900
2024-01-09 07:00:00,16.25,16.29,15.85,15.92,16849800
2024-01-10 07:00:00,15.92,15.96,15.49,15.78,19600500
2024-01-11 07:00:00,15.85,16.1,15.85,16.07,10390200
2024-01-12 07:00:00,15.85,16.07,15.63,15.78,12532100
2024-01-15 07:00:00,15.89,16.0,15.7,15.7,5883400
2024-01-16 07:00:00,15.7,16.65,15.6,16.65,19794000
2024-01-17 07:00:00,16.69,16.72,16.32,16.43,12902400
2024-01-18 07:00:00,16.47,16.69,16.29,16.4,12370800
2024-01-19 07:00:00,16.54,16.54,16.25,16.36,8756800
2024-01-22 07:00:00,16.43,16.94,16.4,16.76,25152700
2024-01-23 07:00:00,16.8,16.87,16.58,16.61,6165000
2024-01-24 07:00:00,16.61,16.76,16.58,16.61,10338500
2024-01-25 07:00:00,16.65,16.94,16.47,16.8,12704900
2024-01-26 07:00:00,16.83,17.23,16.83,17.12,14839500
2024-01-29 07:00:00,17.05,17.09,16.58,16.61,22504300
2024-01-30 07:00:00,16.61,16.83,16.43,16.83,9393200
2024-01-31 07:00:00,16.69,16.83,16.43,16.65,12997300
2024-02-01 07:00:00,16.5,16.69,16.47,16.65,7378800
2024-02-02 07:00:00,16.65,16.94,16.58,16.65,10087300
2024-02-05 07:00:00,16.72,16.87,16.65,16.8,6949000
2024-02-06 07:00:00,16.83,17.01,16.8,16.8,7137400
2024-02-07 07:00:00,16.8,16.98,16.8,16.9,7674400
2024-02-15 07:00:00,17.05,17.38,16.94,17.01,11810000
2024-02-16 07:00:00,17.01,17.09,16.87,16.98,7205200
2024-02-19 07:00:00,16.98,17.2,16.65,16.94,15246100
2024-02-20 07:00:00,16.94,16.98,16.72,16.76,8639700
2024-02-21 07:00:00,16.76,16.8,16.43,16.5,14276400
2024-02-22 07:00:00,16.5,16.58,16.4,16.4,9094600
2024-02-23 07:00:00,16.43,16.61,16.1,16.1,12862400
2024-02-26 07:00:00,16.1,16.36,16.07,16.32,8024100
2024-02-27 07:00:00,16.4,16.94,16.36,16.61,16209300
2024-02-28 07:00:00,16.72,16.83,16.5,16.65,8258300
2024-02-29 07:00:00,16.69,16.8,16.43,16.54,9688500
2024-03-01 07:00:00,16.5,16.8,16.47,16.76,9527600
2024-03-04 07:00:00,16.98,17.3,16.8,17.05,19031300
2024-03-05 07:00:00,17.05,17.23,16.87,17.09,11632900
2024-03-06 07:00:00,17.09,17.09,16.47,16.69,11577100
2024-03-07 07:00:00,16.65,16.8,16.54,16.61,9241700
2024-03-08 07:00:00,16.65,16.72,16.25,16.29,17365900
2024-03-11 07:00:00,16.29,16.32,15.92,15.96,10564600
2024-03-12 07:00:00,15.92,16.03,15.89,15.89,11651000
2024-03-13 07:00:00,16.0,16.5,15.89,16.43,11284600
2024-03-14 07:00:00,16.5,16.5,16.07,16.18,9751100
2024-03-15 07:00:00,16.14,16.5,16.03,16.07,12987100
2024-03-18 07:00:00,16.14,16.25,15.2,15.74,16324100
2024-03-19 07:00:00,15.78,16.58,15.63,16.14,17293100
2024-03-20 07:00:00,16.25,16.32,16.07,16.25,6390100
2024-03-21 07:00:00,16.36,16.61,16.21,16.5,13052500
2024-03-22 07:00:00,16.61,17.05,16.5,16.9,31322600
2024-03-25 07:00:00,17.05,17.27,16.65,16.72,14818600
2024-03-26 07:00:00,16.58,17.09,16.58,17.09,11522900
2024-03-27 07:00:00,17.45,17.92,17.38,17.52,27369300
2024-03-28 07:00:00,17.6,17.6,17.27,17.49,13643300
2024-03-29 07:00:00,17.49,17.52,17.2,17.2,9987500
2024-04-01 07:00:00,17.16,17.3,16.94,17.16,12147900
2024-04-02 07:00:00,17.01,17.56,16.94,17.56,16386500
2024-04-03 07:00:00,17.56,17.6,17.16,17.2,9875300
2024-04-04 07:00:00,17.12,17.2,16.87,16.87,10494200
2024-04-05 07:00:00,16.69,16.8,16.43,16.43,14838500
2024-04-08 07:00:00,16.47,16.72,16.36,16.43,5443100
2024-04-09 07:00:00,16.47,16.69,16.47,16.61,3992100
2024-04-10 07:00:00,16.72,16.76,16.47,16.47,5240400
2024-04-11 07:00:00,16.36,17.01,16.29,16.65,11736900
2024-04-12 07:00:00,16.72,16.87,16.54,16.65,7553300
2024-04-15 07:00:00,16.65,16.76,15.49,15.49,19515200
2024-04-16 07:00:00,15.49,15.52,14.65,15.09,14288400
2024-04-17 07:00:00,15.27,15.27,14.54,14.54,7273900
2024-04-19 07:00:00,14.36,14.69,14.1,14.21,13118000
2024-04-22 07:00:00,14.47,14.72,14.4,14.69,6298700
2024-04-23 07:00:00,14.69,14.69,14.18,14.18,5710400
2024-04-24 07:00:00,14.55,14.85,14.4,14.66,6088300
2024-04-25 07:00:00,14.7,14.7,14.48,14.63,3268200
2024-04-26 07:00:00,14.48,14.7,14.36,14.48,3700900
2024-05-02 07:00:00,14.48,14.85,14.44,14.78,3908100
2024-05-03 07:00:00,14.92,15.11,14.81,14.92,6732400
2024-05-06 07:00:00,15.15,15.37,15.0,15.22,6780900
2024-05-07 07:00:00,15.3,15.45,15.15,15.3,5947800
2024-05-08 07:00:00,15.22,15.63,15.0,15.41,7918100
2024-05-09 07:00:00,15.6,15.71,15.22,15.22,8706800
2024-05-10 07:00:00,15.26,15.48,15.11,15.41,6800500
2024-05-13 07:00:00,15.45,15.82,15.45,15.67,11011100
2024-05-14 07:00:00,15.74,15.82,15.52,15.56,5136300
2024-05-15 07:00:00,15.6,15.97,15.6,15.82,10133000
2024-05-16 07:00:00,16.08,16.19,16.01,16.04,11866100
2024-05-17 07:00:00,16.04,16.3,15.89,16.3,8791600
2024-05-20 07:00:00,16.42,16.53,16.27,16.38,11474700
2024-05-21 07:00:00,16.27,16.38,16.04,16.27,7109800
2024-05-22 07:00:00,16.3,16.6,16.12,16.38,15581500
2024-05-23 07:00:00,16.38,16.68,16.3,16.68,14555300
2024-05-24 07:00:00,16.49,16.79,15.86,16.08,14429600
2024-05-27 07:00:00,16.04,16.42,15.97,16.42,6735200
2024-05-28 07:00:00,16.53,16.53,16.34,16.45,7255700
2024-05-29 07:00:00,16.57,16.72,16.23,16.3,10032900
2024-05-30 07:00:00,16.04,16.27,15.93,16.08,7180500
2024-05-31 07:00:00,16.19,16.34,16.01,16.27,6015200
2024-06-03 07:00:00,16.42,16.68,16.38,16.68,11779800
2024-06-04 07:00:00,16.72,17.65,16.72,17.27,31581500
2024-06-05 07:00:00,17.35,17.5,17.16,17.27,12368700
