time,open,high,low,close,volume
2024-02-15 07:00:00,37.92,38.46,37.71,37.98,2520003
2024-02-16 07:00:00,38.12,39.0,37.92,38.12,1938982
2024-02-19 07:00:00,38.19,38.19,37.44,37.78,2266170
2024-02-20 07:00:00,37.85,38.12,37.38,37.78,1489557
2024-02-21 07:00:00,37.78,38.32,37.78,38.32,2104547
2024-02-22 07:00:00,38.32,39.47,38.26,39.14,3294940
2024-02-23 07:00:00,39.27,39.27,37.92,38.26,3556560
2024-02-26 07:00:00,38.26,38.86,38.05,38.73,2108787
2024-02-27 07:00:00,38.8,39.95,38.73,39.88,2899019
2024-02-28 07:00:00,39.88,40.02,39.2,39.74,1765582
2024-02-29 07:00:00,39.74,39.88,38.93,39.88,2610088
2024-03-01 07:00:00,39.88,40.02,39.41,39.88,1664783
2024-03-04 07:00:00,39.54,40.29,39.41,39.54,1886156
2024-03-05 07:00:00,39.54,39.74,39.14,39.34,1644907
2024-03-06 07:00:00,39.34,39.41,38.39,38.8,2765209
2024-03-07 07:00:00,38.8,39.07,38.46,38.86,1852138
2024-03-08 07:00:00,38.93,39.74,38.46,39.14,3257928
2024-03-11 07:00:00,39.2,40.02,38.66,39.0,2959328
2024-03-12 07:00:00,39.27,40.42,39.0,39.81,3032138
2024-03-13 07:00:00,39.81,40.96,39.81,40.62,4081236
2024-03-14 07:00:00,40.96,42.32,40.42,40.83,3351212
2024-03-15 07:00:00,40.9,41.17,40.29,40.49,3016142
2024-03-18 07:00:00,40.35,40.83,36.97,39.2,6133342
2024-03-19 07:00:00,39.2,39.2,38.46,38.93,1622666
2024-03-20 07:00:00,38.93,39.81,38.46,39.61,1616788
2024-03-21 07:00:00,39.61,40.08,39.34,40.02,2181724
2024-03-22 07:00:00,40.08,40.83,39.95,40.29,2021775
2024-03-25 07:00:00,40.29,40.29,39.14,39.27,2008772
2024-03-26 07:00:00,39.27,39.68,39.07,39.61,1419872
2024-03-27 07:00:00,39.68,40.02,39.54,39.81,904389
2024-03-28 07:00:00,39.81,40.08,39.61,39.81,997841
2024-03-29 07:00:00,39.95,40.56,39.81,39.95,2063612
2024-04-01 07:00:00,39.95,40.15,39.41,39.61,919470
2024-04-02 07:00:00,39.61,40.62,39.27,40.62,2090658
2024-04-03 07:00:00,41.03,41.03,39.68,39.68,1938020
2024-04-04 07:00:00,39.68,39.68,39.14,39.27,2058339
2024-04-05 07:00:00,38.93,39.81,36.22,39.27,1677800
2024-04-08 07:00:00,39.07,39.27,38.73,39.2,1017757
2024-04-09 07:00:00,39.2,39.54,38.93,39.34,972174
2024-04-10 07:00:00,39.95,39.95,38.93,38.93,1061405
2024-04-11 07:00:00,38.46,39.0,38.26,38.93,1174330
2024-04-12 07:00:00,38.73,39.61,38.73,39.54,1451465
2024-04-15 07:00:00,39.27,39.54,37.31,37.38,2232889
2024-04-16 07:00:00,37.38,37.51,36.22,36.9,2551064
2024-04-17 07:00:00,36.9,37.58,36.7,36.9,1907470
2024-04-19 07:00:00,36.9,37.1,35.07,35.07,3282201
2024-04-22 07:00:00,36.49,36.49,35.07,36.09,1338972
2024-04-23 07:00:00,35.89,36.29,34.06,35.82,1302312
2024-04-24 07:00:00,35.62,37.1,35.62,36.83,1652831
2024-04-25 07:00:00,36.83,37.51,36.43,37.38,1330974
2024-04-26 07:00:00,37.38,38.19,36.9,38.05,1376158
2024-05-02 07:00:00,38.26,40.22,38.26,39.95,3031388
2024-05-03 07:00:00,39.61,40.29,39.61,40.08,1696872
2024-05-06 07:00:00,40.08,42.86,40.08,41.64,4746720
2024-05-07 07:00:00,41.64,42.05,41.3,41.98,2072672
2024-05-08 07:00:00,37.78,42.25,37.78,41.64,2369758
2024-05-09 07:00:00,41.64,42.66,41.37,42.39,3828545
2024-05-10 07:00:00,42.39,42.45,41.37,42.05,1933639
2024-05-13 07:00:00,41.64,42.59,41.57,42.05,2857642
2024-05-14 07:00:00,42.05,43.33,41.98,42.79,2977371
2024-05-15 07:00:00,42.93,43.06,42.59,42.93,2230694
2024-05-16 07:00:00,43.13,43.47,42.59,43.0,2885123
2024-05-17 07:00:00,43.0,43.0,42.05,42.45,3835288
2024-05-20 07:00:00,42.52,42.93,42.12,42.45,2202837
2024-05-21 07:00:00,42.45,42.52,41.64,42.18,2961660
2024-05-22 07:00:00,42.32,43.06,42.25,43.06,4452287
2024-05-23 07:00:00,42.93,43.94,42.93,43.33,3190025
2024-05-24 07:00:00,43.33,43.47,41.57,43.0,4112115
2024-05-27 07:00:00,43.27,43.27,42.32,42.72,1289240
2024-05-28 07:00:00,42.72,44.35,42.66,43.47,3572163
2024-05-29 07:00:00,43.67,44.08,43.06,43.47,2205067
2024-05-30 07:00:00,42.66,43.4,39.14,43.2,2475857
2024-05-31 07:00:00,43.27,43.54,42.72,43.2,1392208
2024-06-03 07:00:00,44.4,44.4,43.34,44.04,1815079
2024-06-04 07:00:00,44.04,44.33,43.62,44.04,1507912
2024-06-05 07:00:00,44.04,44.89,43.97,43.97,2203518
2024-06-06 07:00:00,43.83,44.18,43.06,43.62,2414223
2024-06-07 07:00:00,43.62,43.69,43.34,43.48,1529621
