time,open,high,low,close,volume
2025-08-11 07:00:00,8.79,8.79,8.35,8.48,4169600
2025-08-12 07:00:00,8.49,8.8,8.43,8.56,3608800
2025-08-13 07:00:00,8.54,9.1,8.45,9.1,7095400
2025-08-14 07:00:00,9.39,9.39,9.05,9.1,4007900
2025-08-15 07:00:00,8.95,9.28,8.75,8.87,5031100
2025-08-18 07:00:00,8.52,8.86,8.52,8.65,3150200
2025-08-19 07:00:00,8.76,8.98,8.67,8.75,2602400
2025-08-20 07:00:00,8.76,8.82,8.2,8.39,3664600
2025-08-21 07:00:00,8.39,8.43,8.09,8.09,2752000
2025-08-22 07:00:00,8.0,8.1,7.8,7.9,2525700
2025-08-25 07:00:00,7.9,8.25,7.81,7.91,2154400
2025-08-26 07:00:00,7.91,8.09,7.91,8.09,1426900
2025-08-27 07:00:00,8.1,8.18,8.03,8.04,1439800
2025-08-28 07:00:00,8.04,8.34,8.0,8.25,2017800
2025-08-29 07:00:00,8.39,8.39,8.12,8.12,1124500
2025-09-03 07:00:00,8.15,8.16,8.11,8.14,1240500
2025-09-04 07:00:00,8.2,8.28,8.17,8.28,1617300
2025-09-05 07:00:00,8.3,8.65,8.02,8.02,3084300
2025-09-08 07:00:00,8.04,8.4,8.04,8.12,2754600
2025-09-09 07:00:00,8.13,8.25,8.04,8.2,1321000
2025-09-10 07:00:00,8.2,8.2,8.05,8.15,858100
2025-09-11 07:00:00,8.06,8.12,7.86,8.05,1431900
2025-09-12 07:00:00,8.1,8.29,8.08,8.16,1254900
2025-09-15 07:00:00,8.18,8.73,8.18,8.73,4140400
2025-09-16 07:00:00,9.19,9.19,8.61,8.62,4043100
2025-09-17 07:00:00,8.61,8.77,8.38,8.39,2602400
2025-09-18 07:00:00,8.39,8.57,8.35,8.44,1486800
2025-09-19 07:00:00,8.5,8.5,8.15,8.32,2302500
2025-09-22 07:00:00,8.33,8.52,8.12,8.19,1603200
2025-09-23 07:00:00,8.21,8.36,8.21,8.34,806300
2025-09-24 07:00:00,8.34,8.34,8.21,8.32,660800
2025-09-25 07:00:00,8.33,8.63,8.25,8.49,2379400
2025-09-26 07:00:00,8.5,8.7,8.46,8.5,1849600
2025-09-29 07:00:00,8.5,8.59,8.21,8.3,1384800
2025-09-30 07:00:00,8.23,8.33,7.99,8.13,1933500
2025-10-01 07:00:00,8.21,8.3,8.12,8.13,678000
2025-10-02 07:00:00,8.19,8.19,8.0,8.03,871000
2025-10-03 07:00:00,8.02,8.18,7.89,8.01,1381500
2025-10-06 07:00:00,8.02,8.19,8.02,8.14,592700
2025-10-07 07:00:00,8.16,8.17,8.0,8.0,671600
2025-10-08 07:00:00,8.1,8.24,8.03,8.16,946400
2025-10-09 07:00:00,8.16,8.21,8.0,8.11,615800
2025-10-10 07:00:00,8.09,8.21,8.09,8.15,988400
2025-10-13 07:00:00,8.02,8.1,8.01,8.05,1152100
2025-10-14 07:00:00,8.04,8.1,7.81,7.81,1678000
2025-10-15 07:00:00,7.82,7.95,7.58,7.63,1205400
2025-10-16 07:00:00,7.65,7.7,7.6,7.64,744100
2025-10-17 07:00:00,7.75,7.78,7.59,7.59,787900
2025-10-20 07:00:00,7.59,7.69,7.11,7.12,986500
2025-10-21 07:00:00,7.12,7.2,6.95,7.16,1066000
2025-10-22 07:00:00,7.21,7.21,7.09,7.2,334500
2025-10-23 07:00:00,7.11,7.29,7.11,7.14,366800
2025-10-24 07:00:00,7.11,7.13,6.99,7.02,555300
2025-10-27 07:00:00,7.13,7.28,7.13,7.17,556700
2025-10-28 07:00:00,7.11,7.16,7.0,7.12,543400
2025-10-29 07:00:00,7.2,7.34,7.16,7.32,687700
2025-10-30 07:00:00,7.39,7.59,7.37,7.45,813100
2025-10-31 07:00:00,7.49,7.49,7.34,7.36,465200
2025-11-03 07:00:00,7.45,7.45,7.17,7.17,624800
2025-11-04 07:00:00,7.18,7.29,7.03,7.29,713100
2025-11-05 07:00:00,7.3,7.3,7.21,7.21,346600
2025-11-06 07:00:00,7.25,7.27,7.21,7.21,297400
2025-11-07 07:00:00,7.2,7.24,7.05,7.09,512000
2025-11-10 07:00:00,7.09,7.21,7.05,7.1,428000
2025-11-11 07:00:00,7.12,7.18,7.09,7.12,191900
2025-11-12 07:00:00,7.2,7.2,7.13,7.17,377600
2025-11-13 07:00:00,7.18,7.4,7.18,7.29,797900
2025-11-14 07:00:00,7.3,7.35,7.26,7.3,228600
2025-11-17 07:00:00,7.3,7.43,7.3,7.37,566400
2025-11-18 07:00:00,7.38,7.8,7.38,7.71,2191500
2025-11-19 07:00:00,7.84,7.84,7.46,7.5,711100
2025-11-20 07:00:00,7.58,7.58,7.35,7.4,684700
2025-11-21 07:00:00,7.33,7.37,7.25,7.36,619700
2025-11-24 07:00:00,7.32,7.39,7.27,7.27,362900
2025-11-25 07:00:00,7.27,7.3,7.18,7.22,652200
2025-11-26 07:00:00,7.22,7.28,7.21,7.28,235900
2025-11-27 07:00:00,7.29,7.31,7.25,7.25,248100
2025-11-28 07:00:00,7.25,7.25,7.15,7.2,531600
2025-12-01 07:00:00,7.2,7.26,7.19,7.21,269700
2025-12-02 07:00:00,7.27,7.27,7.14,7.21,315600
2025-12-03 07:00:00,7.28,7.3,7.2,7.25,396800
2025-12-04 07:00:00,7.31,7.34,7.27,7.28,453100
2025-12-05 07:00:00,7.29,7.31,7.23,7.26,201900
2025-12-08 07:00:00,7.26,7.28,7.19,7.19,466700
2025-12-09 07:00:00,7.19,7.24,7.09,7.18,604600
2025-12-10 07:00:00,7.18,7.18,7.11,7.15,219000
2025-12-11 07:00:00,7.23,7.23,7.13,7.18,138300
2025-12-12 07:00:00,7.11,7.21,7.0,7.0,404900
2025-12-15 07:00:00,7.02,7.06,6.6,6.9,408600
2025-12-16 07:00:00,6.89,6.97,6.69,6.91,467200
2025-12-17 07:00:00,6.91,7.12,6.9,6.94,133400
2025-12-18 07:00:00,6.95,6.98,6.88,6.89,240800
2025-12-19 07:00:00,6.91,6.96,6.84,6.87,196300
2025-12-22 07:00:00,6.87,6.94,6.85,6.93,208000
2025-12-23 07:00:00,6.94,7.06,6.9,6.9,247000
2025-12-24 07:00:00,6.9,6.95,6.86,6.91,207400
2025-12-25 07:00:00,6.9,6.93,6.86,6.9,292300
2025-12-26 07:00:00,6.82,6.91,6.74,6.86,285100
2025-12-29 07:00:00,6.86,6.87,6.75,6.86,315600
2025-12-30 07:00:00,6.86,6.87,6.75,6.79,192500
2025-12-31 07:00:00,6.79,6.82,6.75,6.79,150600
2026-01-05 07:00:00,6.79,6.86,6.75,6.81,170500
2026-01-06 07:00:00,6.78,6.8,6.71,6.77,283100
2026-01-07 07:00:00,6.8,6.85,6.74,6.85,420100
2026-01-08 07:00:00,6.85,6.85,6.75,6.75,361600
2026-01-09 07:00:00,6.75,6.79,6.42,6.42,579400
2026-01-12 07:00:00,6.59,6.59,6.45,6.58,488000
2026-01-13 07:00:00,6.6,6.82,6.6,6.78,368100
2026-01-14 07:00:00,6.82,6.86,6.72,6.72,461600
2026-01-15 07:00:00,6.77,6.77,6.48,6.72,380000
2026-01-16 07:00:00,6.72,6.82,6.7,6.8,593900
2026-01-19 07:00:00,6.8,7.0,6.75,6.92,637300
2026-01-20 07:00:00,6.98,6.99,6.8,6.81,386900
2026-01-21 07:00:00,6.88,6.88,6.71,6.76,279400
2026-01-22 07:00:00,6.74,6.86,6.74,6.79,423400
2026-01-23 07:00:00,6.89,6.93,6.74,6.78,340600
2026-01-26 07:00:00,6.78,6.87,6.31,6.46,561900
2026-01-27 07:00:00,6.59,6.59,6.37,6.42,500700
2026-01-28 07:00:00,6.53,6.54,6.36,6.48,488400
2026-01-29 07:00:00,6.58,6.69,6.44,6.55,547500
2026-01-30 07:00:00,6.77,6.89,6.77,6.84,905900
2026-02-02 07:00:00,6.81,6.99,6.6,6.9,610400
2026-02-03 07:00:00,6.9,6.97,6.75,6.8,544600
2026-02-04 07:00:00,6.85,7.2,6.8,7.19,1507900
2026-02-05 07:00:00,7.19,7.2,7.01,7.04,377100
2026-02-06 07:00:00,7.03,7.03,6.77,6.79,612400
2026-02-09 07:00:00,6.78,6.84,6.76,6.77,278400
2026-02-10 07:00:00,6.77,6.82,6.73,6.77,191400
2026-02-11 07:00:00,6.84,6.88,6.77,6.84,296900
2026-02-12 07:00:00,6.84,6.84,6.8,6.8,217900
2026-02-13 07:00:00,6.77,6.84,6.76,6.84,310900
2026-02-23 07:00:00,7.12,7.31,6.94,7.31,2072400
2026-02-24 07:00:00,7.31,7.38,7.23,7.26,729800
2026-02-25 07:00:00,7.3,7.55,7.29,7.34,861100
2026-02-26 07:00:00,7.45,7.45,7.23,7.3,519000
2026-02-27 07:00:00,7.21,7.39,7.21,7.23,821100
2026-03-02 07:00:00,7.0,7.33,6.94,7.14,1498200
2026-03-03 07:00:00,7.04,7.2,7.04,7.09,827500
2026-03-04 07:00:00,7.09,7.2,6.97,7.09,1264300
2026-03-05 07:00:00,7.17,7.17,7.08,7.08,441500
2026-03-06 07:00:00,7.11,7.11,6.9,7.06,779700
2026-03-09 07:00:00,6.58,6.84,6.57,6.57,971800
2026-03-10 07:00:00,6.95,6.95,6.6,6.81,816100
2026-03-11 07:00:00,6.7,7.05,6.7,7.05,920900
2026-03-12 07:00:00,7.05,7.1,6.85,7.03,472100
2026-03-13 07:00:00,7.03,7.47,7.0,7.39,1855600
