time,open,high,low,close,volume
2025-08-11 07:00:00,10.0,10.4,9.8,10.4,837500
2025-08-12 07:00:00,10.4,10.4,10.0,10.2,503300
2025-08-13 07:00:00,10.5,10.5,9.9,10.2,636400
2025-08-14 07:00:00,10.3,10.6,10.2,10.3,983400
2025-08-15 07:00:00,10.4,11.3,10.4,11.3,2601000
2025-08-18 07:00:00,11.5,12.2,11.3,11.6,1668700
2025-08-19 07:00:00,11.7,11.9,11.2,11.4,1279000
2025-08-20 07:00:00,11.4,11.4,10.4,10.7,1747900
2025-08-21 07:00:00,10.8,11.2,10.7,10.9,1016500
2025-08-22 07:00:00,10.9,10.9,10.2,10.3,1095300
2025-08-25 07:00:00,10.4,10.6,10.2,10.3,602800
2025-08-26 07:00:00,10.3,10.6,10.3,10.6,604800
2025-08-27 07:00:00,10.7,10.8,10.4,10.5,842500
2025-08-28 07:00:00,10.5,11.5,10.5,11.1,1851500
2025-08-29 07:00:00,11.4,12.1,11.3,11.6,2940500
2025-09-03 07:00:00,11.6,11.9,11.3,11.4,992500
2025-09-04 07:00:00,11.4,11.5,11.2,11.4,733300
2025-09-05 07:00:00,11.5,11.7,11.1,11.3,1528400
2025-09-08 07:00:00,11.3,11.3,10.6,10.6,1383600
2025-09-09 07:00:00,10.7,11.0,10.6,10.9,660700
2025-09-10 07:00:00,10.7,11.2,10.5,10.9,213300
2025-09-11 07:00:00,10.9,10.9,10.4,10.9,539700
2025-09-12 07:00:00,10.9,11.0,10.8,10.8,266600
2025-09-15 07:00:00,11.0,11.0,10.7,10.8,292200
2025-09-16 07:00:00,10.8,11.0,10.7,10.7,319900
2025-09-17 07:00:00,10.7,10.7,10.5,10.6,462900
2025-09-18 07:00:00,10.4,10.6,10.3,10.4,351600
2025-09-19 07:00:00,10.5,10.6,10.3,10.4,186700
2025-09-22 07:00:00,10.4,10.4,10.1,10.3,512800
2025-09-23 07:00:00,10.3,10.4,10.2,10.3,141200
2025-09-24 07:00:00,10.3,10.4,10.2,10.4,191400
2025-09-25 07:00:00,10.4,10.5,10.2,10.4,331200
2025-09-26 07:00:00,10.5,10.5,10.2,10.2,270100
2025-09-29 07:00:00,10.2,10.3,10.0,10.1,290100
2025-09-30 07:00:00,10.1,10.2,9.9,10.1,276000
2025-10-01 07:00:00,10.2,10.3,10.0,10.2,139500
2025-10-02 07:00:00,10.2,10.3,9.9,10.0,124700
2025-10-03 07:00:00,10.0,10.0,9.7,10.0,214800
2025-10-06 07:00:00,9.9,10.4,9.9,10.4,411200
2025-10-07 07:00:00,10.4,10.4,10.0,10.0,160600
2025-10-08 07:00:00,10.3,10.4,10.0,10.1,239100
2025-10-09 07:00:00,10.2,10.2,10.1,10.2,124500
2025-10-10 07:00:00,10.2,10.2,10.0,10.1,131000
2025-10-13 07:00:00,10.0,10.0,9.9,9.9,287300
2025-10-14 07:00:00,9.9,10.1,9.7,9.7,444700
2025-10-15 07:00:00,9.9,9.9,9.5,9.5,262800
2025-10-16 07:00:00,9.5,9.6,9.2,9.3,313500
2025-10-17 07:00:00,9.3,9.4,9.2,9.4,185100
2025-10-20 07:00:00,9.4,9.4,8.5,8.5,510900
2025-10-21 07:00:00,8.5,8.8,8.3,8.6,412000
2025-10-22 07:00:00,8.6,8.7,8.5,8.6,151100
2025-10-23 07:00:00,8.7,8.9,8.6,8.6,92100
2025-10-24 07:00:00,8.5,8.7,8.5,8.6,100100
2025-10-27 07:00:00,8.6,8.8,8.6,8.7,50400
2025-10-28 07:00:00,8.7,8.9,8.6,8.9,87600
2025-10-29 07:00:00,8.9,8.9,8.7,8.8,90000
2025-10-30 07:00:00,8.8,8.8,8.5,8.7,67500
2025-10-31 07:00:00,8.7,8.8,8.6,8.6,165200
2025-11-03 07:00:00,8.6,9.1,8.6,8.8,765600
2025-11-04 07:00:00,8.8,9.3,8.7,9.2,403200
2025-11-05 07:00:00,9.2,9.3,9.0,9.1,123400
