time,open,high,low,close,volume
2023-11-23 07:00:00,26.85,27.05,25.85,25.85,1822400
2023-11-24 07:00:00,25.98,25.98,24.95,25.94,1445400
2023-11-27 07:00:00,25.98,26.31,25.52,25.85,673100
2023-11-28 07:00:00,25.77,25.9,25.07,25.85,1110100
2023-11-29 07:00:00,25.9,26.06,25.69,26.06,747800
2023-11-30 07:00:00,26.1,26.14,25.77,25.77,1869700
2023-12-01 07:00:00,26.27,26.27,25.73,26.06,794900
2023-12-04 07:00:00,26.27,27.18,26.23,26.93,4225100
2023-12-05 07:00:00,27.05,27.05,26.43,26.51,1910900
2023-12-06 07:00:00,26.72,26.72,26.35,26.47,3062500
2023-12-07 07:00:00,26.68,26.68,25.77,26.18,2028600
2023-12-08 07:00:00,26.18,26.31,26.02,26.23,1000300
2023-12-11 07:00:00,26.23,26.27,25.73,25.94,767300
2023-12-12 07:00:00,25.98,26.02,25.73,25.94,1279400
2023-12-13 07:00:00,25.98,26.06,25.73,25.77,1713000
2023-12-14 07:00:00,25.85,25.9,24.82,25.32,1547400
2023-12-15 07:00:00,25.19,25.32,24.86,25.07,1320500
2023-12-18 07:00:00,25.07,25.07,24.53,25.03,1631400
2023-12-19 07:00:00,24.95,24.99,24.62,24.86,1617100
2023-12-20 07:00:00,24.86,24.9,24.62,24.62,978600
2023-12-21 07:00:00,24.62,24.86,24.33,24.82,1699000
2023-12-22 07:00:00,24.82,24.95,24.7,24.82,947500
2023-12-25 07:00:00,24.82,25.15,24.82,25.03,883000
2023-12-26 07:00:00,25.15,25.36,24.86,25.36,2067900
2023-12-27 07:00:00,25.32,25.4,25.19,25.32,1367000
2023-12-28 07:00:00,25.32,25.61,25.28,25.32,1150700
2023-12-29 07:00:00,25.36,25.94,25.32,25.94,1677500
2024-01-02 07:00:00,25.94,25.98,25.28,25.48,1249000
2024-01-03 07:00:00,25.48,25.48,25.23,25.44,1181700
2024-01-04 07:00:00,25.44,25.69,25.4,25.56,1815400
2024-01-05 07:00:00,25.56,25.81,25.52,25.61,1671900
2024-01-08 07:00:00,25.9,25.98,25.69,25.77,2178100
2024-01-09 07:00:00,25.85,26.02,25.4,25.4,2769600
2024-01-10 07:00:00,25.44,25.44,24.78,24.82,2133500
2024-01-11 07:00:00,24.86,25.03,24.82,24.99,1526600
2024-01-12 07:00:00,24.86,24.86,24.57,24.7,2859900
2024-01-15 07:00:00,24.82,24.86,24.66,24.66,717600
2024-01-16 07:00:00,24.53,24.66,24.12,24.45,1951300
2024-01-17 07:00:00,24.53,25.03,24.45,24.9,1598700
2024-01-18 07:00:00,24.95,26.1,24.95,25.85,3498800
2024-01-19 07:00:00,25.9,26.1,25.9,25.94,2158900
2024-01-22 07:00:00,25.94,25.94,25.44,25.77,2108200
2024-01-23 07:00:00,25.77,25.81,25.52,25.65,1162400
2024-01-24 07:00:00,25.65,25.69,25.52,25.52,932600
2024-01-25 07:00:00,25.52,25.77,25.36,25.77,1483000
2024-01-26 07:00:00,25.9,25.9,25.65,25.73,1230100
2024-01-29 07:00:00,25.81,25.81,25.61,25.73,977800
2024-01-30 07:00:00,25.65,25.73,25.44,25.61,1065900
2024-01-31 07:00:00,25.69,25.77,25.44,25.52,1176700
2024-02-01 07:00:00,25.36,25.52,25.11,25.19,1776700
2024-02-02 07:00:00,25.19,25.98,25.19,25.19,2099600
2024-02-05 07:00:00,25.32,25.61,25.19,25.48,1037400
2024-02-06 07:00:00,25.48,25.77,25.44,25.69,919100
2024-02-07 07:00:00,25.85,25.85,25.61,25.77,1065600
2024-02-15 07:00:00,25.85,26.06,25.77,25.98,1539000
2024-02-16 07:00:00,25.98,26.23,25.9,25.94,1201300
2024-02-19 07:00:00,25.94,26.02,25.56,25.85,1586400
2024-02-20 07:00:00,25.94,26.27,25.81,26.18,2356500
2024-02-21 07:00:00,26.27,27.67,26.18,27.09,6967200
2024-02-22 07:00:00,26.85,27.09,26.76,26.76,1659200
2024-02-23 07:00:00,26.93,26.93,26.14,26.23,3853800
2024-02-26 07:00:00,26.23,26.35,25.9,26.23,2268300
2024-02-27 07:00:00,26.39,27.09,26.18,26.93,3756500
2024-02-28 07:00:00,27.13,27.13,26.6,26.76,1789100
