time,open,high,low,close,volume
2023-11-17 07:00:00,12.43,12.59,12.23,12.23,2536000
2023-11-20 07:00:00,12.15,12.39,12.11,12.23,1883600
2023-11-21 07:00:00,12.31,12.43,12.27,12.43,2392000
2023-11-22 07:00:00,12.43,12.47,12.31,12.31,1684900
2023-11-23 07:00:00,12.35,12.43,11.95,11.95,2581800
2023-11-24 07:00:00,12.03,12.23,11.99,12.07,1601100
2023-11-27 07:00:00,12.07,12.19,11.79,11.79,1588300
2023-11-28 07:00:00,11.79,11.95,11.55,11.95,1695000
2023-11-29 07:00:00,11.95,12.39,11.95,12.11,5192000
2023-11-30 07:00:00,12.15,12.43,12.11,12.19,4590200
2023-12-01 07:00:00,12.23,12.35,12.11,12.19,1206300
2023-12-04 07:00:00,12.27,12.31,12.15,12.19,3428500
2023-12-05 07:00:00,12.23,12.31,12.11,12.23,3201300
2023-12-06 07:00:00,12.23,12.75,12.23,12.55,10765300
2023-12-07 07:00:00,12.59,12.83,12.59,12.75,10698700
2023-12-08 07:00:00,12.79,13.15,12.75,13.03,9410300
2023-12-11 07:00:00,13.07,13.19,12.87,12.91,6819200
2023-12-12 07:00:00,12.95,13.07,12.75,12.79,3448900
2023-12-13 07:00:00,12.79,12.95,12.51,12.59,2614200
2023-12-14 07:00:00,12.51,12.75,12.47,12.47,1862500
2023-12-15 07:00:00,12.51,12.67,12.47,12.51,1608400
2023-12-18 07:00:00,12.51,12.63,12.31,12.31,2105100
2023-12-19 07:00:00,12.23,12.43,12.11,12.19,2017700
2023-12-20 07:00:00,12.19,12.43,12.19,12.27,1105800
2023-12-21 07:00:00,12.27,12.39,12.15,12.23,1514400
2023-12-22 07:00:00,12.23,12.55,12.23,12.43,2091500
2023-12-25 07:00:00,12.55,12.55,12.27,12.43,1286500
2023-12-26 07:00:00,12.55,12.63,12.47,12.47,1833700
2023-12-27 07:00:00,12.63,12.63,12.47,12.51,2317900
2023-12-28 07:00:00,12.59,12.71,12.47,12.59,2345600
2023-12-29 07:00:00,12.51,12.75,12.51,12.55,1717100
2024-01-02 07:00:00,12.59,12.99,12.59,12.79,3857100
2024-01-03 07:00:00,12.87,12.95,12.75,12.95,2847700
2024-01-04 07:00:00,12.99,13.43,12.91,13.15,7468900
2024-01-05 07:00:00,13.39,13.39,13.11,13.23,2311800
2024-01-08 07:00:00,13.27,13.47,13.19,13.19,4503100
2024-01-09 07:00:00,13.31,13.31,12.99,13.11,2571900
2024-01-10 07:00:00,13.11,13.31,13.07,13.15,4064700
2024-01-11 07:00:00,13.15,13.55,13.11,13.19,6894700
2024-01-12 07:00:00,12.95,13.27,12.87,13.23,10227400
2024-01-15 07:00:00,13.55,13.59,13.23,13.23,6142200
2024-01-16 07:00:00,13.19,13.51,13.19,13.31,6517300
2024-01-17 07:00:00,13.35,13.87,13.31,13.47,16174700
2024-01-18 07:00:00,13.59,14.02,13.51,13.87,12953300
2024-01-19 07:00:00,13.95,14.02,13.79,13.87,4412100
2024-01-22 07:00:00,13.98,13.98,13.63,13.75,4686900
2024-01-23 07:00:00,13.87,13.87,13.71,13.75,3042000
2024-01-24 07:00:00,13.75,13.87,13.67,13.79,3442100
2024-01-25 07:00:00,13.83,13.91,13.75,13.91,4001800
2024-01-26 07:00:00,13.95,13.98,13.87,13.91,2116300
2024-01-29 07:00:00,13.87,14.34,13.83,14.02,9874500
2024-01-30 07:00:00,14.06,14.42,14.06,14.14,6959600
2024-01-31 07:00:00,14.22,14.26,14.02,14.06,7769400
2024-02-01 07:00:00,14.14,14.62,14.06,14.26,7857300
2024-02-02 07:00:00,14.26,14.5,14.18,14.18,5080400
2024-02-05 07:00:00,14.1,14.62,14.1,14.5,3808200
2024-02-06 07:00:00,14.54,14.7,14.34,14.42,1955500
2024-02-07 07:00:00,14.42,14.54,14.26,14.46,3167100
2024-02-15 07:00:00,14.66,14.66,14.46,14.5,2223000
2024-02-16 07:00:00,14.5,14.54,14.18,14.3,3623000
2024-02-19 07:00:00,14.22,14.3,14.06,14.1,3407600
2024-02-20 07:00:00,14.1,14.22,14.1,14.14,1845100
2024-02-21 07:00:00,14.22,14.3,14.1,14.14,2372400
2024-02-22 07:00:00,14.14,14.26,14.06,14.1,2325900
2024-02-23 07:00:00,14.1,14.38,13.63,13.63,5581000
2024-02-26 07:00:00,13.67,13.83,13.67,13.71,1657800
2024-02-27 07:00:00,13.83,13.95,13.71,13.71,2488500
2024-02-28 07:00:00,13.87,13.91,13.79,13.79,2813300
2024-02-29 07:00:00,13.87,13.91,13.63,13.63,3016100
2024-03-01 07:00:00,13.63,13.75,13.55,13.59,3419700
2024-03-04 07:00:00,13.63,13.83,13.59,13.71,4156200
2024-03-05 07:00:00,13.79,14.06,13.75,14.06,4366400
2024-03-06 07:00:00,14.22,14.74,14.18,14.22,7866800
2024-03-07 07:00:00,14.26,14.26,14.1,14.1,2984000
2024-03-08 07:00:00,14.1,14.18,13.59,13.63,6062300
2024-03-11 07:00:00,13.67,13.71,13.15,13.19,5749200
2024-03-12 07:00:00,13.19,13.47,13.15,13.43,3743100
2024-03-13 07:00:00,13.55,13.59,13.39,13.55,3635300
2024-03-14 07:00:00,13.63,13.63,13.35,13.35,2644000
2024-03-15 07:00:00,13.35,13.35,13.15,13.19,5226400
2024-03-18 07:00:00,13.15,13.27,12.59,12.79,6624100
2024-03-19 07:00:00,12.79,12.95,12.75,12.87,1630600
2024-03-20 07:00:00,12.91,13.55,12.87,13.55,6336100
2024-03-21 07:00:00,13.55,13.63,13.35,13.43,3608900
2024-03-22 07:00:00,13.55,13.63,13.39,13.39,3853200
2024-03-25 07:00:00,13.43,13.47,13.19,13.19,3565300
2024-03-26 07:00:00,13.27,13.47,13.15,13.43,2796700
2024-03-27 07:00:00,13.55,13.55,13.35,13.35,2535400
2024-03-28 07:00:00,13.43,13.51,13.39,13.47,4297700
2024-03-29 07:00:00,13.47,13.98,13.47,13.98,7969000
2024-04-01 07:00:00,13.79,13.98,13.71,13.79,2925700
2024-04-02 07:00:00,13.71,13.95,13.59,13.83,7259400
2024-04-03 07:00:00,13.95,13.98,13.75,13.75,4236900
2024-04-04 07:00:00,13.75,13.83,13.59,13.59,3477500
2024-04-05 07:00:00,13.55,13.75,13.43,13.63,3020000
2024-04-08 07:00:00,13.71,13.95,13.63,13.83,3198600
2024-04-09 07:00:00,13.83,14.78,13.83,14.78,9837500
2024-04-10 07:00:00,14.98,15.14,14.9,14.94,13007000
2024-04-11 07:00:00,14.9,15.14,14.58,14.58,7383200
2024-04-12 07:00:00,14.7,15.58,14.66,15.58,15101300
2024-04-15 07:00:00,15.58,16.22,14.5,14.9,10453000
2024-04-16 07:00:00,14.9,15.58,14.9,15.5,10894500
