time,open,high,low,close,volume
2024-03-04 07:00:00,15.86,16.19,15.75,15.75,4899194
2024-03-05 07:00:00,15.75,16.36,15.64,16.25,5476117
2024-03-06 07:00:00,16.19,16.42,15.75,16.14,4721171
2024-03-07 07:00:00,16.19,16.58,16.03,16.25,5459637
2024-03-08 07:00:00,16.25,16.36,15.86,15.92,7136845
2024-03-11 07:00:00,15.92,16.03,15.3,15.53,4589757
2024-03-12 07:00:00,15.58,15.75,15.25,15.53,5371628
2024-03-13 07:00:00,15.53,16.47,15.47,16.36,6712893
2024-03-14 07:00:00,16.36,16.86,16.19,16.58,6503159
2024-03-15 07:00:00,16.58,16.64,16.08,16.53,4655948
2024-03-18 07:00:00,16.53,16.58,15.02,15.86,9654573
2024-03-19 07:00:00,15.86,15.92,15.58,15.69,1893063
2024-03-20 07:00:00,15.75,15.97,15.64,15.97,3174542
2024-03-21 07:00:00,16.03,16.47,16.03,16.36,5608431
2024-03-22 07:00:00,16.7,16.7,16.3,16.53,5361484
2024-03-25 07:00:00,16.53,16.64,15.97,16.14,5901436
2024-03-26 07:00:00,16.03,16.3,15.92,16.3,3405145
2024-03-27 07:00:00,16.36,16.58,16.3,16.42,2288120
2024-03-28 07:00:00,16.42,17.14,16.42,17.14,6563448
2024-03-29 07:00:00,17.25,17.25,16.86,16.86,2789378
2024-04-01 07:00:00,16.86,16.97,16.47,16.7,4753195
2024-04-02 07:00:00,16.75,16.92,16.3,16.92,4660777
2024-04-03 07:00:00,17.14,17.2,16.53,16.53,6216096
2024-04-04 07:00:00,16.58,16.58,16.3,16.36,3896641
2024-04-05 07:00:00,16.25,16.36,15.75,15.75,4659266
2024-04-08 07:00:00,15.75,15.97,15.58,15.75,3049339
2024-04-09 07:00:00,15.75,16.3,15.75,16.25,2535578
2024-04-10 07:00:00,16.36,16.36,16.03,16.03,1643826
2024-04-11 07:00:00,16.08,16.19,15.47,16.14,3012006
2024-04-12 07:00:00,16.14,16.53,16.03,16.47,3544810
2024-04-15 07:00:00,16.64,16.86,15.3,15.53,8200712
2024-04-16 07:00:00,15.58,15.86,15.02,15.86,5245141
2024-04-17 07:00:00,15.92,15.97,15.02,15.02,4830573
2024-04-19 07:00:00,15.02,15.08,13.97,14.25,8296590
2024-04-22 07:00:00,14.41,15.42,14.41,15.19,3815864
2024-04-23 07:00:00,15.3,15.42,14.47,14.86,4185200
2024-04-24 07:00:00,13.41,15.53,13.41,15.53,3784307
2024-04-25 07:00:00,15.53,15.53,15.08,15.36,2206840
2024-04-26 07:00:00,15.25,15.25,14.91,15.02,2696093
2024-05-02 07:00:00,15.02,15.02,14.52,14.91,1728478
2024-05-03 07:00:00,14.91,15.25,14.8,14.86,2723362
2024-05-06 07:00:00,14.86,15.58,14.86,15.42,4654622
2024-05-07 07:00:00,15.47,15.53,15.3,15.47,2192606
2024-05-08 07:00:00,15.47,15.97,15.25,15.86,5745110
2024-05-09 07:00:00,15.86,16.03,15.58,15.75,2678046
2024-05-10 07:00:00,15.75,15.92,15.47,15.92,2788115
2024-05-13 07:00:00,15.97,16.3,15.75,16.14,5220161
2024-05-14 07:00:00,16.19,16.25,15.97,16.08,1862734
2024-05-15 07:00:00,16.14,16.92,16.03,16.64,7823065
2024-05-16 07:00:00,16.7,16.97,16.53,16.7,3864445
