time,open,high,low,close,volume
2025-08-14 07:00:00,86.6,86.8,83.8,84.8,13527300
2025-08-15 07:00:00,84.8,86.2,82.7,83.1,13662000
2025-08-18 07:00:00,83.1,84.4,83.0,83.9,8972500
2025-08-19 07:00:00,84.5,86.5,83.2,85.0,14531000
2025-08-20 07:00:00,86.8,87.4,81.0,83.9,19059400
2025-08-21 07:00:00,83.9,84.8,83.3,84.3,9701000
2025-08-22 07:00:00,83.0,83.4,79.7,81.0,18642000
2025-08-25 07:00:00,81.3,81.8,78.3,79.5,10287200
2025-08-26 07:00:00,78.7,81.1,78.2,81.1,8579900
2025-08-27 07:00:00,81.3,82.8,81.2,82.2,8098600
2025-08-28 07:00:00,82.5,83.3,81.9,83.1,6539900
2025-08-29 07:00:00,83.2,83.6,82.2,83.0,7420100
2025-09-03 07:00:00,83.5,85.3,82.9,83.0,9531800
2025-09-04 07:00:00,83.5,85.3,82.0,84.8,13228500
2025-09-05 07:00:00,86.3,87.4,83.0,83.0,12005700
2025-09-08 07:00:00,82.6,83.3,80.0,81.0,13945500
2025-09-09 07:00:00,81.0,81.3,79.8,81.0,6003800
2025-09-10 07:00:00,81.4,81.4,80.0,81.0,4256100
2025-09-11 07:00:00,80.8,82.3,79.1,82.0,10202400
2025-09-12 07:00:00,82.3,86.9,81.6,86.0,21808200
2025-09-15 07:00:00,86.8,89.0,86.3,88.5,16596700
2025-09-16 07:00:00,89.0,89.0,86.8,86.8,13155500
2025-09-17 07:00:00,86.6,86.9,84.2,84.2,11516500
2025-09-18 07:00:00,84.4,85.2,83.5,84.0,6725200
2025-09-19 07:00:00,84.6,84.7,83.3,83.9,10383000
2025-09-22 07:00:00,83.9,84.0,81.0,81.9,8824400
2025-09-23 07:00:00,81.9,82.6,81.5,81.9,3808100
2025-09-24 07:00:00,82.0,83.7,81.1,82.9,5235500
2025-09-25 07:00:00,83.5,83.6,82.2,82.2,4585800
2025-09-26 07:00:00,82.2,83.5,82.0,82.2,6728100
2025-09-29 07:00:00,82.2,82.5,81.3,81.8,4298200
2025-09-30 07:00:00,82.0,82.0,80.5,81.0,4726100
2025-10-01 07:00:00,81.1,82.3,81.1,81.3,3192800
2025-10-02 07:00:00,81.5,82.1,81.0,81.5,3777300
2025-10-03 07:00:00,81.2,81.2,79.4,80.0,6475000
2025-10-06 07:00:00,81.4,83.3,81.0,83.0,8979600
2025-10-07 07:00:00,83.3,83.4,82.5,82.5,5203300
2025-10-08 07:00:00,83.7,84.4,82.6,82.6,11323000
2025-10-09 07:00:00,82.9,84.2,82.7,83.1,7329600
2025-10-10 07:00:00,83.5,84.2,83.0,84.1,13452100
