time,open,high,low,close,volume
2025-08-11 07:00:00,21.1,21.39,20.9,21.34,2115800
2025-08-12 07:00:00,21.49,22.11,21.29,21.73,3275700
2025-08-13 07:00:00,21.78,21.82,21.15,21.44,2678100
2025-08-14 07:00:00,21.58,21.58,21.0,21.1,1685800
2025-08-15 07:00:00,21.24,21.63,20.86,21.0,1798700
2025-08-18 07:00:00,21.0,21.68,21.0,21.49,2024400
2025-08-19 07:00:00,21.49,22.02,21.49,21.68,2232900
2025-08-20 07:00:00,21.68,21.68,20.42,20.9,2740000
2025-08-21 07:00:00,21.0,21.05,20.52,20.71,1007200
2025-08-22 07:00:00,20.52,21.0,20.13,20.66,1736000
2025-08-25 07:00:00,20.76,21.2,20.66,20.76,1689100
2025-08-26 07:00:00,21.1,21.1,20.52,21.0,893700
2025-08-27 07:00:00,21.1,22.26,20.95,21.58,3007900
2025-08-28 07:00:00,21.78,21.82,21.29,21.49,729500
2025-08-29 07:00:00,21.49,21.92,21.24,21.58,1616500
2025-09-03 07:00:00,21.68,22.02,21.39,21.97,1738200
2025-09-04 07:00:00,22.26,22.74,21.87,21.92,1713000
2025-09-05 07:00:00,21.97,22.07,21.44,21.44,2333400
2025-09-08 07:00:00,21.44,21.49,20.61,20.61,1414700
2025-09-09 07:00:00,20.71,20.86,20.42,20.71,1430800
2025-09-10 07:00:00,20.76,21.15,20.71,21.0,726000
2025-09-11 07:00:00,20.71,21.0,20.37,20.9,915100
2025-09-12 07:00:00,21.0,21.34,20.95,21.2,737400
2025-09-15 07:00:00,21.29,21.39,21.15,21.39,737600
2025-09-16 07:00:00,21.49,22.36,21.39,21.92,2725400
2025-09-17 07:00:00,22.07,22.07,21.44,21.49,856000
2025-09-18 07:00:00,21.49,22.26,21.34,22.02,2582900
2025-09-19 07:00:00,22.07,23.23,22.07,22.94,4076100
2025-09-22 07:00:00,23.03,23.03,21.78,22.02,2149900
2025-09-23 07:00:00,22.21,22.21,21.73,22.07,1170600
2025-09-24 07:00:00,22.11,22.55,21.73,22.55,1172000
2025-09-25 07:00:00,23.42,23.91,22.94,23.61,3710300
2025-09-26 07:00:00,23.57,23.61,22.89,22.89,2090500
2025-09-29 07:00:00,22.84,23.71,22.84,23.03,1908400
2025-09-30 07:00:00,23.03,23.03,22.07,22.65,2188700
2025-10-01 07:00:00,22.6,22.6,22.11,22.55,814300
2025-10-02 07:00:00,22.26,23.08,22.26,22.84,1077700
2025-10-03 07:00:00,22.74,24.0,21.73,22.45,2131400
2025-10-06 07:00:00,22.26,22.7,22.16,22.7,830200
2025-10-07 07:00:00,22.94,22.94,22.4,22.5,800000
2025-10-08 07:00:00,22.99,22.99,22.16,22.31,1398500
2025-10-09 07:00:00,22.26,22.89,22.21,22.55,1381100
2025-10-10 07:00:00,22.45,22.84,22.45,22.79,817300
2025-10-13 07:00:00,22.45,22.7,22.21,22.36,1223600
2025-10-14 07:00:00,22.21,22.45,21.68,21.68,1917700
2025-10-15 07:00:00,21.53,22.21,21.53,21.92,766700
2025-10-16 07:00:00,22.16,22.16,21.68,22.02,479600
2025-10-17 07:00:00,22.07,22.16,21.63,21.73,1523000
2025-10-20 07:00:00,21.73,22.11,21.0,21.05,1418800
2025-10-21 07:00:00,21.25,21.7,21.1,21.35,1168500
2025-10-22 07:00:00,21.9,22.75,21.5,22.75,2278500
2025-10-23 07:00:00,23.0,23.3,22.65,22.75,947200
2025-10-24 07:00:00,22.95,23.1,22.25,23.05,1681700
2025-10-27 07:00:00,23.05,23.3,22.75,22.8,1278300
2025-10-28 07:00:00,22.8,23.45,22.6,23.3,1444500
2025-10-29 07:00:00,23.5,24.9,23.4,24.9,5210400
2025-10-30 07:00:00,25.1,25.35,24.9,25.2,1571600
2025-10-31 07:00:00,24.95,25.3,24.05,24.05,2950900
2025-11-03 07:00:00,24.3,24.5,23.5,23.5,1803000
2025-11-04 07:00:00,23.35,24.35,23.05,24.15,1959400
2025-11-05 07:00:00,23.85,24.5,23.5,24.1,1160700
2025-11-06 07:00:00,24.15,24.15,23.4,23.75,1479400
2025-11-07 07:00:00,23.5,23.75,23.0,23.05,1019400
2025-11-10 07:00:00,23.0,23.45,22.9,22.9,659600
2025-11-11 07:00:00,22.9,23.1,22.3,22.9,1369500
2025-11-12 07:00:00,22.9,23.75,22.7,23.6,834500
2025-11-13 07:00:00,23.6,23.95,23.4,23.7,726300
2025-11-14 07:00:00,23.9,24.25,23.5,24.25,1296500
2025-11-17 07:00:00,24.45,24.45,23.9,24.15,879700
2025-11-18 07:00:00,24.1,24.75,24.0,24.1,934900
2025-11-19 07:00:00,24.1,24.3,23.95,24.2,786100
2025-11-20 07:00:00,24.1,24.45,23.9,24.0,738400
2025-11-21 07:00:00,23.8,23.9,23.4,23.9,629000
