time,open,high,low,close,volume
2023-12-18 07:00:00,24.31,25.0,24.31,24.72,20738
2023-12-19 07:00:00,24.31,24.93,24.31,24.72,24928
2023-12-20 07:00:00,24.72,24.93,24.38,24.86,31728
2023-12-21 07:00:00,24.86,25.0,24.52,24.65,14101
2023-12-22 07:00:00,24.38,25.13,24.38,25.06,54310
2023-12-25 07:00:00,25.13,25.61,25.13,25.41,53715
2023-12-26 07:00:00,25.41,25.68,25.13,25.34,36655
2023-12-27 07:00:00,25.2,25.61,25.0,25.06,48143
2023-12-28 07:00:00,24.93,26.71,24.93,26.44,189293
2023-12-29 07:00:00,26.71,27.6,26.71,27.05,126600
2024-01-02 07:00:00,27.39,27.39,26.64,26.98,112730
2024-01-03 07:00:00,26.78,26.98,26.71,26.98,47045
2024-01-04 07:00:00,26.78,27.12,26.64,26.64,62627
2024-01-05 07:00:00,26.57,26.64,26.16,26.37,99934
2024-01-08 07:00:00,26.71,27.39,26.71,27.12,90421
2024-01-09 07:00:00,27.19,29.11,27.19,28.28,192004
2024-01-10 07:00:00,28.28,28.63,27.8,28.22,92789
2024-01-11 07:00:00,28.28,28.56,27.94,28.15,70576
2024-01-12 07:00:00,28.08,29.93,27.8,28.9,205103
2024-01-15 07:00:00,28.97,29.93,28.9,29.31,101617
2024-01-16 07:00:00,29.31,29.79,29.17,29.52,91494
2024-01-17 07:00:00,29.58,29.93,29.17,29.17,75279
2024-01-18 07:00:00,29.58,30.82,29.45,29.65,196084
2024-01-19 07:00:00,29.72,29.93,29.45,29.65,61287
2024-01-22 07:00:00,29.65,30.13,29.04,29.86,87223
2024-01-23 07:00:00,29.93,30.06,29.31,29.38,49291
2024-01-24 07:00:00,29.31,29.45,28.76,28.83,71425
2024-01-25 07:00:00,28.83,29.11,28.83,28.97,19949
2024-01-26 07:00:00,28.97,29.79,28.97,29.79,122714
2024-01-29 07:00:00,29.86,30.0,29.45,29.58,61554
2024-01-30 07:00:00,29.79,29.79,29.04,29.17,64292
2024-01-31 07:00:00,29.17,29.93,29.17,29.79,106774
2024-02-01 07:00:00,29.52,30.06,29.52,29.86,83676
2024-02-02 07:00:00,29.86,30.82,29.86,30.61,160385
2024-02-05 07:00:00,30.82,30.82,30.41,30.48,45817
2024-02-06 07:00:00,30.61,30.61,30.13,30.48,58470
2024-02-07 07:00:00,30.48,30.68,30.48,30.54,78310
2024-02-15 07:00:00,30.82,30.82,30.41,30.41,54308
2024-02-16 07:00:00,30.48,30.54,30.13,30.48,73919
2024-02-19 07:00:00,30.48,30.48,29.79,30.13,129760
2024-02-20 07:00:00,30.13,30.34,29.86,30.13,78342
2024-02-21 07:00:00,29.93,30.2,29.65,29.65,93401
2024-02-22 07:00:00,29.58,30.54,29.52,30.27,94324
2024-02-23 07:00:00,30.48,30.68,30.13,30.13,85822
2024-02-26 07:00:00,29.93,31.5,29.93,31.5,252400
2024-02-27 07:00:00,31.71,32.87,31.71,32.39,206002
2024-02-28 07:00:00,32.39,32.67,32.05,32.12,103152
2024-02-29 07:00:00,32.12,32.26,31.64,32.19,80691
2024-03-01 07:00:00,31.64,32.19,31.43,31.91,95937
2024-03-04 07:00:00,31.91,32.46,31.71,31.84,58703
2024-03-05 07:00:00,31.84,31.91,31.43,31.5,108282
2024-03-06 07:00:00,31.5,32.53,31.3,31.71,45175
2024-03-07 07:00:00,31.57,31.84,31.02,31.3,47644
2024-03-08 07:00:00,31.37,31.71,31.16,31.23,93910
2024-03-11 07:00:00,31.23,31.64,30.89,31.09,105113
2024-03-12 07:00:00,30.89,31.43,30.82,31.09,93608
2024-03-13 07:00:00,29.79,31.71,29.79,31.3,134684
2024-03-14 07:00:00,31.3,32.05,31.16,31.37,122179
2024-03-15 07:00:00,28.28,31.37,28.28,30.89,42613
2024-03-18 07:00:00,30.96,30.96,29.38,29.65,114905
2024-03-19 07:00:00,29.58,30.2,29.45,29.52,53333
2024-03-20 07:00:00,29.45,29.79,29.45,29.79,17408
2024-03-21 07:00:00,29.52,30.13,29.52,29.72,113765
2024-03-22 07:00:00,29.79,29.79,29.58,29.79,47407
2024-03-25 07:00:00,30.0,30.0,29.24,29.31,89193
2024-03-26 07:00:00,29.11,29.79,28.97,29.79,48080
2024-03-27 07:00:00,29.79,29.86,29.65,29.72,46182
2024-03-28 07:00:00,29.86,29.93,29.58,29.65,69420
2024-03-29 07:00:00,29.58,29.65,29.17,29.45,44321
2024-04-01 07:00:00,29.45,29.45,28.9,29.24,46739
2024-04-02 07:00:00,28.97,29.79,28.7,29.17,52193
2024-04-03 07:00:00,29.17,30.06,29.17,29.65,115592
2024-04-04 07:00:00,29.65,30.06,29.52,30.0,74562
2024-04-05 07:00:00,29.79,29.79,29.17,29.24,79436
2024-04-08 07:00:00,29.24,29.24,28.49,28.63,143443
2024-04-09 07:00:00,28.63,28.9,28.56,28.76,31658
2024-04-10 07:00:00,28.76,28.76,28.49,28.49,70450
2024-04-11 07:00:00,28.35,28.42,27.74,28.35,84257
2024-04-12 07:00:00,28.08,29.31,27.94,28.76,76668
2024-04-15 07:00:00,28.83,28.83,27.74,27.74,46205
2024-04-16 07:00:00,27.6,27.6,26.71,27.19,95856
2024-04-17 07:00:00,27.19,27.19,26.78,26.78,53559
2024-04-19 07:00:00,26.71,26.78,25.96,26.09,72267
2024-04-22 07:00:00,26.02,27.39,26.02,26.37,43200
2024-04-23 07:00:00,26.71,27.67,26.71,26.85,66432
2024-04-24 07:00:00,26.85,27.32,26.71,27.32,220681
2024-04-25 07:00:00,27.39,27.74,27.32,27.39,167365
2024-04-26 07:00:00,27.39,27.94,27.19,27.94,174607
2024-05-02 07:00:00,27.94,28.42,27.94,28.28,43022
2024-05-03 07:00:00,28.28,28.63,28.22,28.56,36985
2024-05-06 07:00:00,28.42,28.76,28.42,28.63,47242
2024-05-07 07:00:00,28.63,28.97,28.63,28.97,50365
2024-05-08 07:00:00,28.56,28.97,28.56,28.9,52668
2024-05-09 07:00:00,29.11,29.11,28.76,28.76,37398
2024-05-10 07:00:00,28.76,28.97,28.76,28.9,29503
2024-05-13 07:00:00,28.9,29.04,28.9,28.97,93001
2024-05-14 07:00:00,28.97,28.97,28.76,28.97,25047
2024-05-15 07:00:00,29.11,29.17,28.9,29.11,43612
2024-05-16 07:00:00,29.11,29.24,29.11,29.24,12702
2024-05-17 07:00:00,29.24,29.31,29.04,29.31,32259
2024-05-20 07:00:00,29.52,32.19,29.52,32.19,185504
2024-05-21 07:00:00,32.87,34.93,32.87,33.56,303282
2024-05-22 07:00:00,33.63,36.91,33.56,36.91,541230
2024-05-23 07:00:00,38.21,40.54,36.98,40.54,758477
2024-05-24 07:00:00,41.78,44.52,41.64,42.87,813371
2024-05-27 07:00:00,42.87,43.14,39.86,40.06,324006
2024-05-28 07:00:00,40.06,41.36,39.65,40.06,343607
2024-05-29 07:00:00,40.41,41.71,39.93,40.34,433163
2024-05-30 07:00:00,41.03,41.03,36.58,37.34,694357
2024-05-31 07:00:00,37.34,38.87,36.92,38.66,212202
2024-06-03 07:00:00,38.74,39.71,38.74,39.01,260111
2024-06-04 07:00:00,39.15,39.36,38.32,38.53,197487
2024-06-05 07:00:00,38.53,42.36,37.9,42.29,904414
2024-06-06 07:00:00,43.19,43.54,40.96,41.8,451582
2024-06-07 07:00:00,41.8,42.36,40.13,40.62,322116
2024-06-10 07:00:00,40.55,41.73,40.41,41.1,200799
2024-06-11 07:00:00,41.1,41.73,39.71,40.27,277813
2024-06-12 07:00:00,40.13,42.15,39.36,41.24,485600
2024-06-13 07:00:00,41.24,43.89,40.41,43.54,476998
2024-06-14 07:00:00,43.54,46.54,43.47,44.52,895564
2024-06-17 07:00:00,45.28,46.33,41.87,42.64,722865
2024-06-18 07:00:00,43.12,43.47,42.36,43.05,277013
2024-06-19 07:00:00,43.12,43.54,42.15,42.92,213927
2024-06-20 07:00:00,42.98,44.8,42.78,43.82,243223
2024-06-21 07:00:00,43.96,45.21,43.19,43.33,348823
2024-06-24 07:00:00,43.89,43.89,39.08,39.43,622022
2024-06-25 07:00:00,39.43,41.17,37.97,40.76,264328
2024-06-26 07:00:00,40.06,41.31,39.85,40.76,121559
