time,open,high,low,close,volume
2024-02-07,9.48,9.64,9.45,9.61,3827006
2024-02-15,9.61,10.21,9.61,10.12,11573604
2024-02-16,10.18,10.18,9.9,9.99,3208997
2024-02-19,9.99,10.31,9.86,10.02,3965680
2024-02-20,10.02,10.02,9.83,9.9,3647749
2024-02-21,9.93,10.05,9.77,9.99,4058861
2024-02-22,9.99,10.05,9.86,9.86,2685784
2024-02-23,9.96,10.15,9.67,9.67,7793975
2024-02-26,9.7,9.7,9.58,9.61,2875254
2024-02-27,9.67,9.74,9.58,9.67,2770950
2024-02-28,9.7,9.8,9.67,9.8,2862622
2024-02-29,9.9,9.96,9.64,9.64,3534195
2024-03-01,9.64,9.7,9.58,9.64,2736801
2024-03-04,9.74,9.74,9.61,9.64,3305210
2024-03-05,9.61,9.67,9.58,9.64,2978297
2024-03-06,9.64,9.8,9.58,9.64,3408031
2024-03-07,9.61,9.64,9.58,9.61,1756186
2024-03-08,9.61,9.64,9.39,9.42,4901181
2024-03-11,9.39,9.39,9.16,9.23,3266828
2024-03-12,9.16,9.35,9.13,9.32,2252954
2024-03-13,9.39,9.55,9.29,9.55,2135840
2024-03-14,9.55,9.55,9.32,9.39,2517787
2024-03-15,9.35,9.35,9.26,9.29,1840339
2024-03-18,9.29,9.35,8.88,9.35,4973623
2024-03-19,9.29,9.29,9.04,9.07,1992184
2024-03-20,9.07,9.29,9.0,9.23,2982708
2024-03-21,9.35,9.48,9.29,9.48,4744469
2024-03-22,9.48,9.58,9.35,9.42,3975352
2024-03-25,9.42,9.55,9.29,9.32,2171332
2024-03-26,9.32,9.51,9.32,9.42,2367395
2024-03-27,9.55,9.67,9.45,9.55,3814501
2024-03-28,9.64,9.67,9.55,9.64,2648744
2024-03-29,9.64,9.67,9.45,9.51,1404380
2024-04-01,9.58,9.58,9.39,9.45,1558825
2024-04-02,9.48,9.48,9.29,9.42,1545242
2024-04-03,9.39,9.42,9.2,9.23,3018695
2024-04-04,9.23,9.29,9.16,9.2,2581162
2024-04-05,9.16,9.2,9.1,9.16,1943055
2024-04-08,9.16,9.23,9.1,9.16,1286207
2024-04-09,9.16,9.29,9.13,9.29,1218551
2024-04-10,9.29,9.35,9.26,9.32,2465057
2024-04-11,9.2,9.29,9.13,9.29,524950
2024-04-12,9.32,9.45,9.23,9.45,2558776
2024-04-15,9.35,9.55,8.91,8.94,4456079
2024-04-16,9.0,9.04,8.62,8.69,3946658
2024-04-17,8.81,8.94,8.69,8.75,2771568
2024-04-19,8.65,8.85,8.53,8.59,2458943
2024-04-22,8.78,8.78,8.65,8.75,775950
2024-04-23,8.81,8.81,8.56,8.59,1358914
2024-04-24,8.62,8.85,8.62,8.81,1666456
2024-04-25,8.81,8.88,8.59,8.65,2038781
2024-04-26,8.62,8.75,8.62,8.69,1077807
2024-05-02,8.69,8.72,8.59,8.69,748724
2024-05-03,8.72,8.81,8.69,8.72,1508097
2024-05-06,8.81,8.94,8.78,8.88,1687601
2024-05-07,8.91,8.97,8.85,8.97,1059308
2024-05-08,8.94,8.94,8.81,8.94,1059847
2024-05-09,8.88,8.97,8.78,8.91,1500344
2024-05-10,8.94,8.94,8.81,8.85,933607
2024-05-13,8.88,8.88,8.75,8.81,1012952
2024-05-14,8.81,8.91,8.78,8.78,961283
2024-05-15,8.81,8.88,8.78,8.81,1431918
2024-05-16,8.88,9.23,8.85,9.23,3753959
2024-05-17,9.26,9.32,9.13,9.23,1822532
2024-05-20,9.55,9.55,9.23,9.26,2037025
2024-05-21,9.26,9.29,9.07,9.16,2418592
2024-05-22,9.16,9.26,9.13,9.16,1350466
2024-05-23,9.16,9.23,9.13,9.23,1726598
2024-05-24,9.2,9.39,9.16,9.2,3740117
2024-05-27,9.16,9.26,9.16,9.26,1330506
2024-05-28,9.26,9.39,9.26,9.35,2235103
2024-05-29,9.35,9.39,9.23,9.23,2111756
2024-05-30,9.2,9.32,9.13,9.32,1719497
2024-05-31,9.32,9.42,9.23,9.39,1875192
2024-06-03,9.39,9.77,9.35,9.74,8781265
2024-06-04,9.74,9.77,9.64,9.67,4150507
2024-06-05,9.67,9.96,9.61,9.8,5551562
2024-06-06,9.8,9.83,9.64,9.7,1741350
2024-06-07,9.7,9.86,9.64,9.83,3403932
2024-06-10,9.83,9.9,9.74,9.77,2294278
2024-06-11,9.7,9.8,9.67,9.67,1489552
2024-06-12,9.67,9.8,9.64,9.8,2129986
