time,open,high,low,close,volume
2025-08-11 07:00:00,13.1,13.1,12.55,12.7,8520900
2025-08-12 07:00:00,12.7,12.75,12.0,12.45,11782200
2025-08-13 07:00:00,12.6,12.6,12.1,12.55,8996700
2025-08-14 07:00:00,12.65,12.95,12.55,12.75,9051600
2025-08-15 07:00:00,12.8,13.6,12.65,13.6,24036500
2025-08-18 07:00:00,13.7,14.1,13.65,13.75,8653600
2025-08-19 07:00:00,13.75,13.8,13.2,13.6,9595100
2025-08-20 07:00:00,13.6,13.6,12.7,13.05,14227000
2025-08-21 07:00:00,13.1,13.6,13.1,13.3,5630900
2025-08-22 07:00:00,13.15,13.2,12.6,12.8,9653700
2025-08-25 07:00:00,13.1,13.65,12.9,13.1,8361200
2025-08-26 07:00:00,13.1,14.0,13.1,14.0,11274500
2025-08-27 07:00:00,14.55,14.75,14.1,14.45,9496700
2025-08-28 07:00:00,15.45,15.45,15.45,15.45,4803900
2025-08-29 07:00:00,16.5,16.5,16.05,16.5,20484600
2025-09-03 07:00:00,17.0,17.0,16.0,16.6,10500400
2025-09-04 07:00:00,16.9,16.9,16.2,16.4,7439800
2025-09-05 07:00:00,16.35,16.95,16.15,16.15,8580000
2025-09-08 07:00:00,15.65,16.05,15.05,15.05,16329900
2025-09-09 07:00:00,14.9,15.2,14.4,15.2,8360400
2025-09-10 07:00:00,15.65,15.65,15.05,15.45,4087600
2025-09-11 07:00:00,15.3,15.55,14.6,15.5,5881500
2025-09-12 07:00:00,15.55,15.55,14.95,15.15,4580500
2025-09-15 07:00:00,15.2,15.55,15.15,15.4,3630300
2025-09-16 07:00:00,15.6,15.85,15.0,15.1,4048300
2025-09-17 07:00:00,15.1,15.45,14.9,15.0,3294000
2025-09-18 07:00:00,15.1,15.1,14.6,14.9,3493200
2025-09-19 07:00:00,14.9,15.05,14.55,14.65,3017600
2025-09-22 07:00:00,14.65,14.7,13.85,14.0,4638300
2025-09-23 07:00:00,14.0,14.3,14.0,14.1,1488500
2025-09-24 07:00:00,14.1,14.5,14.0,14.5,2005000
2025-09-25 07:00:00,14.7,14.7,14.3,14.3,1668400
2025-09-26 07:00:00,14.4,14.4,14.0,14.05,1853300
2025-09-29 07:00:00,14.0,14.25,13.95,14.0,2173700
2025-09-30 07:00:00,14.15,14.25,13.65,14.2,3425500
2025-10-01 07:00:00,14.2,14.55,14.1,14.2,1497300
2025-10-02 07:00:00,14.2,14.2,13.65,13.65,2719000
2025-10-03 07:00:00,13.65,13.8,13.4,13.4,2125100
2025-10-06 07:00:00,13.7,14.3,13.6,14.3,3467200
2025-10-07 07:00:00,14.7,14.7,14.25,14.35,1921600
2025-10-08 07:00:00,15.1,15.1,14.2,14.5,2910600
2025-10-09 07:00:00,14.5,14.6,14.15,14.5,1675600
