time,open,high,low,close,volume
2023-12-18 07:00:00,14.17,14.2,13.88,13.88,716600
2023-12-19 07:00:00,13.88,13.99,13.73,13.95,664000
2023-12-20 07:00:00,13.99,14.17,13.99,14.1,532400
2023-12-21 07:00:00,14.1,14.28,13.99,14.17,532000
2023-12-22 07:00:00,14.2,14.28,14.02,14.24,694900
2023-12-25 07:00:00,14.1,14.68,14.1,14.61,1514000
2023-12-26 07:00:00,14.64,14.72,14.5,14.57,654700
2023-12-27 07:00:00,14.61,14.64,14.53,14.53,601400
2023-12-28 07:00:00,14.53,14.75,14.32,14.75,1330000
2023-12-29 07:00:00,14.83,14.83,14.61,14.75,541300
2024-01-02 07:00:00,14.79,14.9,14.68,14.9,1155400
2024-01-03 07:00:00,14.83,15.08,14.83,15.04,1556600
2024-01-04 07:00:00,15.04,15.52,15.01,15.26,2049200
2024-01-05 07:00:00,15.3,15.34,15.04,15.34,1249000
2024-01-08 07:00:00,15.41,15.45,15.19,15.3,1048100
2024-01-09 07:00:00,15.23,15.3,15.01,15.23,1167900
2024-01-10 07:00:00,15.23,15.37,15.08,15.26,1568900
2024-01-11 07:00:00,15.23,15.37,15.12,15.37,985000
2024-01-12 07:00:00,15.04,15.26,14.79,15.08,2394500
2024-01-15 07:00:00,15.12,15.15,14.97,14.97,397700
2024-01-16 07:00:00,14.9,14.94,14.72,14.94,884700
2024-01-17 07:00:00,14.97,15.08,14.86,14.86,807000
2024-01-18 07:00:00,14.9,15.01,14.83,14.9,1030100
2024-01-19 07:00:00,15.01,15.34,14.97,15.01,921200
2024-01-22 07:00:00,15.08,15.12,14.97,15.01,668900
2024-01-23 07:00:00,15.12,15.12,14.86,14.86,658700
2024-01-24 07:00:00,14.86,14.9,14.75,14.75,480400
2024-01-25 07:00:00,14.75,14.79,14.68,14.75,635600
2024-01-26 07:00:00,14.79,15.45,14.68,15.26,3224600
2024-01-29 07:00:00,15.45,15.63,15.41,15.48,2120000
2024-01-30 07:00:00,15.48,15.96,15.45,15.85,2901900
2024-01-31 07:00:00,15.85,15.85,15.45,15.45,2105700
2024-02-01 07:00:00,15.48,16.51,15.45,16.51,5121600
2024-02-02 07:00:00,16.76,16.76,16.36,16.4,1411800
2024-02-05 07:00:00,16.4,16.87,16.4,16.65,2125800
2024-02-06 07:00:00,16.69,16.8,16.43,16.43,1462300
