time,open,high,low,close,volume
2024-01-29,17.33,17.53,17.33,17.33,227445
2024-01-30,17.26,17.53,17.26,17.53,307435
2024-01-31,17.6,17.63,17.26,17.26,412455
2024-02-01,17.26,17.6,17.26,17.33,379642
2024-02-02,17.4,17.56,17.26,17.26,520494
2024-02-05,17.29,17.4,16.07,16.85,371397
2024-02-06,16.85,17.12,16.85,16.85,289365
2024-02-07,16.85,17.09,16.85,16.95,244615
2024-02-15,17.19,17.26,16.99,17.12,291254
2024-02-16,17.23,17.36,17.09,17.33,395835
2024-02-19,17.6,17.6,17.36,17.46,434987
2024-02-20,17.46,17.67,17.4,17.46,470768
2024-02-21,17.5,17.6,17.33,17.4,424503
2024-02-22,17.53,17.53,17.26,17.26,364667
2024-02-23,17.33,17.33,16.65,16.65,562426
2024-02-26,16.58,16.68,16.34,16.41,373991
2024-02-27,16.41,16.78,16.41,16.58,278936
2024-02-28,16.72,17.33,16.65,16.92,473314
2024-02-29,16.95,17.26,16.78,16.99,209434
2024-03-01,16.99,17.63,16.99,17.53,1417748
2024-03-04,17.53,17.67,17.46,17.46,696305
2024-03-05,17.46,17.73,17.4,17.56,665944
2024-03-06,17.67,18.07,17.53,17.8,984019
2024-03-07,17.77,17.8,17.53,17.6,488841
2024-03-08,17.53,18.21,17.4,17.87,1379169
2024-03-11,17.84,18.07,17.6,17.6,791125
2024-03-12,17.6,18.65,17.56,18.31,2024908
2024-03-13,18.38,18.96,18.38,18.75,1736537
2024-03-14,18.89,19.37,18.65,19.23,2288704
2024-03-15,19.23,20.11,18.92,19.98,1776261
2024-03-18,19.81,20.38,18.69,19.16,1536412
2024-03-19,19.37,19.37,18.72,19.03,574934
2024-03-20,19.16,19.67,18.82,19.6,1195010
2024-03-21,19.67,19.91,19.43,19.64,621474
2024-03-22,19.64,19.74,19.43,19.6,682870
2024-03-25,19.6,19.71,18.75,19.23,706645
2024-03-26,19.23,19.4,19.03,19.3,321009
2024-03-27,19.71,19.74,19.26,19.6,618964
2024-03-28,19.71,19.77,19.47,19.64,383295
2024-03-29,19.64,20.32,19.64,19.71,1083139
2024-04-01,19.71,19.71,19.23,19.4,426520
2024-04-02,19.13,19.57,19.09,19.5,405257
2024-04-03,19.71,19.84,18.96,19.13,674308
2024-04-04,18.69,18.96,18.28,18.48,1114524
2024-04-05,18.21,18.92,18.21,18.48,472153
2024-04-08,18.75,18.75,18.28,18.55,206398
2024-04-09,18.55,19.2,18.38,19.09,476683
2024-04-10,19.16,19.16,18.75,18.75,295053
