time,open,high,low,close,volume
2024-01-29 07:00:00,20.66,20.76,20.38,20.38,6117
2024-01-30 07:00:00,20.57,20.57,20.48,20.57,9900
2024-01-31 07:00:00,20.76,20.76,20.29,20.29,9692
2024-02-01 07:00:00,20.66,20.66,20.48,20.66,1900
2024-02-02 07:00:00,20.48,21.14,20.48,21.04,2618
2024-02-05 07:00:00,20.85,21.23,20.85,21.14,3201
2024-02-06 07:00:00,19.34,21.61,19.34,20.66,5000
2024-02-07 07:00:00,20.57,20.85,20.48,20.85,2506
2024-02-15 07:00:00,20.66,21.23,20.66,21.04,2932
2024-02-16 07:00:00,21.14,21.61,21.14,21.61,6004
2024-02-19 07:00:00,20.57,21.7,20.57,21.51,9700
2024-02-20 07:00:00,21.51,21.51,21.14,21.51,705
2024-02-21 07:00:00,21.23,21.32,21.14,21.14,5825
2024-02-22 07:00:00,21.23,21.23,20.95,20.95,2200
2024-02-23 07:00:00,20.76,21.23,20.76,21.23,2700
2024-02-26 07:00:00,20.95,20.95,20.85,20.95,8700
2024-02-27 07:00:00,20.66,21.14,20.66,20.95,1303
2024-02-28 07:00:00,20.66,21.32,20.66,21.32,16000
2024-02-29 07:00:00,21.23,21.23,20.95,21.14,4300
2024-03-01 07:00:00,21.14,21.14,20.48,21.14,8800
2024-03-04 07:00:00,20.85,21.61,20.76,21.14,6301
2024-03-05 07:00:00,21.04,21.04,20.95,21.04,12000
2024-03-06 07:00:00,21.42,21.42,20.76,20.85,8000
2024-03-07 07:00:00,20.76,21.14,20.76,21.14,3600
2024-03-08 07:00:00,21.14,21.14,20.66,20.85,1400
2024-03-11 07:00:00,20.76,20.76,20.66,20.76,2408
2024-03-12 07:00:00,20.29,21.14,20.29,21.14,13500
2024-03-13 07:00:00,20.57,20.85,20.57,20.85,2200
2024-03-14 07:00:00,20.76,21.14,20.76,21.04,26200
2024-03-15 07:00:00,20.76,21.14,20.76,21.14,2150
2024-03-18 07:00:00,21.04,21.14,20.76,20.76,10610
2024-03-19 07:00:00,20.85,21.04,20.76,21.04,2900
2024-03-20 07:00:00,21.14,21.14,20.95,21.14,26948
2024-03-21 07:00:00,21.14,21.14,20.66,21.04,12100
2024-03-22 07:00:00,20.95,21.61,20.95,21.51,5000
2024-03-25 07:00:00,21.61,21.61,21.23,21.23,24710
2024-03-26 07:00:00,21.61,21.7,21.23,21.51,32015
2024-03-27 07:00:00,21.42,21.51,21.32,21.51,4600
2024-03-28 07:00:00,21.04,21.42,20.95,21.42,5331
2024-03-29 07:00:00,21.04,21.98,21.04,21.51,5620
2024-04-01 07:00:00,21.7,21.7,21.23,21.23,2402
2024-04-02 07:00:00,21.23,21.32,21.04,21.32,2100
2024-04-03 07:00:00,21.14,21.23,21.14,21.14,11820
2024-04-04 07:00:00,21.14,21.14,20.95,21.04,4400
2024-04-05 07:00:00,21.04,21.04,20.76,20.76,9800
2024-04-08 07:00:00,20.76,20.76,20.57,20.76,4000
2024-04-09 07:00:00,20.66,20.66,20.66,20.66,500
2024-04-10 07:00:00,20.57,20.66,20.57,20.66,1400
2024-04-11 07:00:00,20.66,20.66,20.38,20.38,817
2024-04-12 07:00:00,20.48,21.61,20.48,21.61,2500
2024-04-15 07:00:00,21.61,21.61,20.29,20.29,6400
2024-04-16 07:00:00,20.1,20.1,20.1,20.1,4700
2024-04-17 07:00:00,20.57,20.57,18.02,19.91,5800
2024-04-19 07:00:00,19.91,19.91,19.72,19.72,5500
2024-04-22 07:00:00,20.1,20.19,20.0,20.1,9500
2024-04-23 07:00:00,20.1,20.29,19.25,19.34,10210
2024-04-24 07:00:00,20.29,20.29,19.72,19.72,4407
2024-04-25 07:00:00,20.19,20.57,19.91,20.57,15200
2024-04-26 07:00:00,19.91,20.57,19.91,20.57,3700
2024-05-02 07:00:00,20.48,20.48,20.48,20.48,300
2024-05-03 07:00:00,21.42,21.42,20.66,21.04,2106
2024-05-06 07:00:00,20.29,21.04,20.29,21.04,700
2024-05-07 07:00:00,20.38,20.38,20.38,20.38,1200
2024-05-08 07:00:00,21.14,21.14,20.1,20.48,1690
2024-05-09 07:00:00,20.57,20.76,20.57,20.76,2300
2024-05-10 07:00:00,20.66,20.66,20.38,20.38,10100
2024-05-13 07:00:00,20.57,20.66,20.57,20.57,4200
2024-05-14 07:00:00,20.38,20.66,19.34,20.66,1804
2024-05-15 07:00:00,20.29,20.76,20.29,20.66,2118
2024-05-16 07:00:00,20.48,20.76,20.48,20.76,10412
2024-05-17 07:00:00,20.57,20.85,20.48,20.85,14400
2024-05-20 07:00:00,20.57,21.14,20.57,20.76,24100
2024-05-21 07:00:00,20.95,21.32,20.95,21.32,19701
2024-05-22 07:00:00,21.32,21.98,21.23,21.23,95200
2024-05-23 07:00:00,21.51,22.17,21.23,21.51,29302
