time,open,high,low,close,volume
2024-01-29,56.94,57.89,56.63,57.77,1436420
2024-01-30,57.77,58.15,57.64,57.83,1170137
2024-01-31,57.89,58.34,57.32,57.89,2130512
2024-02-01,57.89,58.02,57.39,58.02,1578942
2024-02-02,58.15,58.65,57.89,58.15,2568271
2024-02-05,58.15,58.15,56.75,57.58,1297732
2024-02-06,57.51,57.58,56.94,57.58,501407
2024-02-07,57.64,57.89,57.32,57.7,443882
2024-02-15,58.02,58.34,56.94,57.51,887014
2024-02-16,57.51,57.51,57.01,57.26,464012
2024-02-19,57.32,57.51,56.12,56.12,1071980
2024-02-20,56.12,56.82,55.81,56.12,743801
2024-02-21,56.19,56.19,55.43,55.74,1231197
2024-02-22,55.68,56.69,55.68,56.69,809660
2024-02-23,56.88,56.88,55.49,55.55,1196815
2024-02-26,55.55,56.38,55.3,56.0,1104952
2024-02-27,56.31,56.88,56.0,56.88,1549072
2024-02-28,57.01,57.45,56.63,57.07,953606
2024-02-29,57.32,58.08,56.69,57.2,1237817
2024-03-01,57.2,60.99,57.13,60.55,4278014
2024-03-04,60.55,61.12,60.04,60.49,1305085
2024-03-05,60.68,61.88,60.49,61.25,1859864
2024-03-06,61.25,61.25,59.48,60.11,1587208
2024-03-07,60.3,61.31,59.98,61.06,1919577
2024-03-08,61.31,62.39,60.49,61.06,3267549
2024-03-11,61.25,63.84,61.12,62.64,2940034
2024-03-12,62.96,63.15,61.69,62.64,1342569
2024-03-13,62.64,65.04,62.2,64.22,2398222
2024-03-14,64.54,65.68,63.21,63.84,1638011
2024-03-15,63.71,63.9,62.18,63.33,1637629
2024-03-18,62.69,62.69,59.06,61.93,3244920
2024-03-19,61.16,61.74,60.15,61.42,1914152
2024-03-20,61.1,62.63,60.53,62.5,2096682
2024-03-21,63.14,63.9,62.44,62.82,1677783
2024-03-22,63.01,63.01,61.74,62.69,1655407
2024-03-25,62.57,62.57,61.1,61.1,1406858
2024-03-26,61.23,62.06,61.04,61.99,1274302
2024-03-27,62.37,62.44,61.42,62.06,1408179
2024-03-28,62.12,62.25,61.67,62.18,976152
2024-03-29,62.37,64.03,62.37,62.95,2761127
2024-04-01,63.01,63.27,62.12,62.95,1090273
2024-04-02,62.88,63.01,61.99,63.01,1395275
2024-04-03,63.2,63.9,61.74,61.74,1995217
2024-04-04,61.61,62.31,61.48,62.06,774839
2024-04-05,61.29,61.87,61.29,61.67,719219
2024-04-08,61.74,61.87,60.78,60.78,793778
2024-04-09,60.78,61.87,60.72,61.74,1078215
2024-04-10,62.12,64.28,61.87,64.03,3230457
2024-04-11,63.58,63.71,63.01,63.65,785721
2024-04-12,64.09,66.19,64.09,65.62,1982233
2024-04-15,65.56,65.56,61.42,61.42,1958393
2024-04-16,61.67,61.87,58.81,61.04,2420525
2024-04-17,61.61,61.61,58.62,58.87,1765886
2024-04-19,58.24,59.0,56.77,58.24,1682671
2024-04-22,58.56,59.51,58.17,59.45,1425801
2024-04-23,59.38,59.38,57.86,58.87,1594303
2024-04-24,58.94,60.27,58.24,60.02,1616629
2024-04-25,59.51,59.96,59.19,59.96,1082298
2024-04-26,59.7,60.53,58.87,60.46,1655153
2024-05-02,60.4,61.23,59.96,61.16,1162015
2024-05-03,61.48,61.61,60.66,61.42,2371476
2024-05-06,61.42,61.48,60.66,61.04,1020857
2024-05-07,61.29,63.14,60.78,62.37,2603395
2024-05-08,62.37,62.44,61.61,62.12,1035182
2024-05-09,62.12,62.44,61.1,61.42,1102918
2024-05-10,62.06,62.57,61.36,62.06,2298594
2024-05-13,62.63,62.63,61.48,61.87,565431
2024-05-14,62.31,62.31,60.78,61.36,1344493
2024-05-15,61.74,61.74,61.04,61.55,1184303
2024-05-16,61.93,62.18,61.55,61.87,1125741
2024-05-17,61.99,63.33,61.74,63.07,2417381
2024-05-20,63.46,63.46,61.99,61.99,1393331
2024-05-21,62.69,64.22,62.37,62.37,2641869
2024-05-22,62.76,62.76,61.42,62.44,1586028
2024-05-23,62.44,62.44,61.16,62.44,1368838
2024-05-24,61.74,61.93,59.96,60.4,2856613
2024-05-27,60.46,60.59,59.51,59.96,754595
2024-05-28,59.96,60.46,59.89,60.4,890637
2024-05-29,60.4,60.4,59.38,59.38,1178712
2024-05-30,59.0,59.13,58.24,59.13,2228919
2024-05-31,59.13,59.76,58.94,59.76,1190651
2024-06-03,59.83,59.96,59.0,59.57,1705647
2024-06-04,59.57,60.66,59.51,60.34,1670250
2024-06-05,60.46,60.72,59.89,60.08,1423938
2024-06-06,61.1,61.1,59.83,60.46,1573596
2024-06-07,60.72,60.72,59.64,60.21,942772
2024-06-10,59.83,60.34,59.83,60.21,701303
2024-06-11,60.27,60.59,59.96,60.02,904080
2024-06-12,60.02,61.67,59.96,61.67,1521535
2024-06-13,61.99,61.99,61.29,61.93,867726
2024-06-14,61.93,61.93,60.97,60.97,838223
2024-06-17,60.78,61.1,60.15,61.1,922065
2024-06-18,61.1,61.74,61.1,61.48,663858
2024-06-19,61.48,61.61,60.78,61.61,508914
2024-06-20,61.42,62.82,61.42,62.25,1411414
2024-06-21,62.69,62.69,62.18,62.18,909393
2024-06-24,62.18,62.31,60.34,61.93,1429381
2024-06-25,61.36,61.67,61.1,61.42,447261
2024-06-26,61.29,61.42,60.21,61.16,958862
2024-06-27,61.1,61.1,59.7,60.78,1038399
2024-06-28,60.72,60.78,59.51,60.78,800460
2024-07-01,60.46,60.72,59.51,59.83,501471
2024-07-02,59.96,60.85,59.83,60.46,800901
2024-07-03,60.85,60.85,59.89,60.21,862773
2024-07-04,60.46,61.16,60.15,60.4,1049295
2024-07-05,60.46,60.72,59.96,60.46,753029
2024-07-08,61.16,61.16,60.21,60.72,1008430
2024-07-09,60.72,62.95,60.53,62.82,3959376
2024-07-10,62.88,63.01,62.18,62.37,1000925
2024-07-11,62.69,62.95,61.8,61.99,1314591
2024-07-12,62.25,62.25,61.48,62.18,1185796
2024-07-15,62.37,62.37,61.67,62.18,930463
2024-07-16,62.37,63.27,61.8,61.8,1567826
2024-07-17,62.06,62.25,59.57,61.04,1429413
2024-07-18,60.85,61.1,59.7,61.1,1139081
2024-07-19,61.1,61.16,60.4,60.91,654456
2024-07-22,60.46,60.85,59.7,59.96,811601
2024-07-23,60.02,60.78,59.57,59.7,967213
2024-07-24,59.7,60.72,58.87,60.34,1226452
2024-07-25,59.89,60.4,59.89,60.34,280377
2024-07-26,60.66,61.23,60.4,61.23,608836
2024-07-29,61.55,61.61,61.1,61.61,418464
2024-07-30,61.42,62.37,61.1,61.67,774368
2024-07-31,61.93,61.93,61.29,61.8,762559
2024-08-01,61.42,63.2,60.85,62.25,2465855
2024-08-02,60.85,63.01,60.85,63.01,1827081
2024-08-05,61.67,62.37,59.51,60.59,1923623
2024-08-06,60.66,60.91,59.76,60.85,641817
2024-08-07,61.42,61.42,59.89,60.78,281827
2024-08-08,60.27,60.78,59.96,60.02,469304
2024-08-09,60.59,60.91,60.15,60.85,415913
2024-08-12,60.85,61.74,60.66,61.74,561892
2024-08-13,61.87,62.82,61.42,61.99,1569208
2024-08-14,62.5,62.82,61.74,61.99,812333
2024-08-15,61.87,61.93,60.46,61.67,850054
2024-08-16,61.61,62.57,61.16,62.44,1728678
2024-08-19,63.01,66.77,62.82,66.77,4962150
2024-08-20,67.85,68.99,67.59,68.74,3274298
2024-08-21,68.74,68.99,68.1,68.99,1483562
2024-08-22,69.06,70.14,68.8,69.57,1573189
2024-08-23,69.76,69.76,68.42,69.31,1579882
2024-08-26,68.1,68.42,65.3,65.3,5638760
2024-08-27,65.49,66.07,64.03,65.56,2295900
2024-08-28,65.68,65.87,64.41,64.67,1571531
