time,open,high,low,close,volume
2023-11-21 07:00:00,9.68,9.77,9.6,9.68,2911000
2023-11-22 07:00:00,9.68,9.68,9.52,9.64,4812300
2023-11-23 07:00:00,9.68,9.68,9.48,9.48,5684500
2023-11-24 07:00:00,9.48,9.52,9.27,9.43,6311600
2023-11-27 07:00:00,9.43,9.48,9.35,9.35,2236400
2023-11-28 07:00:00,9.35,9.39,9.23,9.35,4291700
2023-11-29 07:00:00,9.39,9.43,9.35,9.35,3554900
2023-11-30 07:00:00,9.43,9.48,9.27,9.31,4393300
2023-12-01 07:00:00,9.39,9.39,9.27,9.35,2525200
2023-12-04 07:00:00,9.39,9.6,9.35,9.56,5672800
2023-12-05 07:00:00,9.56,9.64,9.48,9.48,3692700
2023-12-06 07:00:00,9.52,9.6,9.48,9.56,2318900
2023-12-07 07:00:00,9.56,9.68,9.48,9.52,5040900
2023-12-08 07:00:00,9.6,9.81,9.56,9.64,6565500
2023-12-11 07:00:00,9.68,9.72,9.56,9.6,2423300
2023-12-12 07:00:00,9.64,9.68,9.52,9.6,3002900
2023-12-13 07:00:00,9.6,9.6,9.43,9.43,4452700
2023-12-14 07:00:00,9.48,9.52,9.31,9.35,3182300
2023-12-15 07:00:00,9.39,9.43,9.27,9.27,6925300
2023-12-18 07:00:00,9.31,9.35,9.19,9.19,3359100
2023-12-19 07:00:00,9.19,9.31,9.19,9.27,2564200
2023-12-20 07:00:00,9.35,9.39,9.27,9.35,2902000
2023-12-21 07:00:00,9.35,9.39,9.31,9.35,2088100
2023-12-22 07:00:00,9.39,9.39,9.23,9.31,4125900
2023-12-25 07:00:00,9.35,9.43,9.27,9.35,3859800
2023-12-26 07:00:00,9.35,9.43,9.27,9.31,3913700
2023-12-27 07:00:00,9.39,9.39,9.23,9.23,6907600
2023-12-28 07:00:00,9.31,9.35,9.23,9.31,2966200
2023-12-29 07:00:00,9.31,9.35,9.27,9.31,5571100
2024-01-02 07:00:00,9.35,9.39,9.27,9.31,3502100
2024-01-03 07:00:00,9.31,9.43,9.27,9.43,4520200
2024-01-04 07:00:00,9.48,9.6,9.43,9.48,7748000
2024-01-05 07:00:00,9.48,9.52,9.35,9.35,4310300
2024-01-08 07:00:00,9.39,9.48,9.35,9.43,6005800
2024-01-09 07:00:00,9.43,9.48,9.39,9.48,4060000
2024-01-10 07:00:00,9.52,9.56,9.39,9.43,4321200
2024-01-11 07:00:00,9.43,9.77,9.43,9.64,11453500
2024-01-12 07:00:00,9.72,9.72,9.39,9.48,8294100
2024-01-15 07:00:00,9.56,9.6,9.43,9.43,4254200
2024-01-16 07:00:00,9.43,9.52,9.39,9.52,2788400
2024-01-17 07:00:00,9.52,9.56,9.43,9.43,4245500
2024-01-18 07:00:00,9.43,9.48,9.39,9.43,3571700
2024-01-19 07:00:00,9.48,9.6,9.48,9.56,5917700
2024-01-22 07:00:00,9.6,9.64,9.48,9.56,4024000
2024-01-23 07:00:00,9.56,9.6,9.43,9.48,4086900
2024-01-24 07:00:00,9.48,9.52,9.39,9.43,3625700
2024-01-25 07:00:00,9.43,9.48,9.39,9.48,1763500
2024-01-26 07:00:00,9.43,9.48,9.43,9.43,2315600
2024-01-29 07:00:00,9.48,9.52,9.43,9.43,3347200
2024-01-30 07:00:00,9.48,9.64,9.43,9.52,7274600
2024-01-31 07:00:00,9.56,9.56,9.39,9.39,4573100
