time,open,high,low,close,volume
2025-08-14 07:00:00,22.3,22.44,21.95,22.39,9514400
2025-08-15 07:00:00,22.59,23.23,22.25,22.25,15637700
2025-08-18 07:00:00,22.49,22.79,22.2,22.35,6766200
2025-08-19 07:00:00,22.64,23.13,22.44,22.44,8925000
2025-08-20 07:00:00,22.49,22.49,21.12,21.71,12728300
2025-08-21 07:00:00,22.0,22.0,21.37,21.37,7886400
2025-08-22 07:00:00,21.17,21.91,20.73,20.78,8883400
2025-08-25 07:00:00,20.93,21.07,20.24,20.29,5730200
2025-08-26 07:00:00,20.54,20.98,20.39,20.93,3205400
2025-08-27 07:00:00,21.03,21.32,20.73,20.93,6101100
2025-08-28 07:00:00,21.03,21.12,20.78,21.03,2185000
2025-08-29 07:00:00,21.12,21.22,20.83,20.83,4274900
2025-09-03 07:00:00,21.12,21.76,21.07,21.51,6582700
2025-09-04 07:00:00,21.81,22.2,21.66,21.95,8385700
2025-09-05 07:00:00,22.1,22.98,21.91,22.15,16992300
2025-09-08 07:00:00,22.2,22.79,21.71,21.71,10013400
2025-09-09 07:00:00,22.05,22.1,21.32,21.66,4467400
2025-09-10 07:00:00,21.86,22.39,21.76,22.2,6347200
2025-09-11 07:00:00,22.3,22.88,22.1,22.35,11681300
2025-09-12 07:00:00,22.44,23.67,22.15,23.37,21699100
2025-09-15 07:00:00,23.81,23.81,23.18,23.32,8797600
2025-09-16 07:00:00,23.47,23.96,23.13,23.32,12722600
2025-09-17 07:00:00,23.57,23.67,22.98,22.98,8722500
2025-09-18 07:00:00,22.88,23.03,22.35,22.49,7739600
2025-09-19 07:00:00,22.59,22.83,22.25,22.25,3918800
2025-09-22 07:00:00,22.2,22.35,21.56,21.56,9586300
2025-09-23 07:00:00,21.86,22.1,21.71,22.0,3192600
2025-09-24 07:00:00,22.05,22.35,21.95,22.25,3815400
2025-09-25 07:00:00,22.44,22.69,22.39,22.49,4782600
2025-09-26 07:00:00,22.59,22.69,22.1,22.15,4849400
2025-09-29 07:00:00,22.3,22.54,22.0,22.15,3724800
2025-09-30 07:00:00,22.45,22.45,21.6,22.05,4406400
2025-10-01 07:00:00,22.1,22.1,21.65,21.75,3364400
2025-10-02 07:00:00,21.8,21.85,21.35,21.45,3448600
2025-10-03 07:00:00,21.2,21.4,20.7,20.8,4952000
