time,open,high,low,close,volume
2023-11-30 07:00:00,36.34,36.89,36.26,36.73,350368
2023-12-01 07:00:00,36.57,36.81,36.34,36.81,329561
2023-12-04 07:00:00,36.73,37.29,36.41,37.21,896248
2023-12-05 07:00:00,36.97,37.21,36.34,36.49,494972
2023-12-06 07:00:00,36.57,36.65,36.41,36.57,502175
2023-12-07 07:00:00,36.49,36.49,35.62,35.94,1032455
2023-12-08 07:00:00,35.94,36.02,35.54,35.54,537040
2023-12-11 07:00:00,35.7,36.41,35.54,35.54,416507
2023-12-12 07:00:00,35.78,35.78,35.54,35.62,278845
2023-12-13 07:00:00,35.78,35.78,35.14,35.22,762444
2023-12-14 07:00:00,35.38,35.62,35.14,35.22,459606
2023-12-15 07:00:00,35.3,35.3,35.06,35.14,376526
2023-12-18 07:00:00,35.14,35.14,34.82,34.98,649126
2023-12-19 07:00:00,34.98,35.3,34.82,35.22,601811
2023-12-20 07:00:00,35.62,36.1,35.38,36.02,682526
2023-12-21 07:00:00,35.94,36.1,35.7,35.7,418256
2023-12-22 07:00:00,35.86,35.86,35.54,35.62,382960
2023-12-25 07:00:00,35.62,35.78,35.54,35.62,327569
2023-12-26 07:00:00,35.62,35.7,35.54,35.54,399531
2023-12-27 07:00:00,35.54,36.41,35.54,36.02,790401
2023-12-28 07:00:00,36.1,36.34,36.02,36.18,645804
2023-12-29 07:00:00,36.18,36.49,36.18,36.41,805658
2024-01-02 07:00:00,36.34,36.65,36.18,36.18,360542
2024-01-03 07:00:00,36.34,36.34,36.02,36.18,342537
2024-01-04 07:00:00,36.34,36.41,36.02,36.1,366446
2024-01-05 07:00:00,36.18,36.18,35.78,35.86,540130
2024-01-08 07:00:00,36.18,36.18,35.94,36.02,518042
2024-01-09 07:00:00,36.02,36.49,35.94,36.26,687303
2024-01-10 07:00:00,36.96,37.04,35.82,35.9,407620
2024-01-11 07:00:00,36.14,36.22,35.58,35.66,546015
2024-01-12 07:00:00,35.74,36.06,35.41,35.74,531583
2024-01-15 07:00:00,35.74,35.98,35.49,35.49,371877
2024-01-16 07:00:00,35.66,36.63,35.58,36.31,958563
2024-01-17 07:00:00,36.39,37.2,36.39,37.04,733571
2024-01-18 07:00:00,37.12,38.34,37.04,37.61,1190614
2024-01-19 07:00:00,37.77,37.93,37.44,37.61,925034
2024-01-22 07:00:00,37.61,38.34,37.52,38.09,901809
2024-01-23 07:00:00,38.09,38.17,37.28,37.36,695414
2024-01-24 07:00:00,37.69,37.69,37.28,37.36,621604
2024-01-25 07:00:00,37.36,37.61,37.36,37.44,595527
2024-01-26 07:00:00,37.52,37.61,37.2,37.2,395806
2024-01-29 07:00:00,37.44,38.09,37.36,37.52,938021
2024-01-30 07:00:00,37.52,37.85,36.63,37.61,401321
2024-01-31 07:00:00,37.61,37.85,37.12,37.36,698671
2024-02-01 07:00:00,37.36,38.26,36.96,37.93,1424338
2024-02-02 07:00:00,38.01,38.82,37.77,38.74,1741997
2024-02-05 07:00:00,38.74,39.23,38.42,39.07,1182087
2024-02-06 07:00:00,39.15,39.39,38.82,38.99,1028998
2024-02-07 07:00:00,39.07,39.15,38.58,38.74,314602
2024-02-15 07:00:00,38.74,39.15,38.66,38.99,652240
2024-02-16 07:00:00,38.99,39.56,38.82,39.31,1226084
2024-02-19 07:00:00,39.31,39.64,38.74,38.9,764854
2024-02-20 07:00:00,38.99,38.99,38.58,38.99,730769
2024-02-21 07:00:00,38.66,38.9,38.58,38.82,245170
2024-02-22 07:00:00,38.82,39.39,38.66,38.99,889723
2024-02-23 07:00:00,38.99,40.04,38.82,38.99,1176175
2024-02-26 07:00:00,39.15,39.15,38.74,39.15,684491
2024-02-27 07:00:00,38.99,39.23,38.9,38.99,761276
2024-02-28 07:00:00,39.07,39.64,39.07,39.31,696284
2024-02-29 07:00:00,39.31,39.64,39.23,39.31,551721
2024-03-01 07:00:00,39.39,39.64,39.23,39.56,574368
2024-03-04 07:00:00,39.56,40.94,39.56,40.2,1188393
2024-03-05 07:00:00,40.37,40.45,39.96,40.37,557006
2024-03-06 07:00:00,40.37,40.37,39.39,39.64,573951
2024-03-07 07:00:00,39.72,39.8,39.31,39.64,535606
2024-03-08 07:00:00,39.64,39.64,38.99,38.99,781640
2024-03-11 07:00:00,39.15,39.15,38.26,38.42,1362623
2024-03-12 07:00:00,38.17,38.82,38.17,38.58,459836
2024-03-13 07:00:00,38.66,38.99,38.5,38.9,398279
2024-03-14 07:00:00,38.9,39.72,38.9,39.39,437723
2024-03-15 07:00:00,39.39,39.47,38.9,39.07,259614
2024-03-18 07:00:00,39.07,39.47,38.42,38.74,747842
2024-03-19 07:00:00,38.9,39.39,38.82,39.31,404629
2024-03-20 07:00:00,39.39,39.47,38.99,39.31,348057
2024-03-21 07:00:00,39.39,39.64,39.07,39.15,407711
2024-03-22 07:00:00,39.47,39.47,38.9,38.99,775913
2024-03-25 07:00:00,38.99,39.23,38.9,38.99,573724
2024-03-26 07:00:00,38.99,39.23,38.9,39.07,343577
2024-03-27 07:00:00,39.15,40.29,39.07,40.2,1358139
2024-03-28 07:00:00,40.37,40.61,40.2,40.61,684980
2024-03-29 07:00:00,40.61,40.85,40.29,40.29,552247
2024-04-01 07:00:00,40.37,40.45,39.72,39.96,371556
2024-04-02 07:00:00,40.12,40.2,39.8,40.12,384680
2024-04-03 07:00:00,40.04,40.61,39.96,40.04,403365
2024-04-04 07:00:00,40.12,40.2,39.64,39.72,659564
2024-04-05 07:00:00,39.64,39.96,39.39,39.72,468951
2024-04-08 07:00:00,39.72,39.88,39.47,39.72,266946
2024-04-09 07:00:00,39.8,40.53,39.72,40.53,537166
2024-04-10 07:00:00,40.53,41.1,40.04,40.2,395977
2024-04-11 07:00:00,40.2,40.45,39.88,40.45,261989
2024-04-12 07:00:00,40.45,41.58,40.45,40.61,1502669
2024-04-15 07:00:00,40.61,40.85,39.8,39.96,946648
2024-04-16 07:00:00,41.31,41.31,38.6,39.02,1041182
2024-04-17 07:00:00,39.19,39.28,38.77,38.94,583867
2024-04-19 07:00:00,38.94,38.94,38.26,38.51,756078
2024-04-22 07:00:00,38.6,38.94,38.51,38.85,141498
2024-04-23 07:00:00,38.85,38.85,38.34,38.51,153151
2024-04-24 07:00:00,38.51,38.77,38.43,38.6,373413
2024-04-25 07:00:00,38.6,38.85,38.43,38.68,214144
2024-04-26 07:00:00,38.77,39.53,38.77,38.94,231980
2024-05-02 07:00:00,39.11,39.53,38.94,39.44,302905
2024-05-03 07:00:00,39.61,39.95,39.53,39.78,581971
2024-05-06 07:00:00,39.87,41.48,39.87,41.22,1400224
2024-05-07 07:00:00,41.22,42.74,41.14,41.98,2260211
2024-05-08 07:00:00,42.32,42.32,41.48,41.81,781292
2024-05-09 07:00:00,41.9,42.92,41.05,41.31,1524049
2024-05-10 07:00:00,41.39,41.81,40.88,41.31,648498
2024-05-13 07:00:00,41.31,41.48,40.63,40.97,874364
2024-05-14 07:00:00,40.97,41.48,40.71,41.31,359973
2024-05-15 07:00:00,41.39,42.15,41.05,41.48,1184861
2024-05-16 07:00:00,41.56,42.07,40.97,41.22,947997
2024-05-17 07:00:00,41.22,41.31,40.88,41.31,723990
2024-05-20 07:00:00,41.39,41.73,40.8,40.88,829066
2024-05-21 07:00:00,40.88,41.98,40.88,41.64,1904140
2024-05-22 07:00:00,41.64,41.9,41.14,41.48,870426
2024-05-23 07:00:00,41.48,44.18,41.39,43.68,4620273
2024-05-24 07:00:00,43.68,43.85,41.64,42.32,2124027
2024-05-27 07:00:00,42.32,43.42,41.64,42.15,1063577
2024-05-28 07:00:00,42.15,42.74,41.9,42.49,923506
2024-05-29 07:00:00,42.49,42.74,41.73,41.73,1043171
2024-05-30 07:00:00,41.81,41.9,41.48,41.81,992131
2024-05-31 07:00:00,41.81,42.49,41.73,42.07,1068381
2024-06-03 07:00:00,42.15,42.83,42.07,42.32,757424
2024-06-04 07:00:00,42.41,42.58,41.9,41.98,665008
2024-06-05 07:00:00,41.98,43.59,41.98,42.41,2201739
2024-06-06 07:00:00,42.32,43.25,42.32,42.74,1014460
