time,open,high,low,close,volume
2024-01-05,19.24,19.24,19.24,19.24,0
2024-01-08,18.59,18.59,18.59,18.59,351
2024-01-09,18.59,18.59,18.59,18.59,1
2024-01-10,18.59,18.59,18.59,18.59,1015
2024-01-11,18.66,19.68,18.66,19.68,6298
2024-01-12,19.68,19.68,19.68,19.68,0
2024-01-15,19.68,19.68,19.68,19.68,0
2024-01-16,19.68,19.68,19.68,19.68,6
2024-01-17,18.66,18.66,18.66,18.66,700
2024-01-18,18.66,18.66,18.66,18.66,0
2024-01-19,18.73,18.73,18.73,18.73,130
2024-01-22,18.73,18.73,18.73,18.73,101
2024-01-23,19.03,19.03,19.03,19.03,2000
2024-01-24,19.03,19.03,19.03,19.03,500
2024-01-25,19.03,19.39,19.03,19.39,400
2024-01-26,19.39,19.76,19.39,19.76,2200
2024-01-29,19.76,19.76,19.76,19.76,2
2024-01-30,20.42,21.07,18.55,20.42,5804
2024-01-31,20.45,20.45,20.45,20.45,3000
2024-02-01,20.45,20.45,20.45,20.45,8
2024-02-02,20.45,21.66,19.03,20.85,1400
2024-02-05,19.76,21.15,19.76,21.15,207
2024-02-06,21.51,21.51,21.51,21.51,101
2024-02-07,21.51,21.51,21.51,21.51,5
2024-02-15,21.51,21.51,21.51,21.51,2
2024-02-16,20.01,20.01,20.01,20.01,905
2024-02-19,20.01,20.01,20.01,20.01,200
2024-02-20,21.15,21.15,19.17,19.17,400
2024-02-21,19.76,20.49,19.03,20.49,26026
2024-02-22,20.85,21.29,20.85,21.29,9929
2024-02-23,21.29,21.37,20.85,20.85,19807
2024-02-26,20.85,21.59,20.85,21.59,4803
2024-02-27,23.09,23.09,21.95,23.09,21310
2024-02-28,23.6,23.85,23.05,23.85,67992
2024-02-29,22.24,23.05,22.24,23.05,2872
2024-03-01,21.59,21.92,21.51,21.92,5504
2024-03-04,21.92,21.92,21.92,21.92,916
2024-03-05,20.63,20.78,20.49,20.78,1302
2024-03-06,20.78,21.66,20.34,21.66,4700
2024-03-07,21.26,21.48,21.26,21.48,1918
2024-03-08,20.34,21.62,20.34,21.62,510
2024-03-11,21.55,21.55,20.34,20.42,5711
2024-03-12,20.85,21.37,20.78,20.82,15025
2024-03-13,21.18,21.22,21.18,21.22,1002
2024-03-14,21.22,21.48,21.22,21.48,2221
2024-03-15,21.22,21.84,21.22,21.84,9703
2024-03-18,21.95,21.95,21.22,21.22,2105
2024-03-19,22.1,22.61,22.1,22.61,311
2024-03-20,22.61,24.15,21.07,23.85,36953
2024-03-21,22.32,22.32,22.24,22.24,874
2024-03-22,21.95,23.71,20.71,23.71,3170
2024-03-25,23.71,23.71,23.71,23.71,0
2024-03-26,22.17,23.64,22.17,22.32,1627
2024-03-27,22.32,22.32,22.32,22.32,113
2024-03-28,22.32,23.42,20.93,20.93,3501
2024-03-29,21.07,21.07,21.07,21.07,555
2024-04-01,21.07,21.07,21.07,21.07,9
2024-04-02,21.15,21.15,21.15,21.15,215
2024-04-03,21.15,21.15,21.15,21.15,1
2024-04-04,21.15,21.15,21.15,21.15,286
2024-04-05,21.15,21.15,21.15,21.15,1
2024-04-08,21.22,21.22,21.22,21.22,201
2024-04-09,21.22,21.22,21.22,21.22,12
2024-04-10,21.22,21.22,21.22,21.22,19
2024-04-11,21.22,21.22,21.22,21.22,4
