time,open,high,low,close,volume
2024-01-29,16.84,16.87,16.73,16.8,1345391
2024-01-30,16.73,16.8,16.65,16.8,1383719
2024-01-31,16.8,16.87,16.36,16.73,1616651
2024-02-01,16.58,16.73,16.43,16.62,1354998
2024-02-02,16.58,16.65,16.21,16.62,2020251
2024-02-05,16.62,16.84,16.32,16.8,1574234
2024-02-06,16.8,16.87,16.62,16.8,1345912
2024-02-07,16.76,16.94,16.58,16.94,1475384
2024-02-15,16.94,17.02,16.69,16.98,1561541
2024-02-16,17.02,17.02,16.8,16.98,1301006
2024-02-19,16.98,17.02,16.69,16.84,1430719
2024-02-20,16.87,16.87,16.62,16.8,1495967
2024-02-21,16.69,16.84,16.51,16.76,1681549
2024-02-22,16.76,16.8,16.54,16.8,1391538
2024-02-23,16.8,16.94,16.65,16.8,1502059
2024-02-26,16.65,16.8,16.58,16.73,1290611
2024-02-27,16.73,16.73,16.47,16.73,1765623
2024-02-28,16.54,16.76,16.51,16.76,1603321
2024-02-29,16.76,16.8,16.54,16.73,1433794
2024-03-01,16.58,16.76,16.54,16.76,1385983
2024-03-04,16.76,16.8,16.58,16.69,1503749
2024-03-05,16.69,16.69,16.54,16.69,1450299
2024-03-06,16.58,16.69,16.47,16.62,1532248
2024-03-07,16.62,16.62,16.47,16.62,1442536
2024-03-08,16.62,16.65,16.4,16.58,1385788
2024-03-11,16.54,16.58,16.25,16.47,1764656
2024-03-12,16.51,16.51,16.25,16.47,1474802
2024-03-13,16.47,16.54,16.29,16.51,1416086
2024-03-14,16.51,16.54,16.32,16.51,1498243
2024-03-15,16.51,16.58,16.32,16.51,1549723
2024-03-18,16.51,16.54,16.25,16.4,1391144
2024-03-19,16.29,16.4,16.14,16.4,1463357
2024-03-20,16.29,16.47,16.18,16.47,1571098
2024-03-21,16.51,16.54,16.29,16.47,1327810
2024-03-22,16.47,16.51,16.32,16.32,1353467
2024-03-25,16.21,16.36,16.14,16.14,1428999
2024-03-26,16.21,16.32,16.07,16.29,1385730
2024-03-27,16.1,16.32,16.07,16.21,1430852
2024-03-28,16.1,16.21,16.03,16.21,1341603
2024-03-29,16.03,16.18,16.03,16.14,1373692
2024-04-01,16.14,16.18,15.92,16.14,1403949
2024-04-02,15.92,16.14,15.85,16.1,1350348
2024-04-03,15.89,16.1,15.78,16.07,2067396
2024-04-04,16.1,16.14,15.89,16.07,1372141
2024-04-05,15.89,16.07,15.81,16.03,1408733
2024-04-08,15.89,16.03,15.78,16.0,1448098
2024-04-09,15.85,16.0,15.78,16.0,1600541
2024-04-10,16.0,16.07,15.81,16.07,2010323
2024-04-11,15.85,16.1,15.85,16.1,2017227
2024-04-12,16.14,16.51,16.07,16.51,2563307
2024-04-15,16.47,16.51,16.07,16.32,2154778
2024-04-16,16.36,16.36,15.19,16.18,2587126
2024-04-17,16.21,16.51,15.96,16.21,2152191
2024-04-19,16.21,16.25,15.7,16.14,2113576
2024-04-22,16.14,16.29,15.89,16.18,2197341
2024-04-23,16.0,16.18,15.7,16.07,2202345
2024-04-24,16.07,16.18,16.0,16.14,2019728
2024-04-25,16.1,16.14,15.78,16.07,2171611
2024-04-26,16.07,16.07,15.7,16.07,2234848
2024-05-02,16.07,16.1,15.81,16.03,1786780
2024-05-03,16.07,16.07,15.85,16.0,1906673
2024-05-06,16.0,16.07,15.85,16.07,1885037
2024-05-07,16.07,16.1,15.92,16.1,1926174
2024-05-08,16.1,16.14,15.89,16.0,2727115
2024-05-09,16.03,16.07,15.89,16.03,1979795
2024-05-10,16.03,16.07,15.85,15.89,2040635
2024-05-13,15.92,15.96,15.78,15.89,1855772
2024-05-14,15.92,15.92,15.78,15.85,1292540
2024-05-15,15.85,15.89,15.74,15.89,1499155
