time,open,high,low,close,volume
2025-08-14 07:00:00,32.89,33.6,32.09,32.71,70443500
2025-08-15 07:00:00,33.25,33.38,32.22,32.49,58499100
2025-08-18 07:00:00,32.54,32.71,31.69,31.82,50226000
2025-08-19 07:00:00,31.56,33.16,31.56,32.67,59106200
2025-08-20 07:00:00,32.67,32.71,30.67,32.09,60341100
2025-08-21 07:00:00,32.18,33.69,32.09,32.94,72277300
2025-08-22 07:00:00,32.4,32.71,31.42,31.78,63807300
2025-08-25 07:00:00,32.36,33.6,31.87,32.58,69348200
2025-08-26 07:00:00,32.49,34.85,32.14,34.85,94358400
2025-08-27 07:00:00,35.96,36.63,35.65,35.78,59655800
2025-08-28 07:00:00,36.0,37.34,35.69,37.34,54930700
2025-08-29 07:00:00,38.18,39.25,37.52,37.52,52457300
2025-09-03 07:00:00,37.52,37.92,36.36,36.76,54126400
2025-09-04 07:00:00,36.98,37.87,36.58,37.6,33209200
2025-09-05 07:00:00,38.0,38.58,36.0,36.0,51528200
2025-09-08 07:00:00,35.83,36.98,35.65,35.74,72146900
2025-09-09 07:00:00,36.05,37.34,34.94,37.34,51995900
2025-09-10 07:00:00,38.05,38.58,37.03,37.74,43275200
2025-09-11 07:00:00,37.16,37.87,35.38,37.74,85920600
2025-09-12 07:00:00,38.09,38.14,36.94,37.25,34559500
2025-09-15 07:00:00,37.43,37.92,36.85,37.52,40521000
2025-09-16 07:00:00,38.23,38.23,36.98,36.98,37917500
2025-09-17 07:00:00,36.8,37.03,36.0,36.09,37920700
2025-09-18 07:00:00,36.32,36.8,35.83,36.27,26356200
2025-09-19 07:00:00,36.45,36.67,35.87,35.87,27872000
2025-09-22 07:00:00,36.0,36.23,34.85,34.94,43538600
2025-09-23 07:00:00,35.03,35.65,35.03,35.03,21429500
2025-09-24 07:00:00,35.12,35.78,34.27,35.78,36376800
2025-09-25 07:00:00,36.01,36.15,35.55,35.55,25997200
2025-09-26 07:00:00,35.46,35.51,34.64,34.64,38838600
2025-09-29 07:00:00,34.69,34.82,33.91,34.23,34409300
2025-09-30 07:00:00,34.28,35.37,34.0,35.14,38227200
2025-10-01 07:00:00,35.42,35.74,35.05,35.19,16967100
2025-10-02 07:00:00,35.23,35.51,34.37,34.51,21157600
2025-10-03 07:00:00,34.41,34.82,33.91,34.32,25057700
2025-10-06 07:00:00,35.1,36.69,35.05,36.69,53500100
2025-10-07 07:00:00,37.38,37.7,36.97,37.19,40540800
2025-10-08 07:00:00,38.06,38.74,36.97,37.56,53747600
2025-10-09 07:00:00,37.6,37.65,36.97,37.06,33451500
2025-10-10 07:00:00,37.29,37.83,37.01,37.1,29024800
2025-10-13 07:00:00,36.6,38.02,36.47,37.7,42263800
2025-10-14 07:00:00,38.61,39.47,37.38,37.38,65269200
2025-10-15 07:00:00,37.47,38.06,37.24,37.79,30114300
2025-10-16 07:00:00,38.02,38.52,37.51,37.7,29760800
2025-10-17 07:00:00,37.83,38.24,37.1,37.19,38969300
2025-10-20 07:00:00,37.15,38.11,34.6,34.6,70585900
2025-10-21 07:00:00,34.6,36.01,33.68,35.19,81186900
2025-10-22 07:00:00,35.37,35.37,33.91,35.05,32795900
