time,open,high,low,close,volume
2023-11-16 07:00:00,14.73,15.12,14.58,14.96,1624902
2023-11-17 07:00:00,14.96,15.12,14.2,14.43,2164709
2023-11-20 07:00:00,13.81,14.58,13.81,14.58,926565
2023-11-21 07:00:00,14.58,14.73,14.43,14.73,1106627
2023-11-22 07:00:00,14.73,14.81,14.43,14.81,1820384
2023-11-23 07:00:00,14.81,14.96,14.2,14.2,1822983
2023-11-24 07:00:00,14.12,14.43,13.74,14.2,1792351
2023-11-27 07:00:00,14.2,14.35,13.81,13.81,1077723
2023-11-28 07:00:00,13.81,14.04,13.58,14.04,1103558
2023-11-29 07:00:00,14.12,14.2,14.04,14.2,820552
2023-11-30 07:00:00,14.27,14.27,13.97,13.97,987320
2023-12-01 07:00:00,14.2,14.2,13.81,13.97,808101
2023-12-04 07:00:00,13.97,14.81,13.97,14.58,2479290
2023-12-05 07:00:00,14.73,14.73,14.35,14.35,1242546
2023-12-06 07:00:00,14.43,14.89,14.43,14.89,2981669
2023-12-07 07:00:00,14.81,15.04,14.43,14.81,2820517
2023-12-08 07:00:00,14.81,14.89,14.5,14.58,1862146
2023-12-11 07:00:00,14.58,14.73,14.43,14.66,807708
2023-12-12 07:00:00,14.66,15.42,14.5,15.27,4261400
2023-12-13 07:00:00,15.27,15.42,14.96,14.96,2851135
2023-12-14 07:00:00,14.96,15.5,14.96,15.19,2921706
2023-12-15 07:00:00,15.19,15.27,14.96,15.04,1181638
2023-12-18 07:00:00,15.04,15.58,14.89,15.27,1851503
2023-12-19 07:00:00,15.35,15.73,15.27,15.5,2602568
2023-12-20 07:00:00,15.5,15.58,15.19,15.27,1314411
2023-12-21 07:00:00,15.27,15.42,15.12,15.27,1162436
2023-12-22 07:00:00,15.35,15.42,15.04,15.12,1732951
2023-12-25 07:00:00,15.12,15.5,15.12,15.35,1519605
2023-12-26 07:00:00,13.81,15.73,13.81,15.65,2826832
2023-12-27 07:00:00,15.65,15.81,15.42,15.42,1980601
2023-12-28 07:00:00,15.58,15.58,15.35,15.35,1855944
2023-12-29 07:00:00,15.35,15.5,15.27,15.35,1156082
2024-01-02 07:00:00,15.35,15.5,15.12,15.19,1927794
2024-01-03 07:00:00,15.35,15.5,15.12,15.5,1278643
2024-01-04 07:00:00,15.5,15.5,15.27,15.27,1813309
2024-01-05 07:00:00,15.35,15.42,15.19,15.42,1378214
2024-01-08 07:00:00,15.42,15.58,15.35,15.42,2056037
2024-01-09 07:00:00,15.5,16.04,15.5,15.73,3687788
2024-01-10 07:00:00,15.73,15.81,15.5,15.58,1225721
2024-01-11 07:00:00,15.5,15.65,15.27,15.35,1852850
2024-01-12 07:00:00,15.35,15.35,15.04,15.12,2348470
2024-01-15 07:00:00,15.12,15.27,14.96,15.04,1138680
2024-01-16 07:00:00,15.35,15.35,14.96,15.19,1166345
2024-01-17 07:00:00,15.19,15.5,15.19,15.42,1472565
2024-01-18 07:00:00,15.42,15.5,15.19,15.27,843130
2024-01-19 07:00:00,15.58,15.58,15.19,15.19,1139015
2024-01-22 07:00:00,15.27,15.5,15.19,15.5,1291258
2024-01-23 07:00:00,15.58,15.58,15.35,15.5,644328
2024-01-24 07:00:00,15.5,15.5,15.35,15.35,489962
2024-01-25 07:00:00,15.43,15.43,15.27,15.27,510603
2024-01-26 07:00:00,15.35,15.43,15.27,15.27,563212
2024-01-29 07:00:00,15.27,15.43,15.27,15.35,845633
2024-01-30 07:00:00,15.35,16.21,15.35,16.05,4750672
2024-01-31 07:00:00,16.05,16.05,15.74,15.74,1366570
2024-02-01 07:00:00,15.82,16.21,15.74,16.21,2001730
2024-02-02 07:00:00,16.21,16.44,15.9,15.9,2045506
2024-02-05 07:00:00,15.98,16.29,15.9,16.13,1771958
2024-02-06 07:00:00,16.13,16.29,15.98,16.13,859013
2024-02-07 07:00:00,16.13,16.29,16.05,16.13,1541336
2024-02-15 07:00:00,16.13,16.68,16.13,16.44,2606820
2024-02-16 07:00:00,15.66,16.52,15.66,16.29,1275523
2024-02-19 07:00:00,16.44,16.52,16.13,16.29,1616053
2024-02-20 07:00:00,16.21,16.37,16.05,16.29,1811994
2024-02-21 07:00:00,16.37,16.44,16.13,16.44,1954953
2024-02-22 07:00:00,14.8,16.99,14.8,16.44,2789052
2024-02-23 07:00:00,14.8,16.68,14.8,16.13,2621800
2024-02-26 07:00:00,16.13,16.84,16.13,16.76,2761708
2024-02-27 07:00:00,16.76,17.23,16.68,16.84,2879436
2024-02-28 07:00:00,16.84,17.15,16.6,16.76,1815392
2024-02-29 07:00:00,16.84,17.07,16.52,16.68,2776133
2024-03-01 07:00:00,16.68,16.92,16.6,16.76,1651016
2024-03-04 07:00:00,16.84,17.7,16.76,17.54,4988132
2024-03-05 07:00:00,17.62,17.62,17.23,17.54,2020631
2024-03-06 07:00:00,17.62,17.62,16.99,17.23,2702442
2024-03-07 07:00:00,17.23,17.93,17.15,17.78,3915990
2024-03-08 07:00:00,17.85,17.93,17.39,17.54,2549503
2024-03-11 07:00:00,17.54,17.7,16.99,17.07,3037665
2024-03-12 07:00:00,17.07,17.7,16.92,17.62,2784065
2024-03-13 07:00:00,17.62,18.25,17.54,17.93,3109916
2024-03-14 07:00:00,18.01,18.32,17.7,17.78,2080024
2024-03-15 07:00:00,17.78,17.85,17.31,17.54,3451547
2024-03-18 07:00:00,17.54,17.62,16.44,16.99,4296802
2024-03-19 07:00:00,16.99,17.23,16.84,16.84,1026775
2024-03-20 07:00:00,16.84,17.07,16.76,17.07,1261350
2024-03-21 07:00:00,17.07,17.39,17.07,17.23,1764818
2024-03-22 07:00:00,17.31,17.54,17.15,17.23,2031798
2024-03-25 07:00:00,17.15,17.31,16.92,16.99,1895764
2024-03-26 07:00:00,16.84,17.15,16.84,17.15,1635980
2024-03-27 07:00:00,17.15,17.93,17.15,17.85,4366960
2024-03-28 07:00:00,17.85,17.93,17.54,17.62,1277111
2024-03-29 07:00:00,17.46,17.78,17.39,17.39,1766158
2024-04-01 07:00:00,17.31,17.54,17.23,17.46,1597137
2024-04-02 07:00:00,17.54,18.32,17.23,18.17,4274796
2024-04-03 07:00:00,18.17,18.25,17.7,17.78,1723247
2024-04-04 07:00:00,17.78,17.85,17.54,17.62,2050197
2024-04-05 07:00:00,17.46,17.7,17.15,17.15,2413436
2024-04-08 07:00:00,17.31,17.31,16.99,16.99,1247841
2024-04-09 07:00:00,16.92,17.39,16.76,17.39,1326592
2024-04-10 07:00:00,17.39,17.39,17.07,17.31,869958
2024-04-11 07:00:00,17.15,17.23,16.92,17.15,950038
2024-04-12 07:00:00,17.15,17.46,17.15,17.46,1290586
2024-04-15 07:00:00,17.46,17.46,15.74,15.74,3224136
2024-04-16 07:00:00,15.74,16.13,15.27,15.82,2882325
2024-04-17 07:00:00,15.82,16.05,15.5,15.66,1138990
