time,open,high,low,close,volume
2023-11-20 07:00:00,14.91,15.43,14.91,15.43,30300
2023-11-21 07:00:00,15.43,15.58,15.36,15.36,12900
2023-11-22 07:00:00,15.36,15.47,15.32,15.47,17300
2023-11-23 07:00:00,15.62,15.62,15.09,15.09,42700
2023-11-24 07:00:00,15.09,15.17,14.91,15.13,29200
2023-11-27 07:00:00,15.13,15.28,14.16,14.87,98500
2023-11-28 07:00:00,14.87,14.91,14.57,14.87,21700
2023-11-29 07:00:00,15.28,15.28,14.83,15.13,20600
2023-11-30 07:00:00,15.21,15.21,14.98,15.13,29100
2023-12-01 07:00:00,15.21,15.21,14.98,15.06,8100
2023-12-04 07:00:00,14.91,15.73,14.91,15.58,148600
2023-12-05 07:00:00,15.43,15.65,15.43,15.58,44000
2023-12-06 07:00:00,15.58,15.84,15.58,15.62,71500
2023-12-07 07:00:00,15.65,15.8,15.13,15.65,81100
2023-12-08 07:00:00,15.65,15.65,15.24,15.65,35500
2023-12-11 07:00:00,15.62,15.62,15.28,15.58,18200
2023-12-12 07:00:00,15.58,15.65,15.36,15.65,21200
2023-12-13 07:00:00,15.62,15.62,15.39,15.39,18300
2023-12-14 07:00:00,15.32,15.39,15.17,15.17,19700
2023-12-15 07:00:00,15.21,15.39,15.02,15.36,38900
2023-12-18 07:00:00,15.28,15.28,14.87,14.94,98300
2023-12-19 07:00:00,15.02,15.02,14.76,14.94,25600
2023-12-20 07:00:00,15.06,15.13,14.83,15.06,58200
2023-12-21 07:00:00,15.06,15.06,14.83,14.83,67100
2023-12-22 07:00:00,14.91,14.98,14.83,14.83,16600
2023-12-25 07:00:00,14.91,15.13,14.83,15.06,22900
2023-12-26 07:00:00,15.06,15.09,14.91,15.06,37500
2023-12-27 07:00:00,15.06,15.28,14.98,15.13,35700
2023-12-28 07:00:00,15.13,15.73,15.13,15.65,150700
2023-12-29 07:00:00,15.58,16.29,15.58,15.73,70300
2024-01-02 07:00:00,15.73,15.8,15.69,15.73,31200
2024-01-03 07:00:00,15.73,15.8,15.62,15.8,25600
2024-01-04 07:00:00,15.99,16.29,15.95,16.03,89300
2024-01-05 07:00:00,16.03,16.14,16.03,16.14,63000
2024-01-08 07:00:00,16.18,16.21,16.03,16.06,28400
2024-01-09 07:00:00,16.03,16.1,15.84,15.88,49100
2024-01-10 07:00:00,15.88,15.91,15.76,15.88,12100
2024-01-11 07:00:00,15.84,16.25,15.69,15.91,25600
2024-01-12 07:00:00,15.69,15.91,15.58,15.91,41900
2024-01-15 07:00:00,16.03,16.03,15.76,15.95,11200
2024-01-16 07:00:00,15.69,15.88,15.58,15.62,48000
2024-01-17 07:00:00,15.65,15.95,15.5,15.5,63900
