time,open,high,low,close,volume
2024-02-06,59.47,59.67,58.68,58.94,1353403
2024-02-07,59.27,59.8,58.81,59.27,1372449
2024-02-15,59.27,59.73,58.68,59.21,1047830
2024-02-16,59.21,59.4,58.94,59.01,735346
2024-02-19,59.21,59.6,58.81,59.4,1046679
2024-02-20,59.34,60.19,58.88,60.13,1405753
2024-02-21,60.39,60.39,59.6,60.06,1369259
2024-02-22,59.67,59.93,58.94,58.94,1224789
2024-02-23,58.94,60.19,58.55,58.55,1802815
2024-02-26,58.55,59.27,58.55,58.94,722488
2024-02-27,59.01,60.06,58.68,60.0,1608348
2024-02-28,59.93,64.14,59.53,64.14,4227766
2024-02-29,64.87,66.19,64.08,64.08,1902870
2024-03-01,64.67,64.67,62.5,64.08,2383117
2024-03-04,64.54,64.54,62.96,63.22,1643680
2024-03-05,63.62,63.62,62.7,62.89,1366903
2024-03-06,62.89,63.75,62.63,62.96,2072535
2024-03-07,63.16,64.14,62.89,63.09,2364334
2024-03-08,63.16,63.55,62.63,62.63,2231150
2024-03-11,62.63,63.22,61.97,61.97,1842420
2024-03-12,61.97,62.5,61.91,62.17,1108496
2024-03-13,62.5,63.55,62.1,63.22,3126592
2024-03-14,63.22,63.29,62.3,62.56,2322431
2024-03-15,62.56,62.56,61.84,61.91,2304560
2024-03-18,62.1,62.24,60.92,61.25,1843874
2024-03-19,60.92,61.58,60.92,60.92,870431
2024-03-20,60.92,61.97,60.92,61.38,899448
2024-03-21,61.91,62.89,61.91,62.7,1454765
2024-03-22,62.7,63.75,62.7,63.49,1846861
2024-03-25,62.56,63.82,61.97,63.03,1370504
2024-03-26,63.22,63.62,63.09,63.42,736873
2024-03-27,63.35,63.35,62.96,63.09,1047647
2024-03-28,63.35,63.49,62.96,63.03,1233566
2024-03-29,63.16,63.16,62.5,62.5,801942
2024-04-01,62.5,63.22,62.37,62.7,1222710
2024-04-02,62.63,62.7,61.84,62.24,970357
2024-04-03,62.17,62.43,61.77,61.77,1323149
2024-04-04,62.5,63.22,62.17,63.22,2024326
2024-04-05,62.43,62.96,62.04,62.5,780020
2024-04-08,62.5,62.76,62.04,62.5,865357
2024-04-09,62.56,62.83,62.04,62.1,688518
2024-04-10,62.1,62.3,61.97,62.24,738740
2024-04-11,61.91,62.3,61.58,61.91,778946
2024-04-12,62.24,62.89,61.77,62.3,846008
2024-04-15,62.3,63.55,60.59,60.59,1902194
2024-04-16,61.77,61.77,59.6,59.93,1860102
2024-04-17,60.06,60.65,58.94,59.6,1454446
2024-04-19,59.27,59.86,59.07,59.6,1326423
2024-04-22,59.6,60.19,59.4,59.67,999830
2024-04-23,59.67,60.06,58.74,59.34,1565162
2024-04-24,59.93,60.0,59.34,59.67,1926287
2024-04-25,59.67,61.18,59.6,59.93,1236861
2024-04-26,60.39,61.44,60.06,60.06,1699786
2024-05-02,60.65,60.92,60.0,60.52,933709
2024-05-03,60.85,61.51,60.46,60.92,1472206
2024-05-06,61.18,61.44,61.05,61.25,1148815
2024-05-07,61.51,61.97,61.18,61.18,1155689
2024-05-08,61.05,61.38,60.65,61.25,1247171
2024-05-09,61.18,61.51,60.79,60.92,607990
2024-05-10,61.05,61.05,60.39,60.59,824888
2024-05-13,60.65,60.85,59.6,59.93,1234518
2024-05-14,60.0,60.33,59.6,59.67,819950
2024-05-15,59.93,60.13,59.8,59.93,884744
2024-05-16,60.59,61.05,60.26,60.98,1715536
2024-05-17,60.98,60.98,60.39,60.46,1086438
2024-05-20,60.79,61.25,60.46,60.52,1045431
2024-05-21,60.52,60.59,59.73,60.0,1488654
2024-05-22,60.26,60.39,59.73,59.73,1349994
2024-05-23,59.73,60.26,59.6,59.93,1318403
2024-05-24,59.93,59.93,59.27,59.4,2243441
2024-05-27,59.53,59.67,59.07,59.4,1060054
2024-05-28,59.14,59.73,59.14,59.73,1351470
2024-05-29,59.8,59.93,59.14,59.14,1188182
2024-05-30,58.94,59.07,58.28,58.35,2358180
2024-05-31,58.42,58.61,57.43,57.43,3927010
2024-06-03,57.95,58.81,57.95,58.09,2111127
2024-06-04,58.55,58.74,58.15,58.42,1818442
2024-06-05,58.42,58.94,58.35,58.48,1886226
2024-06-06,58.55,59.07,58.48,58.61,1702865
2024-06-07,58.68,59.07,58.28,58.28,1131101
2024-06-10,58.55,58.74,57.89,57.95,2643949
2024-06-11,58.15,58.22,57.36,57.43,2256534
2024-06-12,57.56,58.74,57.3,58.42,2251490
2024-06-13,58.55,58.68,58.22,58.22,1603414
2024-06-14,58.28,58.68,57.63,57.63,2484887
2024-06-17,57.69,57.82,57.36,57.36,2295281
2024-06-18,57.63,58.28,57.36,57.36,1372946
2024-06-19,57.49,57.63,56.97,57.03,2176749
