time,open,high,low,close,volume
2025-08-13 07:00:00,57.98,60.5,57.11,60.21,5124600
2025-08-14 07:00:00,60.88,60.88,58.66,59.24,1495100
2025-08-15 07:00:00,59.34,59.34,56.34,57.02,2723800
2025-08-18 07:00:00,57.11,57.5,55.86,56.05,1847700
2025-08-19 07:00:00,56.15,57.11,55.66,56.24,1700900
2025-08-20 07:00:00,56.44,57.11,54.6,55.18,1851800
2025-08-21 07:00:00,55.86,55.86,53.92,54.5,1749100
2025-08-22 07:00:00,54.5,55.37,53.34,53.83,1405900
2025-08-25 07:00:00,54.31,55.08,53.15,53.15,1166400
2025-08-26 07:00:00,53.25,55.37,53.25,55.37,1204600
2025-08-27 07:00:00,55.18,55.57,54.31,54.31,1085200
2025-08-28 07:00:00,54.89,56.15,54.31,55.57,761000
2025-08-29 07:00:00,55.86,55.95,54.89,54.99,641300
2025-09-03 07:00:00,55.28,55.86,54.99,55.66,652200
2025-09-04 07:00:00,56.24,56.73,55.66,56.24,1551900
2025-09-05 07:00:00,56.63,57.79,56.15,56.24,1625500
2025-09-08 07:00:00,56.53,57.6,56.05,56.15,2043100
2025-09-09 07:00:00,56.44,56.44,55.18,56.34,1172800
2025-09-10 07:00:00,56.34,56.92,56.05,56.05,964500
2025-09-11 07:00:00,56.15,57.89,55.95,57.69,2374000
2025-09-12 07:00:00,58.37,59.34,57.79,58.08,2517000
2025-09-15 07:00:00,58.66,62.14,58.47,62.14,4817000
2025-09-16 07:00:00,62.43,64.07,61.85,63.49,3266900
2025-09-17 07:00:00,63.49,63.78,61.95,62.04,2327600
2025-09-18 07:00:00,62.14,62.72,60.4,61.37,2234900
2025-09-19 07:00:00,61.37,61.75,60.21,60.3,1586900
2025-09-22 07:00:00,60.3,60.69,56.53,58.37,2779800
2025-09-23 07:00:00,58.56,59.72,58.18,58.85,878400
2025-09-24 07:00:00,58.66,58.76,57.11,58.47,2551700
2025-09-25 07:00:00,58.47,58.56,57.31,57.79,2107700
2025-09-26 07:00:00,57.79,57.89,57.21,57.5,1002000
2025-09-29 07:00:00,58.0,58.2,55.5,55.5,1764900
