time,open,high,low,close,volume
2024-01-29,20.37,20.37,20.13,20.13,3168351
2024-01-30,20.13,20.37,20.08,20.22,2910566
2024-01-31,20.25,20.34,19.98,19.98,6310175
2024-02-01,19.91,19.98,19.79,19.84,7109228
2024-02-02,19.98,20.27,19.81,19.84,5777556
2024-02-05,19.93,20.03,19.79,19.86,3363623
2024-02-06,19.93,19.96,19.74,19.74,5537080
2024-02-07,19.77,20.15,19.74,20.13,3770219
2024-02-15,20.3,20.32,20.13,20.2,4319070
2024-02-16,20.3,20.61,20.2,20.56,6027229
2024-02-19,20.7,21.98,20.66,21.93,20165747
2024-02-20,22.15,22.49,22.08,22.22,12933357
2024-02-21,22.2,22.2,21.57,21.67,8951937
2024-02-22,21.72,21.88,21.57,21.57,6812686
2024-02-23,21.67,21.72,20.82,20.85,11758953
2024-02-26,20.92,21.11,20.75,20.87,7003949
2024-02-27,21.07,21.28,20.85,21.28,7161102
2024-02-28,21.4,21.62,21.19,21.38,6285833
2024-02-29,21.45,21.52,20.9,20.9,11045628
2024-03-01,21.04,21.28,20.85,21.16,6876405
2024-03-04,21.21,21.47,21.09,21.16,7039659
2024-03-05,21.16,21.31,20.85,21.02,7694338
2024-03-06,21.02,21.45,20.73,20.75,11326080
2024-03-07,20.85,20.85,20.63,20.8,7319072
2024-03-08,20.95,20.99,20.49,20.49,9529599
2024-03-11,20.51,20.7,20.46,20.49,6058761
2024-03-12,20.49,20.66,20.39,20.56,4758561
2024-03-13,20.61,20.7,20.46,20.68,7335627
2024-03-14,20.9,21.09,20.61,20.66,12610933
2024-03-15,20.66,20.78,20.42,20.42,9887754
2024-03-18,20.54,20.78,19.89,20.27,14791576
2024-03-19,20.39,20.73,20.15,20.66,9466892
2024-03-20,20.7,20.7,20.32,20.46,5440051
2024-03-21,20.63,20.73,20.49,20.66,10981568
2024-03-22,20.8,20.95,20.51,20.61,10001805
2024-03-25,20.7,20.87,20.42,20.49,10313493
2024-03-26,20.56,20.66,20.44,20.58,4265404
2024-03-27,20.66,20.66,20.46,20.46,7553922
2024-03-28,20.61,21.21,20.51,20.85,18569535
2024-03-29,20.9,21.04,20.63,20.63,7689710
2024-04-01,20.66,20.78,20.54,20.66,7521190
2024-04-02,20.56,20.78,20.32,20.78,13761932
2024-04-03,20.78,21.07,20.66,20.75,11841562
2024-04-04,20.61,20.8,20.58,20.7,9669113
