time,open,high,low,close,volume
2023-11-17 07:00:00,61.64,61.73,60.08,60.78,2335800
2023-11-20 07:00:00,60.08,60.69,59.91,60.17,1770000
2023-11-21 07:00:00,60.25,60.6,59.82,60.34,2959800
2023-11-22 07:00:00,60.34,60.95,59.91,60.25,1302200
2023-11-23 07:00:00,60.6,60.69,59.65,59.65,1623100
2023-11-24 07:00:00,59.56,59.82,58.69,59.3,3128900
2023-11-27 07:00:00,59.3,59.39,58.95,59.13,1333300
2023-11-28 07:00:00,59.13,59.47,58.6,59.47,1775600
2023-11-29 07:00:00,59.47,59.73,59.21,59.39,1262500
2023-11-30 07:00:00,59.39,59.65,58.52,58.52,2581600
2023-12-01 07:00:00,59.04,59.47,58.78,59.39,1391800
2023-12-04 07:00:00,59.47,60.34,59.39,59.73,3006800
2023-12-05 07:00:00,59.73,59.91,59.04,59.13,2302100
2023-12-06 07:00:00,59.13,59.56,59.13,59.47,1606600
2023-12-07 07:00:00,59.73,59.73,58.6,59.39,3874400
2023-12-08 07:00:00,59.39,60.17,59.04,59.91,3729400
2023-12-11 07:00:00,61.21,61.21,60.69,60.78,4734500
2023-12-12 07:00:00,60.78,60.86,59.91,60.25,2788700
2023-12-13 07:00:00,60.43,60.52,59.13,59.21,4511000
2023-12-14 07:00:00,59.39,59.82,59.21,59.39,1462000
2023-12-15 07:00:00,59.47,59.56,59.13,59.13,3739700
2023-12-18 07:00:00,59.13,59.21,58.17,58.17,3513100
2023-12-19 07:00:00,58.26,58.52,57.56,58.17,3061900
2023-12-20 07:00:00,58.17,59.21,58.17,59.13,2603900
2023-12-21 07:00:00,58.95,59.3,58.87,58.87,2585900
2023-12-22 07:00:00,58.87,59.13,58.6,58.69,2145700
2023-12-25 07:00:00,58.69,59.65,58.69,58.95,2672700
2023-12-26 07:00:00,59.3,59.47,59.04,59.04,1975400
2023-12-27 07:00:00,59.48,59.65,59.04,59.04,1626400
2023-12-28 07:00:00,59.04,59.91,59.04,59.91,2408700
2023-12-29 07:00:00,60.09,60.09,59.13,59.13,1954700
2024-01-02 07:00:00,59.65,59.91,59.39,59.74,2142800
2024-01-03 07:00:00,59.83,60.35,59.48,60.35,1889800
2024-01-04 07:00:00,60.44,60.79,60.35,60.35,3401500
2024-01-05 07:00:00,60.61,60.61,59.91,60.18,1475700
2024-01-08 07:00:00,60.35,60.44,59.65,59.65,2396400
2024-01-09 07:00:00,59.65,59.91,59.48,59.56,2460400
2024-01-10 07:00:00,59.56,59.56,58.95,59.04,3006600
2024-01-11 07:00:00,59.04,59.91,59.04,59.39,2083900
2024-01-12 07:00:00,59.13,59.39,58.6,58.78,3283000
2024-01-15 07:00:00,58.78,59.04,58.6,58.6,2226700
2024-01-16 07:00:00,58.6,58.95,58.34,58.95,2072400
2024-01-17 07:00:00,59.04,59.39,58.6,58.69,1826400
2024-01-18 07:00:00,58.86,59.3,58.86,58.95,1228400
2024-01-19 07:00:00,58.95,60.0,58.95,59.48,2619900
2024-01-22 07:00:00,59.48,60.09,59.48,59.74,1959800
2024-01-23 07:00:00,59.74,59.74,59.13,59.21,2112000
2024-01-24 07:00:00,59.3,59.48,58.78,58.86,2083500
2024-01-25 07:00:00,58.95,59.04,58.51,58.51,2660500
2024-01-26 07:00:00,58.6,59.04,58.6,58.6,1675800
2024-01-29 07:00:00,58.69,58.86,58.51,58.6,1732800
2024-01-30 07:00:00,58.86,58.86,58.51,58.51,1790400
2024-01-31 07:00:00,58.78,59.65,58.51,58.6,4020100
2024-02-01 07:00:00,58.78,59.3,58.78,59.04,2499300
2024-02-02 07:00:00,59.04,59.21,58.6,58.95,2611300
2024-02-05 07:00:00,58.95,59.65,58.78,59.48,3565900
2024-02-06 07:00:00,59.56,59.65,59.13,59.13,2392800
2024-02-07 07:00:00,59.13,59.39,58.78,59.13,2736300
2024-02-15 07:00:00,59.13,59.48,58.78,59.13,3876600
2024-02-16 07:00:00,59.3,61.49,59.04,61.23,11114600
2024-02-19 07:00:00,62.01,63.5,61.84,62.89,6652800
2024-02-20 07:00:00,62.71,63.32,62.36,62.54,4385700
2024-02-21 07:00:00,62.54,62.89,62.1,62.36,3590200
2024-02-22 07:00:00,62.36,63.59,62.19,62.63,4648100
2024-02-23 07:00:00,62.8,63.59,62.1,62.1,6142500
2024-02-26 07:00:00,62.1,62.71,61.84,62.1,3048400
2024-02-27 07:00:00,62.28,63.32,62.19,62.98,5282500
2024-02-28 07:00:00,63.32,63.5,62.54,63.15,3419000
2024-02-29 07:00:00,63.5,64.11,62.63,62.98,6539800
2024-03-01 07:00:00,63.06,63.06,62.28,62.54,4397700
2024-03-04 07:00:00,62.8,63.59,62.63,62.98,5014600
2024-03-05 07:00:00,62.98,63.85,62.71,63.85,5440900
2024-03-06 07:00:00,64.11,64.29,62.8,62.8,4833900
2024-03-07 07:00:00,62.71,63.06,62.36,62.98,5067600
2024-03-08 07:00:00,63.06,63.76,61.23,61.23,7361000
2024-03-11 07:00:00,61.66,62.36,61.23,61.49,4208400
2024-03-12 07:00:00,61.58,61.75,61.23,61.23,3844000
2024-03-13 07:00:00,61.31,62.01,61.23,61.93,5646500
2024-03-14 07:00:00,62.1,62.36,61.49,61.66,5445400
2024-03-15 07:00:00,62.11,62.11,60.87,60.95,4851100
2024-03-18 07:00:00,60.95,61.22,59.89,60.16,6796400
2024-03-19 07:00:00,60.69,60.69,60.07,60.07,3164500
