time,open,high,low,close,volume
2023-11-20 07:00:00,9.22,9.54,9.18,9.35,1537700
2023-11-21 07:00:00,9.35,9.59,9.35,9.49,1199800
2023-11-22 07:00:00,9.54,10.15,9.45,10.15,3118600
2023-11-23 07:00:00,10.33,10.43,9.45,9.45,2514600
2023-11-24 07:00:00,9.54,9.68,9.31,9.63,2151900
2023-11-27 07:00:00,9.77,10.15,9.73,9.82,1379100
2023-11-28 07:00:00,9.87,10.15,9.77,10.15,2136700
2023-11-29 07:00:00,10.33,10.43,10.15,10.19,1572100
2023-11-30 07:00:00,10.33,10.38,10.01,10.01,1881500
2023-12-01 07:00:00,10.24,10.47,10.15,10.47,2947600
2023-12-04 07:00:00,10.89,11.03,10.8,10.89,2186100
2023-12-05 07:00:00,10.98,10.98,10.66,10.8,2161600
2023-12-06 07:00:00,10.84,10.94,10.66,10.8,2260300
2023-12-07 07:00:00,10.84,10.84,10.24,10.47,2927500
2023-12-08 07:00:00,10.52,10.61,10.24,10.33,1556400
2023-12-11 07:00:00,10.33,10.43,10.1,10.29,1150200
2023-12-12 07:00:00,10.29,10.43,10.24,10.43,606300
2023-12-13 07:00:00,10.43,10.56,10.1,10.19,1316900
2023-12-14 07:00:00,10.29,10.33,10.05,10.05,963100
2023-12-15 07:00:00,10.05,10.15,9.87,10.01,776400
2023-12-18 07:00:00,9.87,10.1,9.82,9.87,802400
2023-12-19 07:00:00,10.05,10.1,9.87,10.1,737600
2023-12-20 07:00:00,10.19,10.52,10.15,10.47,1706300
2023-12-21 07:00:00,10.43,10.7,10.33,10.47,1370200
2023-12-22 07:00:00,10.56,10.61,10.29,10.33,1043200
2023-12-25 07:00:00,10.47,10.98,10.47,10.98,3637100
2023-12-26 07:00:00,10.98,11.36,10.75,10.84,1898800
2023-12-27 07:00:00,10.89,10.94,10.61,10.75,1657600
2023-12-28 07:00:00,10.7,10.84,10.66,10.75,1425800
2023-12-29 07:00:00,10.84,10.84,10.61,10.61,1270200
2024-01-02 07:00:00,10.8,10.8,10.43,10.52,1316900
2024-01-03 07:00:00,10.52,10.8,10.38,10.8,1224700
2024-01-04 07:00:00,10.89,10.98,10.66,10.7,1864000
2024-01-05 07:00:00,10.8,10.8,10.56,10.61,1063000
2024-01-08 07:00:00,10.61,10.7,10.52,10.56,1411000
2024-01-09 07:00:00,10.66,10.7,10.52,10.61,1073500
2024-01-10 07:00:00,10.61,11.31,10.61,10.98,5144500
2024-01-11 07:00:00,11.08,11.08,10.75,10.8,1082100
2024-01-12 07:00:00,10.75,10.89,10.19,10.52,2446400
2024-01-15 07:00:00,10.61,10.84,10.52,10.52,1063900
2024-01-16 07:00:00,10.52,10.66,10.47,10.61,557400
2024-01-17 07:00:00,10.8,11.08,10.75,10.89,2293900
2024-01-18 07:00:00,11.03,11.26,10.84,10.98,2865900
2024-01-19 07:00:00,11.17,11.17,10.8,10.89,1349600
2024-01-22 07:00:00,10.89,10.89,10.66,10.8,1168000
2024-01-23 07:00:00,10.98,10.98,10.66,10.84,851100
2024-01-24 07:00:00,10.94,11.45,10.89,11.03,3258800
2024-01-25 07:00:00,11.08,11.12,10.89,10.89,746600
2024-01-26 07:00:00,10.89,11.08,10.8,10.89,908600
2024-01-29 07:00:00,10.89,11.03,10.8,10.84,615000
2024-01-30 07:00:00,10.84,10.89,10.66,10.84,1229400
2024-01-31 07:00:00,10.84,10.89,10.56,10.61,1428400
2024-02-01 07:00:00,10.61,10.8,10.52,10.8,740600
2024-02-02 07:00:00,10.8,11.03,10.66,10.84,1561300
2024-02-05 07:00:00,10.94,11.36,10.84,11.03,3448300
2024-02-06 07:00:00,11.03,11.22,11.03,11.17,1091800
2024-02-07 07:00:00,11.31,11.54,11.26,11.45,2387700
2024-02-15 07:00:00,11.73,11.73,11.17,11.22,1765400
2024-02-16 07:00:00,11.22,11.5,11.12,11.36,1309400
2024-02-19 07:00:00,11.36,11.59,11.22,11.22,1788200
2024-02-20 07:00:00,11.31,11.31,11.08,11.26,1770500
2024-02-21 07:00:00,11.26,11.45,11.12,11.22,1028200
2024-02-22 07:00:00,11.17,11.45,11.12,11.31,2035600
2024-02-23 07:00:00,11.31,11.5,10.98,11.03,2407700
2024-02-26 07:00:00,11.03,11.45,10.94,11.36,2518100
