time,open,high,low,close,volume
2023-11-30 07:00:00,17.44,17.66,17.35,17.35,6750000
2023-12-01 07:00:00,17.44,17.58,17.3,17.53,4871900
2023-12-04 07:00:00,17.53,17.8,17.48,17.71,10850300
2023-12-05 07:00:00,17.71,17.76,17.39,17.39,11505600
2023-12-06 07:00:00,17.48,17.66,17.39,17.62,9473600
2023-12-07 07:00:00,17.62,17.85,17.39,17.85,17158000
2023-12-08 07:00:00,17.85,17.89,17.53,17.8,8339400
2023-12-11 07:00:00,17.71,17.8,17.44,17.62,7675600
2023-12-12 07:00:00,17.62,17.66,17.44,17.66,6823800
2023-12-13 07:00:00,17.58,17.62,17.35,17.44,9962400
2023-12-14 07:00:00,17.44,17.53,17.21,17.26,9433900
2023-12-15 07:00:00,17.26,17.35,16.94,16.98,12092300
2023-12-18 07:00:00,16.94,16.98,16.39,16.71,22104100
2023-12-19 07:00:00,16.44,16.62,16.35,16.62,11907200
2023-12-20 07:00:00,16.62,16.67,16.39,16.58,7715000
2023-12-21 07:00:00,16.53,16.58,16.35,16.53,9592700
2023-12-22 07:00:00,16.53,16.67,16.39,16.48,10359500
2023-12-25 07:00:00,16.58,16.8,16.58,16.8,8637100
2023-12-26 07:00:00,16.8,16.85,16.58,16.8,8402900
2023-12-27 07:00:00,16.8,16.89,16.67,16.8,7673900
2023-12-28 07:00:00,16.8,17.08,16.76,17.08,10315400
2023-12-29 07:00:00,17.08,17.44,16.98,17.44,17010800
2024-01-02 07:00:00,17.44,17.44,17.12,17.12,8798600
2024-01-03 07:00:00,17.12,17.35,16.94,17.35,8220900
2024-01-04 07:00:00,17.39,17.85,17.21,17.58,25321300
2024-01-05 07:00:00,17.58,17.66,17.35,17.44,9906800
2024-01-08 07:00:00,17.53,17.62,17.39,17.48,9012800
2024-01-09 07:00:00,17.48,17.58,17.35,17.39,6451500
2024-01-10 07:00:00,17.35,17.94,17.35,17.8,31567400
2024-01-11 07:00:00,17.98,18.03,17.76,17.85,17937600
2024-01-12 07:00:00,17.66,17.94,17.53,17.85,25020500
2024-01-15 07:00:00,17.98,17.98,17.58,17.58,11340300
2024-01-16 07:00:00,17.53,17.66,17.44,17.66,9593500
2024-01-17 07:00:00,17.66,17.76,17.48,17.53,11934200
2024-01-18 07:00:00,17.62,17.76,17.53,17.71,8447900
2024-01-19 07:00:00,17.76,17.94,17.76,17.89,16580100
2024-01-22 07:00:00,18.03,18.12,17.89,17.98,16135000
2024-01-23 07:00:00,18.03,18.07,17.85,17.89,10961900
2024-01-24 07:00:00,17.89,17.98,17.76,17.85,7406900
2024-01-25 07:00:00,17.85,17.89,17.76,17.85,5002000
2024-01-26 07:00:00,17.89,17.94,17.85,17.94,7546300
2024-01-29 07:00:00,17.94,17.94,17.76,17.94,4834600
2024-01-30 07:00:00,17.85,18.03,17.85,17.89,6805100
2024-01-31 07:00:00,17.85,17.89,17.39,17.62,20001700
2024-02-01 07:00:00,17.58,17.58,17.35,17.39,6507100
2024-02-02 07:00:00,17.39,17.44,17.08,17.08,16720300
2024-02-05 07:00:00,17.12,17.66,17.12,17.44,10730400
2024-02-06 07:00:00,17.53,17.62,17.44,17.53,5805600
2024-02-07 07:00:00,17.58,17.8,17.53,17.8,10722600
2024-02-15 07:00:00,17.8,18.3,17.8,17.98,19362100
2024-02-16 07:00:00,18.12,18.12,17.89,18.03,7324700
2024-02-19 07:00:00,18.03,18.12,17.85,17.98,11047900
2024-02-20 07:00:00,17.89,17.94,17.71,17.8,16244900
2024-02-21 07:00:00,17.8,18.16,17.8,17.94,17579300
2024-02-22 07:00:00,17.98,18.07,17.8,17.89,10541600
2024-02-23 07:00:00,17.89,18.39,17.71,17.71,42130600
2024-02-26 07:00:00,17.76,17.76,17.44,17.48,12770300
2024-02-27 07:00:00,17.58,17.71,17.44,17.58,17762400
2024-02-28 07:00:00,17.62,18.07,17.62,18.07,20960400
2024-02-29 07:00:00,18.26,18.35,17.85,18.07,17115500
2024-03-01 07:00:00,18.07,18.07,17.85,17.85,9758900
2024-03-04 07:00:00,17.98,17.98,17.8,17.8,12989200
2024-03-05 07:00:00,17.8,17.94,17.76,17.94,8094000
2024-03-06 07:00:00,17.98,18.03,17.53,17.62,11549500
2024-03-07 07:00:00,17.62,17.8,17.62,17.66,8016100
2024-03-08 07:00:00,17.66,17.71,17.21,17.26,29743400
2024-03-11 07:00:00,17.21,17.35,16.85,16.85,16575400
2024-03-12 07:00:00,16.85,17.03,16.8,16.85,10959400
2024-03-13 07:00:00,16.94,17.35,16.89,17.3,10986000
2024-03-14 07:00:00,17.35,17.35,16.94,17.08,9582800
2024-03-15 07:00:00,17.03,17.08,16.85,16.94,13581400
2024-03-18 07:00:00,16.94,16.98,16.3,16.53,23317100
2024-03-19 07:00:00,16.53,16.8,16.44,16.48,12349900
2024-03-20 07:00:00,16.53,16.94,16.53,16.94,11504800
2024-03-21 07:00:00,17.03,17.21,16.85,17.03,16882000
2024-03-22 07:00:00,17.17,17.26,16.94,17.08,14969100
2024-03-25 07:00:00,17.08,17.39,16.94,17.17,19751100
2024-03-26 07:00:00,17.17,17.8,17.17,17.8,37172800
2024-03-27 07:00:00,17.85,17.94,17.58,17.8,16220800
2024-03-28 07:00:00,17.85,17.98,17.71,17.85,14691300
2024-03-29 07:00:00,17.89,17.98,17.66,17.94,20541100
2024-04-01 07:00:00,17.8,17.94,17.66,17.85,11686300
2024-04-02 07:00:00,17.76,17.8,17.17,17.76,25838800
2024-04-03 07:00:00,17.58,17.71,17.48,17.58,16269600
2024-04-04 07:00:00,17.62,17.8,17.44,17.53,12592700
2024-04-05 07:00:00,17.35,17.66,17.26,17.66,11106300
2024-04-08 07:00:00,17.66,17.66,17.35,17.62,8428800
2024-04-09 07:00:00,17.58,17.62,17.39,17.58,9349100
2024-04-10 07:00:00,17.62,18.12,17.53,17.58,29210400
2024-04-11 07:00:00,17.58,17.8,17.53,17.58,9554900
2024-04-12 07:00:00,17.62,17.89,17.62,17.89,17723300
2024-04-15 07:00:00,17.8,17.98,16.71,16.89,28346300
2024-04-16 07:00:00,16.98,17.26,16.8,17.03,23551000
2024-04-17 07:00:00,17.21,17.3,16.48,16.48,13194900
2024-04-19 07:00:00,16.48,16.8,16.3,16.44,15355900
2024-04-22 07:00:00,16.71,16.89,16.58,16.62,8682900
2024-04-23 07:00:00,16.67,16.89,16.35,16.71,15635300
2024-04-24 07:00:00,16.8,17.03,16.71,16.89,13072600
2024-04-25 07:00:00,17.03,17.03,16.67,16.89,10618000
2024-04-26 07:00:00,16.71,16.89,16.62,16.85,8253200
2024-05-02 07:00:00,16.85,16.89,16.62,16.62,6332900
2024-05-03 07:00:00,16.71,16.8,16.67,16.71,10568400
2024-05-06 07:00:00,16.8,17.03,16.71,17.03,11299500
2024-05-07 07:00:00,17.03,17.12,16.85,17.08,7408000
2024-05-08 07:00:00,16.94,17.08,16.8,16.85,10945500
2024-05-09 07:00:00,16.94,17.12,16.8,17.03,9750600
2024-05-10 07:00:00,16.98,17.03,16.71,16.8,10354900
2024-05-13 07:00:00,16.85,17.17,16.76,17.08,16732700
2024-05-14 07:00:00,17.26,17.53,17.17,17.35,20931300
2024-05-15 07:00:00,17.48,17.48,17.3,17.3,10503000
2024-05-16 07:00:00,17.44,17.66,17.35,17.62,20748200
2024-05-17 07:00:00,17.62,17.66,17.48,17.62,12369500
2024-05-20 07:00:00,17.76,18.03,17.71,17.98,25252400
2024-05-21 07:00:00,17.98,18.03,17.8,17.98,24050900
2024-05-22 07:00:00,17.98,17.98,17.46,17.5,22572900
2024-05-23 07:00:00,17.5,17.7,17.36,17.7,9367000
2024-05-24 07:00:00,17.6,17.7,17.22,17.22,19560300
2024-05-27 07:00:00,17.36,17.36,17.17,17.22,7401000
2024-05-28 07:00:00,17.31,17.41,17.22,17.27,8406700
2024-05-29 07:00:00,17.31,17.31,17.17,17.27,8290900
2024-05-30 07:00:00,17.22,17.22,16.93,17.17,10458100
2024-05-31 07:00:00,17.17,17.27,17.12,17.22,5706900
2024-06-03 07:00:00,17.31,17.65,17.27,17.5,14012200
2024-06-04 07:00:00,17.6,17.6,17.36,17.41,9138000
2024-06-05 07:00:00,17.41,17.5,17.31,17.31,11802100
2024-06-06 07:00:00,17.36,17.46,17.17,17.31,16613400
2024-06-07 07:00:00,17.46,17.46,17.17,17.22,9957000
2024-06-10 07:00:00,17.27,17.41,17.22,17.27,10496400
2024-06-11 07:00:00,17.41,17.55,17.27,17.5,31079900
2024-06-12 07:00:00,17.5,18.56,17.36,18.56,69932300
2024-06-13 07:00:00,18.65,18.94,18.41,18.6,44255400
2024-06-14 07:00:00,18.6,18.65,17.89,17.89,35956600
2024-06-17 07:00:00,17.89,18.22,17.65,17.93,26718200
2024-06-18 07:00:00,17.98,18.27,17.79,17.79,35291600
2024-06-19 07:00:00,17.84,18.37,17.6,18.18,51393800
2024-06-20 07:00:00,18.32,18.94,18.18,18.84,66042200
2024-06-21 07:00:00,18.84,18.99,18.51,18.75,48973500
2024-06-24 07:00:00,18.6,18.75,18.03,18.03,45272700
2024-06-25 07:00:00,18.03,18.37,18.03,18.18,19532800
2024-06-26 07:00:00,18.18,18.27,17.74,18.18,27222600
2024-06-27 07:00:00,18.18,18.22,17.89,18.18,25081800
2024-06-28 07:00:00,18.13,18.46,17.79,17.84,41520600
2024-07-01 07:00:00,17.84,18.22,17.7,18.18,16520100
2024-07-02 07:00:00,18.18,18.37,17.98,18.13,16424000
2024-07-03 07:00:00,18.18,18.37,17.93,18.18,20129200
2024-07-04 07:00:00,18.32,18.6,18.22,18.22,26247200
2024-07-05 07:00:00,18.22,18.46,18.18,18.32,18430400
2024-07-08 07:00:00,18.37,18.46,18.18,18.22,16156200
2024-07-09 07:00:00,18.37,18.6,18.18,18.56,32010600
2024-07-10 07:00:00,18.65,18.7,18.37,18.37,15163800
2024-07-11 07:00:00,18.37,18.7,18.22,18.22,25226500
2024-07-12 07:00:00,18.27,18.37,18.13,18.18,16053100
2024-07-15 07:00:00,18.22,18.27,17.89,17.98,16131600
2024-07-16 07:00:00,18.08,18.27,17.98,18.18,17481000
2024-07-17 07:00:00,18.18,18.56,17.98,18.18,34909100
2024-07-18 07:00:00,18.18,18.27,17.84,18.22,15897100
2024-07-19 07:00:00,18.18,18.37,17.98,17.98,16979400
2024-07-22 07:00:00,17.98,18.22,17.84,17.98,15847000
2024-07-23 07:00:00,18.03,18.08,17.41,17.6,17890000
2024-07-24 07:00:00,17.55,17.79,17.41,17.7,13366800
2024-07-25 07:00:00,17.6,17.7,17.5,17.55,10459200
2024-07-26 07:00:00,17.6,17.7,17.5,17.6,7748600
2024-07-29 07:00:00,17.7,17.79,17.6,17.6,6226600
2024-07-30 07:00:00,17.6,17.89,17.5,17.74,12800200
2024-07-31 07:00:00,17.79,18.32,17.79,18.18,35033400
2024-08-01 07:00:00,18.32,18.32,17.65,17.74,15647200
2024-08-02 07:00:00,17.7,17.93,17.55,17.93,14027800
2024-08-05 07:00:00,17.6,17.79,17.17,17.36,28580900
2024-08-06 07:00:00,17.55,17.7,17.31,17.55,13180000
2024-08-07 07:00:00,17.6,17.6,17.22,17.22,13538000
2024-08-08 07:00:00,17.12,17.22,16.74,17.08,21942400
2024-08-09 07:00:00,17.08,17.31,17.03,17.22,10704400
2024-08-12 07:00:00,17.22,17.36,17.03,17.36,12636700
2024-08-13 07:00:00,17.31,17.41,17.17,17.36,10643300
2024-08-14 07:00:00,17.36,17.41,17.22,17.22,8233100
2024-08-15 07:00:00,17.22,17.31,17.17,17.22,7537900
2024-08-16 07:00:00,17.27,17.65,17.22,17.6,23592000
2024-08-19 07:00:00,17.6,17.79,17.6,17.65,12496800
2024-08-20 07:00:00,17.65,17.84,17.6,17.79,18245300
2024-08-21 07:00:00,17.7,18.03,17.65,17.93,33804500
2024-08-22 07:00:00,17.93,18.03,17.79,17.93,13069100
2024-08-23 07:00:00,17.98,18.18,17.89,17.93,23789000
2024-08-26 07:00:00,17.98,18.46,17.98,18.18,39610000
2024-08-27 07:00:00,18.27,18.32,18.13,18.18,15396700
2024-08-28 07:00:00,18.18,18.27,18.08,18.13,13771100
2024-08-29 07:00:00,18.13,18.51,18.08,18.13,23609900
2024-08-30 07:00:00,18.27,18.27,18.13,18.13,11969500
2024-09-04 07:00:00,17.98,17.98,17.7,17.7,23328500
2024-09-05 07:00:00,17.74,17.74,17.5,17.5,15906000
2024-09-06 07:00:00,17.5,17.65,17.41,17.65,15016900
2024-09-09 07:00:00,17.6,17.65,17.46,17.55,15693400
2024-09-10 07:00:00,17.6,17.65,17.31,17.36,20585600
2024-09-11 07:00:00,17.31,17.5,17.27,17.46,11712500
2024-09-12 07:00:00,17.46,17.79,17.46,17.7,22640600
2024-09-13 07:00:00,17.7,17.74,17.5,17.65,9336300
2024-09-16 07:00:00,17.6,17.74,17.46,17.55,8949100
2024-09-17 07:00:00,17.55,17.84,17.5,17.84,10212200
2024-09-18 07:00:00,17.84,17.98,17.7,17.84,22132500
2024-09-19 07:00:00,17.84,17.98,17.84,17.93,17466800
2024-09-20 07:00:00,17.98,18.27,17.98,18.13,52246200
2024-09-23 07:00:00,18.18,18.37,18.08,18.18,29074100
2024-09-24 07:00:00,18.18,18.37,18.13,18.37,37613000
2024-09-25 07:00:00,18.46,18.7,18.37,18.6,45912400
2024-09-26 07:00:00,18.65,18.99,18.51,18.75,55121600
2024-09-27 07:00:00,18.84,19.27,18.75,18.89,62864300
