time,open,high,low,close,volume
2023-11-20 07:00:00,15.11,15.77,15.01,15.63,945100
2023-11-21 07:00:00,15.77,16.11,15.72,15.96,884000
2023-11-22 07:00:00,16.01,16.11,15.77,16.11,1089000
2023-11-23 07:00:00,16.3,16.34,15.53,15.53,1112900
2023-11-24 07:00:00,15.58,15.72,14.91,15.72,1463100
2023-11-27 07:00:00,15.72,15.72,15.15,15.25,800100
2023-11-28 07:00:00,15.34,15.44,14.91,15.34,607200
2023-11-29 07:00:00,15.49,15.58,15.11,15.58,823700
2023-11-30 07:00:00,15.63,15.77,15.44,15.44,848300
2023-12-01 07:00:00,15.49,15.72,15.39,15.72,1163100
2023-12-04 07:00:00,15.87,16.68,15.82,16.58,2025700
2023-12-05 07:00:00,16.68,16.68,16.34,16.34,802800
2023-12-06 07:00:00,16.49,16.68,16.25,16.63,1016400
2023-12-07 07:00:00,16.77,16.77,15.63,16.25,2617600
2023-12-08 07:00:00,16.06,16.87,15.63,16.49,2409500
2023-12-11 07:00:00,16.82,16.82,16.2,16.39,738900
2023-12-12 07:00:00,16.53,16.53,16.2,16.25,697700
2023-12-13 07:00:00,16.34,16.39,15.82,15.92,1046100
2023-12-14 07:00:00,16.01,16.06,15.53,15.53,1147700
2023-12-15 07:00:00,15.58,15.77,15.39,15.72,811500
2023-12-18 07:00:00,15.77,15.77,15.44,15.58,663300
2023-12-19 07:00:00,15.49,15.68,15.25,15.63,1043500
2023-12-20 07:00:00,15.63,15.68,15.49,15.68,463100
2023-12-21 07:00:00,15.63,15.92,15.44,15.77,700600
2023-12-22 07:00:00,15.82,15.87,15.53,15.68,557500
2023-12-25 07:00:00,15.72,16.01,15.68,15.96,860100
2023-12-26 07:00:00,16.01,16.06,15.72,15.96,672400
2023-12-27 07:00:00,16.11,16.39,16.01,16.2,1514400
2023-12-28 07:00:00,16.39,16.39,16.01,16.11,794100
2023-12-29 07:00:00,16.2,16.2,16.06,16.11,607200
2024-01-02 07:00:00,16.25,16.53,15.77,16.34,1438100
2024-01-03 07:00:00,16.39,17.49,16.39,17.49,2343900
2024-01-04 07:00:00,17.82,17.87,17.11,17.11,2804900
2024-01-05 07:00:00,17.25,17.39,17.06,17.39,1281400
2024-01-08 07:00:00,17.63,17.63,17.25,17.25,1352400
2024-01-09 07:00:00,17.15,17.92,17.06,17.63,2329100
2024-01-10 07:00:00,17.77,17.77,17.11,17.2,1047800
2024-01-11 07:00:00,17.2,17.54,17.01,17.3,1065800
2024-01-12 07:00:00,17.15,17.15,16.34,16.63,2060600
2024-01-15 07:00:00,16.87,16.87,16.34,16.49,754600
2024-01-16 07:00:00,16.49,16.77,16.15,16.77,1270100
2024-01-17 07:00:00,16.82,16.92,16.68,16.82,715900
2024-01-18 07:00:00,16.87,16.92,16.63,16.82,696500
2024-01-19 07:00:00,16.87,17.25,16.73,17.25,1426200
2024-01-22 07:00:00,17.44,17.49,17.11,17.44,1087500
2024-01-23 07:00:00,17.44,17.49,16.96,17.15,1168400
2024-01-24 07:00:00,17.15,17.25,16.96,17.06,929100
2024-01-25 07:00:00,17.06,17.06,16.82,16.96,501600
2024-01-26 07:00:00,16.96,17.01,16.77,16.87,895700
2024-01-29 07:00:00,17.11,17.11,16.73,16.96,570700
2024-01-30 07:00:00,16.92,18.11,16.92,18.11,4437600
2024-01-31 07:00:00,17.77,17.82,17.06,17.06,3075000
2024-02-01 07:00:00,17.15,17.15,16.73,16.73,1929700
2024-02-02 07:00:00,16.68,17.06,16.63,16.87,1367500
2024-02-05 07:00:00,16.96,16.96,16.49,16.58,1400100
2024-02-06 07:00:00,16.68,16.87,16.49,16.77,979300
2024-02-07 07:00:00,16.82,16.92,16.68,16.82,922900
2024-02-15 07:00:00,16.87,17.11,16.82,16.92,610900
2024-02-16 07:00:00,16.92,17.11,16.82,17.11,1136900
2024-02-19 07:00:00,17.15,17.2,16.77,16.87,1006700
2024-02-20 07:00:00,16.87,16.96,16.73,16.73,1207300
2024-02-21 07:00:00,16.73,16.87,16.63,16.77,769200
2024-02-22 07:00:00,16.87,16.96,16.77,16.77,874500
2024-02-23 07:00:00,16.92,16.92,16.2,16.3,1652500
2024-02-26 07:00:00,16.25,16.25,15.82,16.06,1301100
2024-02-27 07:00:00,16.15,16.49,16.06,16.3,1043200
2024-02-28 07:00:00,16.34,16.34,16.01,16.01,873900
2024-02-29 07:00:00,16.2,16.3,15.96,16.11,1034100
2024-03-01 07:00:00,16.25,16.25,15.96,16.15,731100
2024-03-04 07:00:00,16.2,16.63,16.15,16.49,1518800
2024-03-05 07:00:00,16.49,16.49,16.25,16.3,668100
2024-03-06 07:00:00,16.3,16.3,15.96,15.96,911800
2024-03-07 07:00:00,16.01,16.01,15.82,15.96,993800
2024-03-08 07:00:00,16.2,16.2,15.58,15.58,1340800
2024-03-11 07:00:00,15.63,15.68,15.39,15.39,657000
2024-03-12 07:00:00,15.34,15.49,15.01,15.2,1243300
2024-03-13 07:00:00,15.25,15.68,15.11,15.53,1209500
2024-03-14 07:00:00,15.58,16.06,15.58,15.77,1031100
2024-03-15 07:00:00,15.77,15.92,15.63,15.68,839400
2024-03-18 07:00:00,15.77,15.77,14.63,15.25,1584100
2024-03-19 07:00:00,15.39,15.72,15.15,15.39,647600
2024-03-20 07:00:00,15.39,15.49,15.3,15.44,456100
2024-03-21 07:00:00,15.49,15.96,15.44,15.77,1190200
2024-03-22 07:00:00,15.92,16.3,15.92,15.92,1666700
2024-03-25 07:00:00,15.92,16.11,15.63,15.63,639900
2024-03-26 07:00:00,15.53,15.92,15.53,15.92,964100
2024-03-27 07:00:00,16.06,16.2,15.92,16.11,1216500
2024-03-28 07:00:00,16.2,16.3,15.92,16.01,815300
2024-03-29 07:00:00,16.11,16.15,15.82,15.87,774600
2024-04-01 07:00:00,15.92,15.92,15.68,15.77,684000
2024-04-02 07:00:00,15.72,16.11,15.53,16.06,1272200
2024-04-03 07:00:00,16.01,16.2,15.82,15.92,966500
2024-04-04 07:00:00,15.92,15.92,15.63,15.63,812700
2024-04-05 07:00:00,15.44,15.49,15.15,15.15,1384000
2024-04-08 07:00:00,15.25,15.3,14.87,15.11,763900
2024-04-09 07:00:00,15.2,15.3,15.11,15.3,410000
2024-04-10 07:00:00,15.34,15.34,15.11,15.11,411200
2024-04-11 07:00:00,15.06,15.25,14.91,15.25,557700
2024-04-12 07:00:00,15.15,15.44,15.06,15.11,670800
2024-04-15 07:00:00,15.15,15.2,14.06,14.06,1088600
2024-04-16 07:00:00,14.06,14.25,13.29,14.01,1282300
2024-04-17 07:00:00,14.1,14.1,13.53,13.63,584800
2024-04-19 07:00:00,13.34,13.72,12.96,13.53,894900
2024-04-22 07:00:00,13.53,13.77,13.34,13.53,526900
2024-04-23 07:00:00,13.58,13.58,13.25,13.53,485000
2024-04-24 07:00:00,13.63,14.1,13.49,13.87,650900
2024-04-25 07:00:00,13.82,13.82,13.58,13.58,394800
2024-04-26 07:00:00,13.58,13.68,13.49,13.53,448400
2024-05-02 07:00:00,13.58,13.72,13.39,13.58,256800
2024-05-03 07:00:00,13.63,13.68,13.49,13.49,257300
2024-05-06 07:00:00,13.53,13.82,13.44,13.82,896700
2024-05-07 07:00:00,13.82,14.01,13.63,13.87,501800
2024-05-08 07:00:00,13.87,14.25,13.72,14.25,899800
2024-05-09 07:00:00,14.3,14.3,14.01,14.2,408600
2024-05-10 07:00:00,14.25,14.25,13.96,14.25,650800
2024-05-13 07:00:00,14.44,14.44,14.01,14.25,431200
2024-05-14 07:00:00,14.3,14.34,14.06,14.1,387900
2024-05-15 07:00:00,14.15,14.34,13.96,14.25,759100
2024-05-16 07:00:00,14.3,14.96,14.15,14.91,1499200
2024-05-17 07:00:00,14.96,15.06,14.77,14.77,777900
2024-05-20 07:00:00,15.06,15.06,14.63,14.96,1544500
2024-05-21 07:00:00,15.01,15.58,14.72,15.2,1664600
2024-05-22 07:00:00,15.2,15.3,14.82,14.82,901600
2024-05-23 07:00:00,14.77,15.15,14.49,14.82,1041400
2024-05-24 07:00:00,14.77,14.91,14.15,14.87,1888400
2024-05-27 07:00:00,14.58,14.87,14.53,14.68,574500
2024-05-28 07:00:00,14.77,15.01,14.53,14.87,1958700
2024-05-29 07:00:00,14.87,15.11,14.82,14.96,1346600
2024-05-30 07:00:00,14.77,15.68,14.68,15.44,1726900
2024-05-31 07:00:00,15.44,15.49,15.15,15.34,936300
2024-06-03 07:00:00,15.2,16.01,15.2,15.72,1827700
2024-06-04 07:00:00,15.92,15.92,15.49,15.72,1273300
2024-06-05 07:00:00,15.96,15.96,15.58,15.77,1792900
2024-06-06 07:00:00,15.96,15.96,15.39,15.53,1081200
2024-06-07 07:00:00,15.39,15.77,15.39,15.53,811000
2024-06-10 07:00:00,15.72,15.72,15.34,15.49,756900
2024-06-11 07:00:00,15.63,15.63,15.11,15.25,1126800
2024-06-12 07:00:00,15.25,15.25,14.96,15.15,684200
2024-06-13 07:00:00,15.25,15.44,15.11,15.34,676900
2024-06-14 07:00:00,15.44,15.53,14.68,14.68,1089400
2024-06-17 07:00:00,14.68,15.2,14.44,15.11,1712900
2024-06-18 07:00:00,15.2,15.25,14.91,14.91,590300
2024-06-19 07:00:00,14.91,15.01,14.68,14.77,498400
2024-06-20 07:00:00,14.96,15.01,14.39,14.77,849000
2024-06-21 07:00:00,14.77,14.96,14.49,14.96,928500
2024-06-24 07:00:00,14.96,14.96,14.1,14.1,1116800
2024-06-25 07:00:00,14.1,14.34,13.96,14.2,532900
2024-06-26 07:00:00,14.1,14.34,14.01,14.25,315700
2024-06-27 07:00:00,14.25,14.34,14.01,14.2,441100
2024-06-28 07:00:00,14.3,14.4,14.0,14.0,538100
2024-07-01 07:00:00,14.05,14.3,13.7,14.3,459300
2024-07-02 07:00:00,14.3,14.35,14.1,14.25,272200
2024-07-03 07:00:00,14.3,14.35,14.1,14.25,326600
