Mã,Giá tham chiếu,Hành động,Quyết định,Risk,Lợi TB T+2 %,Lợi TB T+5 %,Score,AI,Nhóm realtime,Màu cảnh báo,Buy zone thấp,Buy zone cao,Stoploss tham khảo
FTS,26.55,BUY NOW,MUA LƯỚT T+2,PASS,7.58,14.44,95.0,100.0,TOP MUA THẬT,GREEN,26.15,26.95,25.75
ANV,21.5,BUY NOW,MUA LƯỚT T+2,PASS,1.91,1.46,80.0,89.0,TOP MUA THẬT,GREEN,21.18,21.82,20.86
DCM,36.9,BUY NOW,KHÔNG ƯU TIÊN,PASS,0.27,1.82,100.0,100.0,TOP THEO DÕI,YELLOW,36.35,37.45,35.79
LPB,49.2,BUY NOW,KHÔNG ƯU TIÊN,PASS,3.17,0.0,100.0,100.0,TOP THEO DÕI,YELLOW,48.46,49.94,47.72
VRE,30.7,BUY NOW,KHÔNG ƯU TIÊN,PASS,3.17,0.0,85.0,100.0,TOP THEO DÕI,YELLOW,30.24,31.16,29.78
CTS,25.9,WAIT,MUA LƯỚT T+2,PASS,3.01,2.24,80.0,100.0,TOP THEO DÕI,YELLOW,25.51,26.29,25.12
HDB,25.25,BUY NOW,KHÔNG ƯU TIÊN,PASS,0.6,0.33,75.0,84.0,TOP THEO DÕI,YELLOW,24.87,25.63,24.49
PVD,32.15,WATCHLIST,KHÔNG ƯU TIÊN,PASS,0.19,-0.68,100.0,100.0,TOP THEO DÕI,YELLOW,31.67,32.63,31.19
POW,14.5,WATCHLIST,KHÔNG ƯU TIÊN,PASS,0.19,-0.68,90.0,100.0,TOP THEO DÕI,YELLOW,14.28,14.72,14.06
PVT,20.5,WATCHLIST,KHÔNG ƯU TIÊN,PASS,-0.06,-0.3,90.0,100.0,TOP THEO DÕI,YELLOW,20.19,20.81,19.88
TNG,19.5,WATCHLIST,KHÔNG ƯU TIÊN,PASS,-0.06,-0.3,90.0,100.0,TOP THEO DÕI,YELLOW,19.21,19.79,18.92
BVB,13.8,WATCHLIST,KHÔNG ƯU TIÊN,PASS,-1.64,-0.86,75.0,100.0,TOP THEO DÕI,YELLOW,13.59,14.01,13.39
NTP,51.1,WATCHLIST,KHÔNG ƯU TIÊN,PASS,-0.43,2.46,70.0,100.0,TOP THEO DÕI,YELLOW,50.33,51.87,49.57
VHM,155.4,WATCHLIST,KHÔNG ƯU TIÊN,PASS,0.78,3.09,65.0,88.0,TOP THEO DÕI,YELLOW,153.07,157.73,150.74
PNJ,66.0,WATCHLIST,KHÔNG ƯU TIÊN,PASS,0.88,1.77,60.0,76.0,TOP THEO DÕI,YELLOW,65.01,66.99,64.02
TPB,16.25,WATCHLIST,KHÔNG ƯU TIÊN,PASS,0.57,1.41,65.0,73.0,TOP THEO DÕI,YELLOW,16.01,16.49,15.76
HBC,5.0,WATCHLIST,KHÔNG ƯU TIÊN,PASS,0.02,0.55,60.0,69.0,TOP THEO DÕI,YELLOW,4.92,5.07,4.85
