Mã,Regime,Số mẫu T+2,Winrate T+2 %,Lợi nhuận TB T+2 %,Winrate T+5 %,Lợi nhuận TB T+5 %
MSB,UPTREND,190,43.16,0.17,49.47,0.82
MSB,SIDEWAY,341,50.88,0.18,48.83,0.16
MSB,DOWNTREND,78,56.96,0.67,72.15,1.79
STB,UPTREND,190,46.32,0.38,59.47,1.22
STB,SIDEWAY,341,54.68,0.37,57.31,0.63
STB,DOWNTREND,78,54.43,0.18,58.23,1.0
PET,UPTREND,190,47.37,0.53,49.47,1.17
PET,SIDEWAY,341,49.12,-0.05,50.0,-0.14
PET,DOWNTREND,78,58.23,1.41,70.89,3.94
BMP,UPTREND,190,50.0,0.32,48.42,1.0
BMP,SIDEWAY,341,47.08,-0.03,45.03,-0.18
BMP,DOWNTREND,78,56.96,1.06,64.56,2.84
KDC,UPTREND,190,33.16,-0.11,34.21,-0.24
KDC,SIDEWAY,341,37.43,-0.0,38.01,-0.06
KDC,DOWNTREND,78,44.3,-0.04,49.37,0.04
LPB,UPTREND,190,46.32,0.26,48.42,0.99
LPB,SIDEWAY,341,58.19,0.69,59.06,1.42
LPB,DOWNTREND,78,58.23,0.19,53.16,0.9
FTS,UPTREND,190,46.84,0.18,50.0,0.59
FTS,SIDEWAY,341,46.78,-0.15,49.42,-0.52
FTS,DOWNTREND,78,55.7,0.94,67.09,2.31
SSB,UPTREND,190,35.79,-0.24,33.16,-0.6
SSB,SIDEWAY,341,44.44,0.1,48.25,0.26
SSB,DOWNTREND,78,44.3,-0.03,36.71,-0.22
AAA,UPTREND,190,45.79,-0.14,42.63,-0.05
AAA,SIDEWAY,341,46.2,-0.01,47.95,-0.43
AAA,DOWNTREND,78,53.16,0.11,59.49,1.25
APG,UPTREND,190,33.68,-0.15,36.32,-0.53
APG,SIDEWAY,341,34.21,-0.59,31.87,-1.3
APG,DOWNTREND,78,44.3,1.48,53.16,3.77
