Ma,So phien tang dai nhat,Muc tang tung phien trong chuoi (%),Tong % tang cua chuoi,Trung binh % tang moi phien
FRT,8,"[0.29, 1.16, 0.57, 2.11, 0.23, 0.77, 2.76, 1.29]",9.18,1.15
DRC,6,"[1.05, 0.35, 0.28, 1.37, 0.61, 1.01]",4.67,0.78
FCN,7,"[1.03, 1.29, 1.01, 0.66, 0.33, 4.14, 0.95]",9.41,1.34
HDB,9,"[0.43, 0.37, 0.21, 0.43, 3.86, 4.13, 4.16, 2.35, 0.73]",16.67,1.85
VIX,10,"[0.37, 0.37, 6.67, 3.65, 2.85, 2.04, 2.0, 2.66, 0.3, 1.67]",22.58,2.26
ASM,6,"[1.74, 1.57, 0.56, 0.28, 2.09, 1.77]",8.01,1.34
SRC,7,"[7.01, 6.96, 6.54, 2.77, 1.91, 0.2, 1.31]",26.7,3.81
BVB,6,"[2.49, 2.51, 8.0, 0.68, 0.75, 2.24]",16.67,2.78
KDH,6,"[0.72, 6.41, 6.02, 0.95, 6.88, 5.85]",26.83,4.47
HPG,8,"[1.09, 0.88, 0.63, 1.49, 4.7, 0.18, 1.63, 3.39]",13.99,1.75
NT2,6,"[0.44, 1.32, 1.09, 3.45, 0.83, 0.21]",7.34,1.22
BAF,7,"[0.71, 0.74, 0.45, 0.28, 0.14, 0.14, 0.72]",3.18,0.45
NLG,7,"[1.22, 0.96, 1.09, 0.24, 2.46, 6.89, 0.96]",13.82,1.97
KBC,7,"[0.33, 0.5, 0.33, 0.83, 0.98, 0.65, 1.29]",4.91,0.7
SKG,7,"[1.22, 0.46, 2.85, 1.61, 1.23, 0.78, 2.67]",10.82,1.55
PHP,7,"[0.73, 1.93, 5.67, 2.67, 1.74, 3.62, 1.65]",18.01,2.57
SAB,5,"[4.04, 0.18, 0.54, 1.22, 2.09]",8.07,1.61
DIG,6,"[6.81, 1.53, 0.24, 0.61, 6.89, 2.02]",18.1,3.02
VOS,10,"[0.92, 4.24, 0.48, 6.74, 6.68, 1.61, 6.99, 1.4, 6.83, 1.01]",36.9,3.69
IDC,7,"[2.82, 1.49, 1.79, 4.99, 0.33, 3.89, 0.82]",16.13,2.3
SHB,6,"[0.24, 7.02, 5.11, 3.17, 0.41, 0.82]",16.77,2.8
GMD,8,"[0.42, 4.49, 0.66, 0.67, 5.7, 0.25, 1.75, 3.69]",17.63,2.2
CTG,7,"[0.19, 2.0, 0.5, 1.68, 2.99, 1.17, 1.03]",9.56,1.37
VIB,8,"[0.62, 0.25, 1.48, 0.3, 2.3, 3.08, 0.29, 2.41]",10.73,1.34
CSV,8,"[0.56, 2.23, 2.0, 1.25, 0.53, 0.87, 6.93, 5.02]",19.39,2.42
DBC,6,"[0.99, 2.55, 0.39, 1.17, 0.34, 2.48]",7.92,1.32
CEO,9,"[4.67, 9.75, 1.43, 5.42, 5.7, 8.53, 2.76, 1.08, 1.12]",40.46,4.5
HNG,5,"[0.68, 1.35, 6.87, 6.85, 2.91]",18.66,3.73
BFC,10,"[0.48, 0.23, 1.88, 1.6, 3.04, 0.33, 0.89, 1.18, 4.6, 2.45]",16.68,1.67
VCI,7,"[0.56, 0.91, 2.31, 0.96, 1.67, 1.23, 0.15]",7.79,1.11
SSB,8,"[0.25, 0.44, 1.39, 1.8, 1.34, 0.9, 1.49, 2.18]",9.79,1.22
PDR,7,"[6.81, 1.9, 6.77, 2.69, 1.9, 0.96, 1.35]",22.38,3.2
ITA,4,"[0.17, 1.01, 0.83, 0.33]",2.34,0.58
AAA,6,"[1.04, 0.29, 3.65, 0.28, 1.27, 0.14]",6.67,1.11
REE,6,"[0.74, 0.15, 0.29, 0.71, 0.15, 0.44]",2.48,0.41
DXG,7,"[0.32, 6.85, 3.55, 6.86, 0.62, 0.62, 0.62]",19.44,2.78
BID,7,"[0.68, 1.79, 0.8, 1.88, 0.13, 0.11, 0.93]",6.32,0.9
