time,metric,value,status,note
2026-05-11 05:39:07,universe_count,136,OK,
2026-05-11 05:39:07,cache_symbol_count,138,OK,
2026-05-11 05:39:07,all_result_symbol_count,136,OK,
2026-05-11 05:39:07,ai_risk_rows,10,OK,
2026-05-11 05:39:07,intraday_watchlist_rows,8,OK,
2026-05-11 05:39:07,cache_latest_date,2026-05-11,OK,
2026-05-11 05:39:07,all_result_latest_date,2026-05-11,OK,
2026-05-11 05:39:07,ai_risk_latest_date,2026-05-11,OK,
2026-05-11 05:39:07,watchlist_latest_date,,OK,
2026-05-11 05:39:07,missing_in_cache_count,0,OK,
2026-05-11 05:39:07,missing_in_all_result_count,0,OK,
2026-05-11 05:39:07,stale_cache_count,2,WARN,"ITA,SRC"
2026-05-11 05:39:07,file_all_signal_results.csv,exists=True rows=136 size=79661 latest=2026-05-11,OK,
2026-05-11 05:39:07,file_ai_risk_filtered.csv,exists=True rows=10 size=6206 latest=2026-05-11,OK,
2026-05-11 05:39:07,file_intraday_watchlist.csv,exists=True rows=8 size=915 latest=,OK,
2026-05-11 05:39:07,file_ai_risk_dashboard.html,exists=True rows=0 size=311809 latest=,OK,
