Ma,Muc tieu %,So mau,Trung binh ngay,Trung vi (ngay),Percentile 75,Ti le dat muc tieu trong 20 phien
FPT,3,349,6.93,5,10,59.1
FPT,5,268,8.84,8,13,45.3
VGC,3,354,5.81,5,8,59.9
VGC,5,281,8.07,7,12,47.5
SCR,3,332,5.78,5,8,56.2
SCR,5,264,8.16,7,12,44.7
FRT,3,364,6.96,5,10,61.6
FRT,5,295,8.66,8,13,49.9
IDC,3,324,7.04,6,10,54.8
IDC,5,232,8.13,6,12,39.3
MSB,3,372,7.4,6,11,62.9
MSB,5,262,9.66,9,14,44.3
MBS,3,417,6.71,5,10,70.6
MBS,5,328,8.7,8,13,55.5
MSH,3,376,6.62,5,9,63.6
MSH,5,313,8.47,7,12,53.0
PAN,3,399,6.84,5,10,67.5
PAN,5,293,8.86,7,13,49.6
AGR,3,381,6.63,5,10,64.5
AGR,5,291,8.7,8,13,49.2
GIL,3,367,5.8,5,8,62.1
GIL,5,270,7.42,6,11,45.7
NBB,3,289,7.42,6,11,48.9
NBB,5,208,8.28,7,12,35.2
OIL,3,334,6.28,5,9,56.5
OIL,5,281,8.11,7,12,47.5
PC1,3,346,6.28,5,9,58.5
PC1,5,279,7.85,7,11,47.2
DGC,3,334,6.57,5,9,56.5
DGC,5,240,7.65,6,11,40.6
CTD,3,399,6.27,5,9,67.5
CTD,5,302,7.88,7,11,51.1
REE,3,326,7.47,6,11,55.2
REE,5,223,9.9,9,14,37.7
ORS,3,377,6.18,5,8,63.8
ORS,5,320,7.96,7,11,54.1
IDI,3,309,6.15,5,9,52.3
IDI,5,239,8.67,8,13,40.4
STB,3,450,7.68,6,12,76.1
STB,5,350,9.36,9,14,59.2
DRC,3,292,7.11,6,10,49.4
DRC,5,226,8.69,8,13,38.2
VIP,3,313,7.52,6,11,53.0
VIP,5,226,9.12,8,13,38.2
CMG,3,335,6.26,4,9,56.7
CMG,5,260,8.07,7,12,44.0
DIG,3,325,5.8,4,8,55.0
DIG,5,232,7.38,6,11,39.3
VOS,3,396,6.07,5,9,67.0
VOS,5,318,7.16,6,11,53.8
TCB,3,403,6.79,6,9,68.2
TCB,5,325,9.58,9,13,55.0
MWG,3,393,7.0,6,10,66.5
MWG,5,311,8.81,8,13,52.6
DPM,3,344,6.77,5,10,58.2
DPM,5,269,8.38,8,12,45.5
BID,3,302,7.48,6,11,51.1
BID,5,193,9.16,9,13,32.7
HPG,3,315,8.15,7,12,53.3
HPG,5,219,9.5,9,14,37.1
VNM,3,260,7.62,7,11,44.0
VNM,5,168,9.68,9,14,28.4
SHB,3,305,7.41,6,11,51.6
SHB,5,208,9.03,9,13,35.2
CNG,3,281,7.35,6,11,47.5
CNG,5,174,8.2,7,12,29.4
CEO,3,359,5.64,4,8,60.7
CEO,5,275,7.05,6,10,46.5
SAB,3,280,8.51,7,13,47.4
SAB,5,166,9.71,9,14,28.1
BAF,3,374,7.86,7,11,63.3
BAF,5,287,9.68,9,14,48.6
CTS,3,401,5.98,5,9,67.9
CTS,5,320,7.81,7,11,54.1
SRC,3,358,4.81,3,6,80.4
SRC,5,306,5.58,4,8,68.8
VRE,3,360,5.78,4,8,60.9
VRE,5,286,7.13,6,11,48.4
HHS,3,406,5.71,4,8,68.7
HHS,5,334,7.35,6,11,56.5
TCL,3,157,9.63,9,14,26.6
TCL,5,102,10.7,11,15,17.3
TVS,3,289,7.09,5,10,48.9
TVS,5,229,8.65,8,12,38.7
HSG,3,304,6.74,5,10,51.4
HSG,5,233,8.8,8,12,39.4
CTR,3,372,6.63,5,9,62.9
CTR,5,292,7.94,7,12,49.4
MSN,3,344,6.92,6,10,58.2
MSN,5,254,9.06,8,13,43.0
MBB,3,375,8.32,7,12,63.5
MBB,5,259,9.97,10,14,43.8
LCG,3,313,7.24,6,11,53.0
LCG,5,206,8.81,8,13,34.9
CSV,3,367,5.91,4,8,62.1
CSV,5,298,7.4,6,11,50.4
PVD,3,363,6.64,5,10,61.4
PVD,5,308,8.59,8,13,52.1
HNG,3,418,5.5,4,8,71.7
HNG,5,331,7.1,6,10,56.8
VPG,3,274,5.95,4,9,46.4
VPG,5,216,7.48,6,11,36.5
ABB,3,355,7.92,7,11,60.1
ABB,5,274,9.49,9,14,46.4
GVR,3,402,5.79,4,8,68.0
GVR,5,335,7.27,6,10,56.7
APH,3,314,6.79,6,10,53.1
APH,5,227,8.26,8,12,38.4
C32,3,216,7.5,6,12,37.8
C32,5,179,8.21,7,13,31.3
DHC,3,331,7.32,6,10,56.0
DHC,5,255,9.96,10,14,43.1
HCM,3,401,6.75,5,10,67.9
HCM,5,315,8.86,8,13,53.3
BVB,3,379,7.14,6,11,64.2
BVB,5,267,8.49,7,13,45.3
DXG,3,378,6.02,4,8,64.0
DXG,5,298,7.86,7,11,50.4
PHP,3,386,5.92,4,9,65.3
PHP,5,317,7.92,7,12,53.6
SSI,3,356,7.12,6,10,60.2
SSI,5,256,9.11,8,13,43.3
VHM,3,389,5.95,4,9,65.8
VHM,5,335,6.72,6,9,56.7
VIX,3,394,5.75,4,8,66.7
VIX,5,333,7.46,6,11,56.3
DCM,3,347,6.23,5,9,58.7
DCM,5,259,8.02,7,11,43.8
OCB,3,344,7.24,6,10,58.2
OCB,5,257,9.42,9,14,43.5
SCS,3,307,7.26,6,11,51.9
SCS,5,207,9.76,9,14,35.0
BVS,3,379,6.5,5,10,64.1
BVS,5,304,7.84,7,12,51.4
EVF,3,359,5.66,4,8,60.7
EVF,5,279,7.11,6,10,47.2
IVS,3,272,6.19,5,9,46.0
IVS,5,219,8.2,7,12,37.1
