Mã,Giá tham chiếu,Hành động,Quyết định,Risk,Lợi TB T+2 %,Lợi TB T+5 %,Score,AI,Nhóm realtime,Màu cảnh báo,Buy zone thấp,Buy zone cao,Stoploss tham khảo
VRE,33.0,BUY NOW,MUA LƯỚT T+2,PASS,7.58,14.44,85.0,100.0,TOP MUA THẬT,GREEN,32.51,33.49,32.01
VIC,221.0,BUY NOW,MUA LƯỚT T+2,PASS,7.58,14.44,85.0,100.0,TOP MUA THẬT,GREEN,217.68,224.31,214.37
BSR,30.2,BUY NOW,KHÔNG ƯU TIÊN,PASS,2.61,5.96,85.0,100.0,TOP MUA THẬT,GREEN,29.75,30.65,29.29
HDB,27.7,BUY NOW,KHÔNG ƯU TIÊN,PASS,0.17,0.27,80.0,100.0,TOP THEO DÕI,YELLOW,27.28,28.12,26.87
LPB,54.5,WATCHLIST,MUA GIỮ T+5,PASS,-0.12,4.08,80.0,100.0,TOP THEO DÕI,YELLOW,53.68,55.32,52.86
QNS,49.0,WAIT,MUA GIỮ T+5,PASS,0.64,1.84,65.0,85.0,TOP THEO DÕI,YELLOW,48.26,49.73,47.53
GMD,81.6,WAIT,MUA LƯỚT T+2,PASS,0.64,1.84,70.0,83.0,TOP THEO DÕI,YELLOW,80.38,82.82,79.15
VCB,60.1,BUY NOW,KHÔNG ƯU TIÊN,PASS,0.22,0.93,75.0,78.0,TOP THEO DÕI,YELLOW,59.2,61.0,58.3
CII,19.15,BUY NOW,KHÔNG ƯU TIÊN,PASS,0.22,0.93,75.0,78.0,TOP THEO DÕI,YELLOW,18.86,19.44,18.58
AAA,7.16,BUY NOW,KHÔNG ƯU TIÊN,PASS,0.22,0.93,75.0,74.0,TOP THEO DÕI,YELLOW,7.05,7.27,6.95
BMP,160.9,WATCHLIST,KHÔNG ƯU TIÊN,PASS,-1.43,-0.67,90.0,100.0,TOP THEO DÕI,YELLOW,158.49,163.31,156.07
BID,42.8,WATCHLIST,KHÔNG ƯU TIÊN,PASS,-0.26,-0.05,90.0,100.0,TOP THEO DÕI,YELLOW,42.16,43.44,41.52
BAF,35.55,WATCHLIST,KHÔNG ƯU TIÊN,PASS,-0.31,-0.37,85.0,100.0,TOP THEO DÕI,YELLOW,35.02,36.08,34.48
VHM,152.5,WATCHLIST,KHÔNG ƯU TIÊN,PASS,0.22,-1.7,85.0,100.0,TOP THEO DÕI,YELLOW,150.21,154.79,147.92
HCM,28.5,WATCHLIST,KHÔNG ƯU TIÊN,PASS,-0.27,-0.41,65.0,88.0,TOP THEO DÕI,YELLOW,28.07,28.93,27.64
VTO,12.2,WATCHLIST,KHÔNG ƯU TIÊN,PASS,0.42,0.06,70.0,83.0,TOP THEO DÕI,YELLOW,12.02,12.38,11.83
EVF,13.9,WATCHLIST,KHÔNG ƯU TIÊN,PASS,0.38,-0.21,60.0,77.0,TOP THEO DÕI,YELLOW,13.69,14.11,13.48
GAS,81.8,WATCHLIST,KHÔNG ƯU TIÊN,PASS,0.38,-0.21,60.0,77.0,TOP THEO DÕI,YELLOW,80.57,83.03,79.35
