date,total_alerts,v18_entry_alerts,v19_position_alerts,unique_symbols,last_updated
2026-05-19,2,0,2,2,2026-06-11 04:06:49
2026-05-27,1,0,1,1,2026-06-11 04:06:49
2026-05-28,4,0,4,2,2026-06-11 04:06:49
2026-05-31,3,0,3,1,2026-06-11 04:06:49
2026-06-01,3,0,3,1,2026-06-11 04:06:49
2026-06-02,3,0,3,1,2026-06-11 04:06:49
2026-06-03,41,29,12,6,2026-06-11 04:06:49
2026-06-04,38,28,10,6,2026-06-11 04:06:49
2026-06-05,37,28,9,6,2026-06-11 04:06:49
2026-06-08,37,28,9,6,2026-06-11 04:06:49
2026-06-09,41,29,12,6,2026-06-11 04:06:49
2026-06-10,40,30,10,6,2026-06-11 04:06:49
2026-06-11,21,15,6,6,2026-06-11 04:06:49
