factor,bucket,n,win,fail,flat,winrate_pct,avg_ret_t2_pct,avg_ret_t5_pct,median_ret_t5_pct,avg_drawdown_t5_pct,avg_weighted_score,conclusion
rs20_bucket,RS<0,1389,454,648,287,32.69,-0.824,-0.699,-0.718,-4.527,78.5,YẾU/CẦN LỌC
rs20_bucket,0-5,1251,437,543,271,34.93,-0.306,-0.272,-0.45,-4.128,86.24,YẾU/CẦN LỌC
rs20_bucket,5-10,723,265,340,118,36.65,0.031,-0.133,-0.45,-4.563,88.162,YẾU/CẦN LỌC
rs20_bucket,>10,578,236,259,83,40.83,0.196,0.29,-0.274,-5.583,88.462,YẾU/CẦN LỌC
dist_ma20_bucket,<-3,263,76,134,53,28.9,-1.172,-1.166,-1.028,-5.629,65.757,YẾU/CẦN LỌC
dist_ma20_bucket,-3-0,895,318,396,181,35.53,-0.488,-0.521,-0.45,-4.577,73.568,YẾU/CẦN LỌC
dist_ma20_bucket,0-3,1615,598,697,320,37.03,-0.109,-0.038,-0.45,-3.971,87.302,YẾU/CẦN LỌC
dist_ma20_bucket,3-8,955,318,460,177,33.3,-0.35,-0.391,-0.725,-4.845,92.282,YẾU/CẦN LỌC
dist_ma20_bucket,>8,213,82,103,28,38.5,-0.644,-0.155,-0.537,-6.395,91.718,YẾU/CẦN LỌC
volume_bucket,<1,1585,561,691,333,35.39,-0.258,-0.23,-0.45,-4.337,80.403,YẾU/CẦN LỌC
volume_bucket,1-1.2,671,248,295,128,36.96,-0.222,0.017,-0.45,-4.333,84.927,YẾU/CẦN LỌC
volume_bucket,1.2-2,1429,489,684,256,34.22,-0.433,-0.476,-0.777,-4.838,87.892,YẾU/CẦN LỌC
volume_bucket,2-3,215,81,99,35,37.67,-0.743,-0.824,-0.45,-4.979,85.586,YẾU/CẦN LỌC
volume_bucket,>3,41,13,21,7,31.71,-1.372,-0.726,-1.266,-5.207,82.22,YẾU/CẦN LỌC
