symbol,signal_date,entry_date,signal,weighted_score,score_bucket,regime,regime_score,close_signal_day,entry_price,raw_entry_open,volume_ratio,rs5,rs10,rs20,ret5,ret20,rsi14,dist_ma20_pct,drawdown20_pct,atr_pct,min_exit_hold_bars,score_notes,factor_regime,factor_trend,factor_rs,factor_pullback,factor_volume,factor_momentum,factor_drawdown,factor_breakout,ret_t1_pct,ret_t2_pct,ret_t3_pct,ret_t5_pct,ret_t10_pct,max_favorable_t5_pct,max_drawdown_t5_pct,sellable_date_tplus,ret_sellable_tplus_pct,result_t5
AGR,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,19.22,19.519,19.49,0.393,1.031,-2.043,17.646,4.23,21.262,64.49,5.007,-4.092,4.467,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=1.03,RS10=-2.04,RS20=17.65 | pullback:not pullback zone,dist=5.01% | volume:volume weak 0.39x | momentum:ret5=4.23,rsi=64.5,macd_up=False | drawdown:healthy pullback -4.09% | breakout:no breakout",20.0,20.0,7.0,0.0,-5.0,4.0,5.0,0.0,5.391,3.751,3.034,1.446,-3.729,6.73,-2.089,2024-04-01,3.034,WIN
ACB,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,19.62,19.649,19.62,0.557,0.886,1.484,-2.378,4.085,1.238,53.333,1.566,-3.445,2.101,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=0.89,RS10=1.48,RS20=-2.38 | pullback:near MA20 ideal,dist=1.57% | volume:volume weak 0.56x | momentum:ret5=4.08,rsi=53.3,macd_up=True | drawdown:healthy pullback -3.44% | breakout:no breakout",20.0,20.0,-8.0,15.0,-5.0,5.0,5.0,0.0,0.975,1.535,1.331,-0.246,-3.452,1.744,-1.671,2024-04-01,1.331,FLAT
APG,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,15.7,15.974,15.95,0.688,-0.585,6.419,6.174,2.614,9.79,70.37,4.859,-1.875,3.389,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=-0.58,RS10=6.42,RS20=6.17 | pullback:not pullback zone,dist=4.86% | volume:volume weak 0.69x | momentum:ret5=2.61,rsi=70.4,macd_up=False | drawdown:healthy pullback -1.88% | breakout:no breakout",20.0,20.0,12.0,0.0,-5.0,2.0,5.0,0.0,-2.015,-2.954,-3.893,-3.267,-3.58,-0.75,-4.832,2024-04-01,-3.893,FAIL
BAF,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,20.07,20.17,20.14,0.868,-1.938,0.093,9.327,1.261,12.943,81.915,3.029,-1.376,2.566,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=-1.94,RS10=0.09,RS20=9.33 | pullback:near MA20 acceptable,dist=3.03% | volume:volume weak 0.87x | momentum:ret5=1.26,rsi=81.9,macd_up=False | drawdown:healthy pullback -1.38% | breakout:no breakout",20.0,20.0,7.0,9.0,-5.0,-1.0,5.0,0.0,0.591,-0.995,-3.424,-6.25,-3.772,1.481,-6.25,2024-04-01,-3.424,FAIL
BFC,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,26.11,26.149,26.11,0.424,-4.857,-6.89,7.68,-1.657,11.296,59.839,0.117,-10.613,4.965,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=-4.86,RS10=-6.89,RS20=7.68 | pullback:near MA20 ideal,dist=0.12% | volume:volume weak 0.42x | momentum:ret5=-1.66,rsi=59.8,macd_up=False | drawdown:moderate dd -10.61% | breakout:no breakout",20.0,20.0,2.0,15.0,-5.0,2.0,2.0,0.0,2.763,2.763,1.08,10.717,-0.106,11.258,-0.45,2024-04-01,1.08,WIN
BVS,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,30.85,30.896,30.85,0.594,-0.297,-3.888,18.369,2.902,21.985,51.631,3.153,-6.657,4.853,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=-0.30,RS10=-3.89,RS20=18.37 | pullback:near MA20 acceptable,dist=3.15% | volume:volume weak 0.59x | momentum:ret5=2.90,rsi=51.6,macd_up=False | drawdown:healthy pullback -6.66% | breakout:no breakout",20.0,20.0,7.0,9.0,-5.0,4.0,5.0,0.0,4.794,3.564,2.334,13.5,15.669,13.2,-2.618,2024-04-01,2.334,WIN
CII,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,15.58,15.724,15.7,0.722,-2.942,3.651,1.3,0.257,4.916,62.441,2.889,-2.747,2.833,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=-2.94,RS10=3.65,RS20=1.30 | pullback:near MA20 acceptable,dist=2.89% | volume:volume weak 0.72x | momentum:ret5=0.26,rsi=62.4,macd_up=False | drawdown:healthy pullback -2.75% | breakout:no breakout",20.0,20.0,3.0,9.0,-5.0,4.0,5.0,0.0,-0.959,-2.04,-1.722,-2.294,-5.856,0.777,-3.057,2024-04-01,-1.722,FAIL
DGW,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,47.78,47.852,47.78,0.502,-1.799,-0.302,13.693,1.401,17.309,65.831,4.449,-6.862,4.449,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=-1.80,RS10=-0.30,RS20=13.69 | pullback:not pullback zone,dist=4.45% | volume:volume weak 0.50x | momentum:ret5=1.40,rsi=65.8,macd_up=False | drawdown:healthy pullback -6.86% | breakout:no breakout",20.0,20.0,7.0,0.0,-5.0,4.0,5.0,0.0,0.616,1.076,0.47,0.303,-5.214,4.454,-0.763,2024-04-01,0.47,FLAT
CTS,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,26.3,26.45,26.41,0.366,0.222,-0.853,16.256,3.421,19.872,56.744,4.045,-4.71,4.28,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=0.22,RS10=-0.85,RS20=16.26 | pullback:not pullback zone,dist=4.05% | volume:volume weak 0.37x | momentum:ret5=3.42,rsi=56.7,macd_up=False | drawdown:healthy pullback -4.71% | breakout:no breakout",20.0,20.0,7.0,0.0,-5.0,4.0,5.0,0.0,2.726,1.403,1.403,3.369,-1.508,6.925,-1.886,2024-04-01,1.403,WIN
DBC,2024-03-26,2024-03-27,WEIGHTED_SCORE,100.0,80+,TĂNG MẠNH,90.0,23.55,23.625,23.59,0.654,-0.271,-0.374,2.465,2.928,6.081,67.362,3.222,-1.547,3.288,3,"regime:regime=TĂNG MẠNH:20.0 | trend:close>MA20|MA5>MA20|MA20>MA50|MA20 slope up | rs:RS5=-0.27,RS10=-0.37,RS20=2.46 | pullback:near MA20 acceptable,dist=3.22% | volume:volume weak 0.65x | momentum:ret5=2.93,rsi=67.4,macd_up=True | drawdown:healthy pullback -1.55% | breakout:no breakout",20.0,20.0,0.0,9.0,-5.0,5.0,5.0,0.0,1.582,2.217,0.947,0.82,-2.82,2.721,-1.254,2024-04-01,0.947,FLAT
