pattern,conditions,n,win,fail,flat,winrate_pct,failrate_pct,avg_ret_t2_pct,avg_ret_t5_pct,avg_drawdown_t5_pct,combo_size
COMBO_1,market_context fomo/hưng phấn,238,75,134,29,31.51,56.3,-0.779,-1.107,-6.027,1
COMBO_1,label:market_context_MARKET_HƯNG_PHẤN___DỄ_FOMO,238,75,134,29,31.51,56.3,-0.779,-1.107,-6.027,1
COMBO_1,market_dist_ma20 > 5%,149,52,80,17,34.9,53.69,-0.583,-0.769,-5.758,1
COMBO_1,label:market_regime_BÌNH_THƯỜNG,404,106,214,84,26.24,52.97,-0.908,-2.087,-5.478,1
COMBO_1,label:market_regime_TĂNG_MẠNH,1150,346,599,205,30.09,52.09,-0.635,-0.767,-5.146,1
COMBO_1,market_ret5 > 4%,180,58,93,29,32.22,51.67,-0.555,-0.603,-5.768,1
COMBO_1,stock_dist_ma20 < -3%,711,221,364,126,31.08,51.2,-1.062,-1.16,-5.258,1
COMBO_1,label:entry_context_ENTRY_DƯỚI_MA20___YẾU,711,221,364,126,31.08,51.2,-1.062,-1.16,-5.258,1
COMBO_1,volume_ratio > 3x,100,30,51,19,30.0,51.0,-0.184,-0.686,-5.229,1
COMBO_1,label:market_context_MARKET_ỦNG_HỘ,1416,436,708,272,30.79,50.0,-0.478,-0.55,-4.475,1
COMBO_1,stock_dist_ma20 3-8%,860,289,422,149,33.6,49.07,-0.219,-0.439,-4.91,1
COMBO_1,label:entry_context_ENTRY_LƯNG_CHỪNG_TRÊN_MA20,860,289,422,149,33.6,49.07,-0.219,-0.439,-4.91,1
COMBO_1,label:market_context_MARKET_TRUNG_TÍNH,536,156,263,117,29.1,49.07,-0.963,-1.64,-5.51,1
COMBO_1,volatility_contraction20 < 0.8,1214,384,587,243,31.63,48.35,-0.743,-0.881,-4.552,1
COMBO_1,label:volatility_context_VOLATILITY_CO_HẸP,1214,384,587,243,31.63,48.35,-0.743,-0.881,-4.552,1
COMBO_1,label:volume_context_VOLUME_TĂNG_VỪA,890,306,424,160,34.38,47.64,-0.416,-0.327,-4.745,1
COMBO_1,label:risk_context_RISK_TRUNG_TÍNH,810,291,382,137,35.93,47.16,-0.536,-0.405,-5.022,1
COMBO_1,label:score_bucket_80+,2278,781,1074,423,34.28,47.15,-0.274,-0.271,-4.542,1
COMBO_1,label:volatility_context_VOLATILITY_TRUNG_TÍNH,1607,560,753,294,34.85,46.86,-0.507,-0.373,-4.548,1
COMBO_1,label:volume_context_VOLUME_CẠN,1462,503,679,280,34.4,46.44,-0.219,-0.203,-4.276,1
COMBO_1,label:structure_context_KHÔNG_RÕ_NỀN,2637,960,1220,457,36.41,46.26,-0.316,-0.225,-4.963,1
COMBO_1,drawdown20 < -15%,221,80,102,39,36.2,46.15,-0.875,-0.645,-5.144,1
COMBO_1,label:risk_context_DRAWDOWN_SÂU,221,80,102,39,36.2,46.15,-0.875,-0.645,-5.144,1
COMBO_1,stock_ret20 > 15%,358,143,165,50,39.94,46.09,-0.006,0.141,-6.296,1
COMBO_1,label:extension_context_TĂNG_NÓNG_TRƯỚC_SIGNAL,358,143,165,50,39.94,46.09,-0.006,0.141,-6.296,1
COMBO_1,label:market_regime_TÍCH_CỰC,636,215,292,129,33.81,45.91,-0.441,-0.31,-4.078,1
COMBO_1,volume_ratio 1.2-2.0x,651,241,297,113,37.02,45.62,-0.081,-0.051,-4.821,1
COMBO_1,label:extension_context_KHÔNG_QUÁ_NÓNG,3290,1136,1499,655,34.53,45.56,-0.344,-0.36,-4.351,1
COMBO_1,volume_ratio < 1x,2543,886,1155,502,34.84,45.42,-0.466,-0.424,-4.448,1
COMBO_1,stock_ret5 > 8%,276,115,125,36,41.67,45.29,0.133,0.384,-5.861,1
COMBO_1,drawdown20 -10% to 0%,2910,1021,1306,583,35.09,44.88,-0.263,-0.265,-4.39,1
COMBO_1,label:risk_context_PULLBACK_LÀNH_MẠNH,2910,1021,1306,583,35.09,44.88,-0.263,-0.265,-4.39,1
COMBO_1,label:market_regime_RẤT_YẾU,750,283,331,136,37.73,44.13,-0.078,-0.161,-4.433,1
COMBO_1,stock_dist_ma20 > 8%,283,119,124,40,42.05,43.82,0.465,0.61,-6.024,1
COMBO_1,label:entry_context_ENTRY_XA_MA20___FOMO,283,119,124,40,42.05,43.82,0.465,0.61,-6.024,1
COMBO_1,sideway_score20 >= 2,1304,432,570,302,33.13,43.71,-0.429,-0.497,-3.751,1
COMBO_1,label:structure_context_CÓ_NỀN___SIDEWAY,1304,432,570,302,33.13,43.71,-0.429,-0.497,-3.751,1
COMBO_1,label:score_bucket_70-79,719,266,312,141,37.0,43.39,-0.316,-0.598,-4.784,1
COMBO_1,label:volume_context_VOLUME_TRUNG_TÍNH,1561,574,674,313,36.77,43.18,-0.429,-0.401,-4.721,1
COMBO_1,label:extension_context_SUY_YẾU_TRƯỚC_SIGNAL,293,113,126,54,38.57,43.0,-0.882,-0.364,-4.818,1
COMBO_1,label:score_bucket_60-69,944,345,404,195,36.55,42.8,-0.574,-0.204,-4.442,1
COMBO_1,label:entry_context_ENTRY_GẦN_MA20,2087,763,880,444,36.56,42.17,-0.278,-0.101,-3.984,1
COMBO_1,range20 <= 10%,841,268,354,219,31.87,42.09,-0.485,-0.482,-3.589,1
COMBO_1,volatility_contraction20 > 1.3,1120,448,450,222,40.0,40.18,0.288,0.381,-4.593,1
COMBO_1,label:volatility_context_VOLATILITY_MỞ_RỘNG,1120,448,450,222,40.0,40.18,0.288,0.381,-4.593,1
COMBO_1,market_context risk-off,1751,725,685,341,41.4,39.12,-0.008,0.389,-4.143,1
COMBO_1,label:market_context_MARKET_RISK-OFF,1751,725,685,341,41.4,39.12,-0.008,0.389,-4.143,1
COMBO_1,label:market_regime_YẾU,1001,442,354,205,44.16,35.36,0.044,0.802,-3.926,1
COMBO_1,market_ret20 < -5%,563,288,169,106,51.15,30.02,1.099,2.233,-3.444,1
COMBO_2,market_context fomo/hưng phấn + label:score_bucket_60-69,31,7,23,1,22.58,74.19,-2.319,-2.684,-6.602,2
COMBO_2,market_context fomo/hưng phấn + label:market_regime_BÌNH_THƯỜNG,40,9,29,2,22.5,72.5,-1.708,-1.893,-5.025,2
COMBO_2,stock_dist_ma20 > 8% + label:market_regime_RẤT_YẾU,42,10,30,2,23.81,71.43,0.293,-2.646,-8.299,2
COMBO_2,stock_dist_ma20 < -3% + market_ret5 > 4%,34,8,24,2,23.53,70.59,-2.56,-3.037,-7.283,2
COMBO_2,market_ret5 > 4% + label:entry_context_ENTRY_DƯỚI_MA20___YẾU,34,8,24,2,23.53,70.59,-2.56,-3.037,-7.283,2
COMBO_2,stock_ret20 > 15% + label:market_regime_RẤT_YẾU,41,12,28,1,29.27,68.29,-0.032,-3.811,-9.581,2
