pattern,conditions,n,win,fail,flat,winrate_pct,failrate_pct,avg_ret_t2_pct,avg_ret_t5_pct,avg_drawdown_t5_pct,combo_size,rule_type,action,confidence
COMBO_1,market_ret20 < -5%,563,288,169,106,51.15,30.02,1.099,2.233,-3.444,1,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,stock_dist_ma20 3-8% + market_ret20 < -5%,81,37,35,9,45.68,43.21,0.923,1.792,-4.632,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,market_ret20 < -5% + label:entry_context_ENTRY_LƯNG_CHỪNG_TRÊN_MA20,81,37,35,9,45.68,43.21,0.923,1.792,-4.632,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,stock_dist_ma20 3-8% + label:score_bucket_60-69,42,19,18,5,45.24,42.86,0.165,0.736,-5.546,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,stock_ret5 > 8% + market_context risk-off,120,57,51,12,47.5,42.5,0.369,1.186,-5.517,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,stock_ret5 > 8% + label:market_context_MARKET_RISK-OFF,120,57,51,12,47.5,42.5,0.369,1.186,-5.517,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,stock_dist_ma20 > 8% + market_ret20 < -5%,33,16,14,3,48.48,42.42,1.732,4.506,-5.636,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,market_ret20 < -5% + label:entry_context_ENTRY_XA_MA20___FOMO,33,16,14,3,48.48,42.42,1.732,4.506,-5.636,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,stock_ret20 > 15% + volatility_contraction20 > 1.3,157,71,66,20,45.22,42.04,0.556,0.347,-6.767,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,stock_ret20 > 15% + label:volatility_context_VOLATILITY_MỞ_RỘNG,157,71,66,20,45.22,42.04,0.556,0.347,-6.767,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,volatility_contraction20 > 1.3 + label:extension_context_TĂNG_NÓNG_TRƯỚC_SIGNAL,157,71,66,20,45.22,42.04,0.556,0.347,-6.767,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,stock_dist_ma20 > 8% + label:volume_context_VOLUME_CẠN,72,33,30,9,45.83,41.67,1.136,1.676,-5.265,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,stock_ret20 > 15% + stock_dist_ma20 > 8%,191,91,78,22,47.64,40.84,0.7,1.265,-6.147,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,stock_ret20 > 15% + label:entry_context_ENTRY_XA_MA20___FOMO,191,91,78,22,47.64,40.84,0.7,1.265,-6.147,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,stock_dist_ma20 > 8% + label:extension_context_TĂNG_NÓNG_TRƯỚC_SIGNAL,191,91,78,22,47.64,40.84,0.7,1.265,-6.147,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,stock_dist_ma20 3-8% + market_ret5 > 4%,37,17,15,5,45.95,40.54,0.027,0.693,-5.494,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,market_ret5 > 4% + label:entry_context_ENTRY_LƯNG_CHỪNG_TRÊN_MA20,37,17,15,5,45.95,40.54,0.027,0.693,-5.494,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,volume_ratio 1.2-2.0x + market_ret5 > 4%,46,21,18,7,45.65,39.13,0.246,1.551,-5.295,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,stock_dist_ma20 > 8% + volume_ratio < 1x,77,36,30,11,46.75,38.96,0.914,0.843,-5.524,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,volume_ratio < 1x + label:entry_context_ENTRY_XA_MA20___FOMO,77,36,30,11,46.75,38.96,0.914,0.843,-5.524,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,volume_ratio 1.2-2.0x + market_context risk-off,244,112,94,38,45.9,38.52,0.503,0.839,-4.537,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,volume_ratio 1.2-2.0x + label:market_context_MARKET_RISK-OFF,244,112,94,38,45.9,38.52,0.503,0.839,-4.537,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,stock_ret5 > 8% + label:score_bucket_70-79,34,17,13,4,50.0,38.24,-0.267,0.552,-5.826,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,stock_ret5 > 8% + market_ret20 < -5%,50,27,19,4,54.0,38.0,0.916,3.328,-5.306,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,stock_dist_ma20 > 8% + label:market_context_MARKET_ỦNG_HỘ,124,58,47,19,46.77,37.9,1.028,1.368,-5.067,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,stock_ret5 > 8% + stock_ret20 > 15%,104,52,39,13,50.0,37.5,0.971,1.511,-5.806,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,stock_ret5 > 8% + label:extension_context_TĂNG_NÓNG_TRƯỚC_SIGNAL,104,52,39,13,50.0,37.5,0.971,1.511,-5.806,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,market_ret20 < -5% + label:score_bucket_80+,148,74,54,20,50.0,36.49,0.956,2.605,-3.632,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,stock_dist_ma20 < -3% + volume_ratio 1.2-2.0x,55,27,20,8,49.09,36.36,0.147,1.346,-3.47,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,volume_ratio 1.2-2.0x + label:entry_context_ENTRY_DƯỚI_MA20___YẾU,55,27,20,8,49.09,36.36,0.147,1.346,-3.47,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,stock_ret5 > 8% + volume_ratio < 1x,59,30,21,8,50.85,35.59,0.574,0.394,-5.861,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,volume_ratio 1.2-2.0x + label:score_bucket_60-69,77,39,27,11,50.65,35.06,0.57,0.832,-4.734,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,stock_dist_ma20 > 8% + label:market_regime_TÍCH_CỰC,43,20,15,8,46.51,34.88,1.051,1.943,-4.196,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,drawdown20 < -15% + label:market_regime_YẾU,69,37,24,8,53.62,34.78,0.072,1.444,-3.891,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,stock_ret5 > 8% + label:volume_context_VOLUME_CẠN,52,27,18,7,51.92,34.62,0.235,0.799,-5.391,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,stock_dist_ma20 3-8% + label:market_regime_YẾU,147,71,49,27,48.3,33.33,1.186,1.607,-3.595,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,market_context risk-off + drawdown20 < -15%,114,58,38,18,50.88,33.33,0.211,1.131,-4.062,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,market_context risk-off + label:risk_context_DRAWDOWN_SÂU,114,58,38,18,50.88,33.33,0.211,1.131,-4.062,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,drawdown20 < -15% + label:market_context_MARKET_RISK-OFF,114,58,38,18,50.88,33.33,0.211,1.131,-4.062,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,stock_ret20 > 15% + market_ret20 < -5%,33,18,11,4,54.55,33.33,2.652,5.322,-5.705,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,market_ret20 < -5% + label:extension_context_TĂNG_NÓNG_TRƯỚC_SIGNAL,33,18,11,4,54.55,33.33,2.652,5.322,-5.705,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,market_ret20 < -5% + label:volatility_context_VOLATILITY_TRUNG_TÍNH,166,90,54,22,54.22,32.53,1.183,2.51,-3.381,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,stock_dist_ma20 < -3% + label:market_regime_RẤT_YẾU,105,50,34,21,47.62,32.38,1.158,1.202,-3.644,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,market_ret20 < -5% + label:extension_context_KHÔNG_QUÁ_NÓNG,428,209,138,81,48.83,32.24,1.01,1.957,-3.392,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,market_ret20 < -5% + drawdown20 -10% to 0%,337,163,108,66,48.37,32.05,1.087,2.185,-3.463,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,market_ret20 < -5% + label:risk_context_PULLBACK_LÀNH_MẠNH,337,163,108,66,48.37,32.05,1.087,2.185,-3.463,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,market_ret20 < -5% + label:volume_context_VOLUME_TĂNG_VỪA,132,61,42,29,46.21,31.82,1.382,2.623,-3.875,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,stock_ret5 > 8% + label:market_regime_YẾU,57,32,18,7,56.14,31.58,0.732,2.548,-4.001,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,volatility_contraction20 > 1.3 + label:market_regime_YẾU,262,131,82,49,50.0,31.3,0.812,1.605,-3.461,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,market_context risk-off + label:extension_context_SUY_YẾU_TRƯỚC_SIGNAL,160,79,50,31,49.38,31.25,0.06,1.146,-3.776,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,drawdown20 < -15% + label:market_regime_RẤT_YẾU,45,21,14,10,46.67,31.11,0.423,0.651,-4.325,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,market_ret20 < -5% + label:risk_context_RISK_TRUNG_TÍNH,153,79,47,27,51.63,30.72,0.994,2.153,-3.575,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,market_ret20 < -5% + label:structure_context_KHÔNG_RÕ_NỀN,464,241,140,83,51.94,30.17,1.171,2.428,-3.612,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,market_ret20 < -5% + market_context risk-off,563,288,169,106,51.15,30.02,1.099,2.233,-3.444,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,market_ret20 < -5% + label:market_context_MARKET_RISK-OFF,563,288,169,106,51.15,30.02,1.099,2.233,-3.444,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,market_ret20 < -5% + label:volume_context_VOLUME_TRUNG_TÍNH,211,107,63,41,50.71,29.86,0.789,1.819,-3.606,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,volume_ratio < 1x + market_ret20 < -5%,371,189,110,72,50.94,29.65,0.872,2.005,-3.159,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,sideway_score20 >= 2 + market_ret20 < -5%,99,47,29,23,47.47,29.29,0.763,1.32,-2.653,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,market_ret20 < -5% + label:structure_context_CÓ_NỀN___SIDEWAY,99,47,29,23,47.47,29.29,0.763,1.32,-2.653,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,volume_ratio 1.2-2.0x + label:market_regime_YẾU,123,61,36,26,49.59,29.27,1.335,2.311,-3.414,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,market_ret20 < -5% + label:volume_context_VOLUME_CẠN,219,119,64,36,54.34,29.22,1.253,2.402,-3.017,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,stock_dist_ma20 < -3% + market_ret20 < -5%,125,68,36,21,54.4,28.8,1.82,2.197,-3.134,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,market_ret20 < -5% + label:entry_context_ENTRY_DƯỚI_MA20___YẾU,125,68,36,21,54.4,28.8,1.82,2.197,-3.134,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,volatility_contraction20 > 1.3 + label:extension_context_SUY_YẾU_TRƯỚC_SIGNAL,95,46,27,22,48.42,28.42,0.464,1.015,-3.951,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,market_ret20 < -5% + label:score_bucket_60-69,230,118,65,47,51.3,28.26,1.396,2.176,-3.145,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,volatility_contraction20 > 1.3 + market_ret5 > 4%,50,25,14,11,50.0,28.0,1.138,2.932,-5.386,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,market_ret5 > 4% + label:volatility_context_VOLATILITY_MỞ_RỘNG,50,25,14,11,50.0,28.0,1.138,2.932,-5.386,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,volume_ratio 1.2-2.0x + market_ret20 < -5%,87,53,24,10,60.92,27.59,1.894,3.412,-3.787,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,drawdown20 < -15% + label:entry_context_ENTRY_GẦN_MA20,70,39,19,12,55.71,27.14,-0.098,1.284,-4.073,2,WIN_RULE,ALLOW_KEEP_ONLY,MEDIUM_SAMPLE
COMBO_2,market_ret20 < -5% + label:score_bucket_70-79,185,96,50,39,51.89,27.03,0.846,2.006,-3.664,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
COMBO_2,market_ret20 < -5% + label:entry_context_ENTRY_GẦN_MA20,324,167,84,73,51.54,25.93,0.801,2.126,-3.043,2,WIN_RULE,ALLOW_KEEP_ONLY,HIGH_SAMPLE
