Ngày,Mã,Giá,Hành động,Quyết định,Chiến lược,Risk Status,Score gốc,AI Confidence,RS20,RSI,Volume Ratio,ATR %,Dist MA20 %,Lợi TB T+2 %,Lợi TB T+5 %,Điểm V14.1,Điểm trước chặn,Tổng điểm cộng,Tổng điểm trừ,Hạng V14.1,Nhóm ưu tiên V14.1,Lý do cộng điểm,Lý do trừ điểm,Lý do khác biệt,Lý do chặn điểm
2026-06-26,STB,73.7,BUY NOW,MUA THÄM DÃ,MOMENTUM,PASS,90,100.0,7.93,63.83,1.25,3.26,4.32,,,82.0,99.0,70,21,A MẠNH,CÓ THỂ ƯU TIÊN,+10 Tín hiệu mua rõ | +12 Risk PASS | +8 Score gốc mạnh 90 | +8 AI rất cao 100 | +2 Win lịch sử hơi tốt 55.0% | +4 RS20 dương tốt 7.9 | +7 RSI vùng đẹp 63.8 | +2 Volume ổn 1.25,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | Tín hiệu mua rõ | Risk PASS | Score gốc mạnh 90 | AI rất cao 100 | Win lịch sử hơi tốt 55.0%,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-06-26,VHM,162.0,BUY NOW,MUA THÄM DÃ,MOMENTUM,PASS,100,100.0,3.39,66.17,2.11,4.04,9.36,,,82.0,98.0,69,21,A MẠNH,CÓ THỂ ƯU TIÊN,+10 Tín hiệu mua rõ | +12 Risk PASS | +8 Score gốc mạnh 100 | +8 AI rất cao 100 | +2 Win lịch sử hơi tốt 55.0% | +1 RS20 dương nhẹ 3.4 | +7 RSI vùng đẹp 66.2 | +7 Volume rất mạnh 2.11,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | Tín hiệu mua rõ | Risk PASS | Score gốc mạnh 100 | AI rất cao 100 | Win lịch sử hơi tốt 55.0%,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-06-26,NLG,26.45,BUY NOW,MUA THÄM DÃ,BOTTOM,PASS,85,100.0,1.67,57.99,2.14,3.42,1.19,,,82.0,97.0,68,21,A MẠNH,CÓ THỂ ƯU TIÊN,+10 Tín hiệu mua rõ | +12 Risk PASS | +8 Score gốc mạnh 85 | +8 AI rất cao 100 | +2 Win lịch sử hơi tốt 55.0% | +1 RS20 dương nhẹ 1.7 | +7 RSI vùng đẹp 58.0 | +7 Volume rất mạnh 2.14,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | Tín hiệu mua rõ | Risk PASS | Score gốc mạnh 85 | AI rất cao 100 | Win lịch sử hơi tốt 55.0%,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-06-26,QNS,49.2,BUY NOW,MUA THÄM DÃ,MOMENTUM,PASS,80,99.0,2.91,64.29,1.95,1.06,1.89,,,82.0,96.0,67,21,A MẠNH,CÓ THỂ ƯU TIÊN,+10 Tín hiệu mua rõ | +12 Risk PASS | +5 Score gốc tốt 80 | +8 AI rất cao 99 | +2 Win lịch sử hơi tốt 55.0% | +1 RS20 dương nhẹ 2.9 | +7 RSI vùng đẹp 64.3 | +5 Volume mạnh 1.95,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | Tín hiệu mua rõ | Risk PASS | Score gốc tốt 80 | AI rất cao 99 | Win lịch sử hơi tốt 55.0%,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-06-26,PVD,31.6,BUY NOW,MUA THÄM DÃ,MOMENTUM,PASS,85,97.0,3.15,58.96,1.25,2.83,3.32,,,82.0,96.0,67,21,A MẠNH,CÓ THỂ ƯU TIÊN,+10 Tín hiệu mua rõ | +12 Risk PASS | +8 Score gốc mạnh 85 | +8 AI rất cao 97 | +2 Win lịch sử hơi tốt 55.0% | +1 RS20 dương nhẹ 3.1 | +7 RSI vùng đẹp 59.0 | +2 Volume ổn 1.25,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | Tín hiệu mua rõ | Risk PASS | Score gốc mạnh 85 | AI rất cao 97 | Win lịch sử hơi tốt 55.0%,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-06-26,POW,14.8,BUY NOW,MUA THÄM DÃ,MOMENTUM,PASS,100,100.0,7.58,72.13,2.33,2.56,6.32,,,82.0,95.0,66,21,A MẠNH,CÓ THỂ ƯU TIÊN,+10 Tín hiệu mua rõ | +12 Risk PASS | +8 Score gốc mạnh 100 | +8 AI rất cao 100 | +2 Win lịch sử hơi tốt 55.0% | +4 RS20 dương tốt 7.6 | +1 RSI hơi cao 72.1 | +7 Volume rất mạnh 2.33,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | Tín hiệu mua rõ | Risk PASS | Score gốc mạnh 100 | AI rất cao 100 | Win lịch sử hơi tốt 55.0%,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-06-26,ORS,13.5,BUY NOW,MUA THÄM DÃ,MOMENTUM,PASS,95,100.0,3.39,70.0,1.3,2.78,3.43,,,82.0,93.0,64,21,A MẠNH,CÓ THỂ ƯU TIÊN,+10 Tín hiệu mua rõ | +12 Risk PASS | +8 Score gốc mạnh 95 | +8 AI rất cao 100 | +2 Win lịch sử hơi tốt 55.0% | +1 RS20 dương nhẹ 3.4 | +1 RSI hơi cao 70.0 | +5 Volume mạnh 1.30,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | Tín hiệu mua rõ | Risk PASS | Score gốc mạnh 95 | AI rất cao 100 | Win lịch sử hơi tốt 55.0%,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-06-26,LPB,53.0,BUY NOW,MUA THÄM DÃ,MOMENTUM,PASS,95,100.0,1.47,72.48,2.32,3.81,8.77,,,82.0,92.0,63,21,A MẠNH,CÓ THỂ ƯU TIÊN,+10 Tín hiệu mua rõ | +12 Risk PASS | +8 Score gốc mạnh 95 | +8 AI rất cao 100 | +2 Win lịch sử hơi tốt 55.0% | +1 RS20 dương nhẹ 1.5 | +1 RSI hơi cao 72.5 | +7 Volume rất mạnh 2.32,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | Tín hiệu mua rõ | Risk PASS | Score gốc mạnh 95 | AI rất cao 100 | Win lịch sử hơi tốt 55.0%,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-06-26,ANV,21.95,BUY NOW,MUA THÄM DÃ,MOMENTUM,PASS,85,84.0,0.7,66.34,0.73,2.86,3.59,,,82.0,91.0,62,21,A MẠNH,CÓ THỂ ƯU TIÊN,+10 Tín hiệu mua rõ | +12 Risk PASS | +8 Score gốc mạnh 85 | +5 AI tốt 84 | +2 Win lịch sử hơi tốt 55.0% | +1 RS20 dương nhẹ 0.7 | +7 RSI vùng đẹp 66.3 | +4 ADX xu hướng tốt 41.5,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | Tín hiệu mua rõ | Risk PASS | Score gốc mạnh 85 | AI tốt 84 | Win lịch sử hơi tốt 55.0%,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-06-26,VRE,30.0,BUY NOW,MUA THÄM DÃ,BOTTOM,PASS,85,89.0,-7.43,52.15,0.95,3.87,0.7,,,82.0,90.0,61,21,A MẠNH,CÓ THỂ ƯU TIÊN,+10 Tín hiệu mua rõ | +12 Risk PASS | +8 Score gốc mạnh 85 | +5 AI tốt 89 | +2 Win lịch sử hơi tốt 55.0% | +7 RSI vùng đẹp 52.1 | +4 ADX xu hướng tốt 48.2 | +5 ATR an toàn 3.9,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | Tín hiệu mua rõ | Risk PASS | Score gốc mạnh 85 | AI tốt 89 | Win lịch sử hơi tốt 55.0%,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
2026-06-26,ELC,16.6,BUY NOW,MUA THÄM DÃ,MOMENTUM,PASS,80,100.0,3.3,65.91,1.02,2.32,2.5,,,82.0,89.0,60,21,A MẠNH,CÓ THỂ ƯU TIÊN,+10 Tín hiệu mua rõ | +12 Risk PASS | +5 Score gốc tốt 80 | +8 AI rất cao 100 | +2 Win lịch sử hơi tốt 55.0% | +1 RS20 dương nhẹ 3.3 | +7 RSI vùng đẹp 65.9 | +2 Volume ổn 1.02,-8 Mẫu lịch sử ít | -7 Mẫu OOS ít | -6 Mẫu regime ít,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít | Mẫu lịch sử ít | Mẫu OOS ít | Mẫu regime ít | Tín hiệu mua rõ | Risk PASS | Score gốc tốt 80 | AI rất cao 100 | Win lịch sử hơi tốt 55.0%,Bị chặn A+ vì mẫu lịch sử/OOS/regime còn ít
