Mã,Trạng thái dữ liệu,Ngày hiện tại,Giá hiện tại,MA20 hiện tại,Dist MA20 hiện tại %,Dist MA20 cao nhất lịch sử %,Ngày nóng nhất,Phân vị nóng hiện tại %,Vùng so sánh lịch sử,Số mẫu vùng tương tự,Win T+2 vùng tương tự %,Win T+5 vùng tương tự %,Win T+10 vùng tương tự %,Lợi TB T+2 vùng tương tự %,Lợi TB T+5 vùng tương tự %,Lợi TB T+10 vùng tương tự %,Drawdown TB T+5 vùng tương tự %,Khuyến nghị MA20,Lý do MA20,Số dòng lịch sử
CTR,OK,2026-05-22,93.0,86.88,7.04,22.3,2026-01-14,90.37,5.0% đến 9.0%,49,30.61,42.86,48.98,-0.05,0.73,1.52,-4.2,⚠️ HƠI NÓNG - GIẢM TỶ TRỌNG,Mức hiện tại nằm trong nhóm nóng cao của lịch sử.,592
VCB,OK,2026-05-22,63.5,61.35,3.5,25.16,2026-01-14,87.67,1.5% đến 5.5%,106,36.79,36.79,33.96,0.11,0.11,-0.77,-2.07,⚠️ HƠI NÓNG - GIẢM TỶ TRỌNG,Mức hiện tại nằm trong nhóm nóng cao của lịch sử.,592
CRE,OK,2026-05-22,7.86,7.55,4.12,19.62,2025-08-19,85.98,2.1% đến 6.1%,123,45.53,44.72,40.65,0.1,0.05,-0.21,-3.76,⚠️ HƠI NÓNG - GIẢM TỶ TRỌNG,Mức hiện tại nằm trong nhóm nóng cao của lịch sử.,592
FTS,OK,2026-05-22,24.35,23.67,2.86,19.67,2024-03-05,74.16,0.9% đến 4.9%,155,44.52,40.0,43.87,0.02,0.08,-0.53,-3.4,✅ CHƯA NÓNG,Giá chưa cách MA20 quá xa.,592
CTS,OK,2026-05-22,28.15,27.16,3.66,34.46,2025-07-28,73.31,1.7% đến 5.7%,156,51.28,55.13,52.94,0.04,0.67,0.72,-3.34,✅ CHƯA NÓNG,Giá chưa cách MA20 quá xa.,592
SBT,OK,2026-05-22,21.15,20.6,2.68,19.17,2025-07-28,70.95,0.7% đến 4.7%,170,55.88,62.94,59.41,0.46,0.93,2.48,-2.18,✅ CHƯA NÓNG,Giá chưa cách MA20 quá xa.,592
PET,OK,2026-05-22,48.3,47.26,2.21,36.05,2025-07-31,63.68,0.2% đến 4.2%,129,48.06,49.61,46.46,0.36,1.45,1.82,-3.26,✅ CHƯA NÓNG,Giá chưa cách MA20 quá xa.,592
SSB,OK,2026-05-22,16.7,16.66,0.23,13.21,2025-08-21,62.16,-1.8% đến 2.2%,349,38.4,39.83,40.12,-0.04,-0.06,-0.21,-2.27,✅ CHƯA NÓNG,Giá chưa cách MA20 quá xa.,592
SRC,OK,2026-05-22,54.0,53.3,1.3,38.06,2025-09-15,56.98,-0.7% đến 3.3%,136,38.24,44.12,50.0,-0.48,-0.07,0.7,-4.9,✅ CHƯA NÓNG,Giá chưa cách MA20 quá xa.,444
CNG,OK,2026-05-22,23.0,22.98,0.08,13.68,2024-03-21,56.59,-1.9% đến 2.1%,318,42.45,41.51,40.06,0.01,-0.05,-0.38,-2.33,✅ CHƯA NÓNG,Giá chưa cách MA20 quá xa.,592
BCM,OK,2026-05-22,54.1,53.8,0.55,20.29,2026-01-15,55.91,-1.5% đến 2.5%,250,52.0,50.4,49.19,0.28,0.26,-0.13,-2.68,✅ CHƯA NÓNG,Giá chưa cách MA20 quá xa.,592
PHP,OK,2026-05-22,36.6,36.36,0.67,24.99,2024-06-21,50.34,-1.3% đến 2.7%,197,47.21,50.25,55.21,0.5,0.81,0.97,-3.4,✅ CHƯA NÓNG,Giá chưa cách MA20 quá xa.,592
NBB,OK,2026-05-22,17.7,17.79,-0.51,16.28,2024-03-07,49.49,-2.5% đến 1.5%,296,39.19,42.91,35.74,-0.21,-0.31,-0.5,-4.07,✅ CHƯA NÓNG,Giá chưa cách MA20 quá xa.,592
VIC,OK,2026-05-22,216.5,220.5,-1.82,32.23,2026-04-23,19.43,-3.8% đến 0.2%,190,47.89,45.79,45.79,0.28,0.35,0.62,-1.89,✅ CHƯA NÓNG,Giá chưa cách MA20 quá xa.,592
BVB,OK,2026-05-22,12.2,12.52,-2.52,16.2,2025-02-06,19.09,-4.5% đến -0.5%,184,45.65,47.83,54.35,-0.0,-0.14,0.56,-3.5,✅ CHƯA NÓNG,Giá chưa cách MA20 quá xa.,592
