Mã,Trạng thái dữ liệu,Ngày,Giá,MA20,Dist MA20 %,Phân vị nóng MA20 %,RSI,Phân vị nóng RSI %,Volume Ratio,Số mẫu vùng MA20 tương tự,Win T+5 vùng tương tự %,Lợi TB T+5 vùng tương tự %,Drawdown TB T+5 vùng tương tự %,Điểm Heat Combo,Kết luận Heat Combo,Điểm mạnh,Điểm yếu,Số dòng lịch sử
ORS,OK,2026-06-23,13.15,12.97,1.39,59.9,56.67,62.44,5.3,169,52.66,1.19,-3.25,88,✅ KHỎE - CÒN THEO DÕI/MUA CÓ KIỂM SOÁT,MA20 chưa quá nóng | RSI vùng đẹp 56.7 | Volume xác nhận mạnh 5.30 | Lợi TB T+5 tốt 1.19%,,591
VHM,OK,2026-06-23,156.0,147.28,5.92,74.79,58.64,61.08,1.3,85,64.71,2.7,-3.3,87,✅ KHỎE - CÒN THEO DÕI/MUA CÓ KIỂM SOÁT,RSI vùng đẹp 58.6 | Volume ổn 1.30 | Win T+5 vùng tương tự tốt 64.7% | Lợi TB T+5 tốt 2.70%,,591
VIC,OK,2026-06-23,229.0,203.07,12.77,82.06,72.49,73.94,1.51,42,59.52,3.12,-4.86,80,✅ KHỎE - CÒN THEO DÕI/MUA CÓ KIỂM SOÁT,Volume xác nhận mạnh 1.51 | Win T+5 vùng tương tự tốt 59.5% | Lợi TB T+5 tốt 3.12%,,591
HDB,OK,2026-06-23,25.65,25.4,0.99,51.44,62.16,65.99,1.94,216,54.17,0.47,-2.48,80,✅ KHỎE - CÒN THEO DÕI/MUA CÓ KIỂM SOÁT,MA20 chưa quá nóng | RSI vùng đẹp 62.2 | Volume xác nhận mạnh 1.94,,591
FTS,OK,2026-06-23,26.3,24.5,7.36,90.36,66.19,82.74,1.95,50,66.0,2.58,-2.55,77,✅ KHỎE - CÒN THEO DÕI/MUA CÓ KIỂM SOÁT,RSI vùng đẹp 66.2 | Volume xác nhận mạnh 1.95 | Win T+5 vùng tương tự tốt 66.0% | Lợi TB T+5 tốt 2.58%,MA20 thuộc vùng nóng cao,591
VPB,OK,2026-06-23,26.55,26.44,0.43,51.95,51.56,50.76,1.82,264,52.27,0.21,-2.25,68,🟡 ỔN NHƯNG KHÔNG MUA ĐUỔI,MA20 chưa quá nóng | Volume xác nhận mạnh 1.82,,591
BMP,OK,2026-06-23,146.4,138.91,5.39,81.39,66.87,79.86,1.02,84,54.76,0.91,-2.6,67,🟡 ỔN NHƯNG KHÔNG MUA ĐUỔI,RSI vùng đẹp 66.9 | Volume ổn 1.02,,591
PVD,OK,2026-06-23,30.95,30.36,1.94,64.81,57.36,62.44,1.44,176,55.68,0.8,-2.62,67,🟡 ỔN NHƯNG KHÔNG MUA ĐUỔI,RSI vùng đẹp 57.4 | Volume ổn 1.44,,591
MBS,OK,2026-06-23,20.3,19.96,1.73,61.42,55.0,56.51,1.56,162,48.77,-0.03,-4.93,62,🟡 ỔN NHƯNG KHÔNG MUA ĐUỔI,RSI vùng đẹp 55.0 | Volume xác nhận mạnh 1.56,Lợi TB T+5 âm -0.03%,591
TNG,OK,2026-06-23,19.6,19.07,2.75,68.53,65.52,80.71,1.92,152,45.39,0.13,-4.7,60,🟡 ỔN NHƯNG KHÔNG MUA ĐUỔI,RSI vùng đẹp 65.5 | Volume xác nhận mạnh 1.92,Win T+5 vùng tương tự yếu 45.4%,591
TVS,OK,2026-06-23,13.8,13.06,5.67,89.51,71.43,85.79,5.38,64,60.94,0.81,-2.69,57,⚠️ NÓNG - CHỈ THĂM DÒ / CHỜ CHỈNH,Volume xác nhận mạnh 5.38 | Win T+5 vùng tương tự tốt 60.9%,MA20 thuộc vùng nóng cao,591
LPB,OK,2026-06-23,52.6,48.45,8.56,85.45,70.0,74.28,5.06,68,54.41,2.11,-2.81,53,⚠️ NÓNG - CHỈ THĂM DÒ / CHỜ CHỈNH,Volume xác nhận mạnh 5.06 | Lợi TB T+5 tốt 2.11%,MA20 thuộc vùng nóng cao,591
DHA,OK,2026-06-23,50.6,48.56,4.2,87.48,63.79,74.62,3.42,92,46.74,0.77,-2.27,45,⚠️ NÓNG - CHỈ THĂM DÒ / CHỜ CHỈNH,RSI vùng đẹp 63.8 | Volume xác nhận mạnh 3.42,MA20 thuộc vùng nóng cao | Win T+5 vùng tương tự yếu 46.7%,591
PC1,OK,2026-06-23,21.9,19.8,10.58,97.63,73.77,92.22,1.37,15,46.67,0.23,-5.11,18,⛔ NÓNG THẬT - TRÁNH MUA ĐUỔI,Volume ổn 1.37,MA20 thuộc top 5% nóng nhất lịch sử | Win T+5 vùng tương tự yếu 46.7%,591
DGC,OK,2026-06-23,50.5,46.88,7.73,95.43,72.38,90.69,1.67,35,31.43,-1.14,-4.23,13,⛔ NÓNG THẬT - TRÁNH MUA ĐUỔI,Volume xác nhận mạnh 1.67,MA20 thuộc top 5% nóng nhất lịch sử | Win T+5 vùng tương tự yếu 31.4% | Lợi TB T+5 âm -1.14%,591
