Mã,Trạng thái dữ liệu,Ngày,Giá,RSI,Drawdown 20 phiên %,Hồi từ đáy 20 phiên %,Ret 5 phiên %,Ret 10 phiên %,Volume Ratio,Đã lấy lại MA5,Thủng đáy 20 phiên,Số mẫu bottom tương tự,Win T+3 %,Win T+5 %,Win T+10 %,Lợi TB T+3 %,Lợi TB T+5 %,Lợi TB T+10 %,Drawdown TB T+5 %,Điểm Bottom V15.1,Phân loại Bottom V15.1,Kết luận,Điểm mạnh,Điểm yếu,Số dòng lịch sử
MWG,OK,2026-05-12,83.8,39.31,-5.31,5.01,-1.18,-0.83,0.79,CHƯA,KHÔNG,112,52.68,66.96,69.64,0.8,1.76,3.37,-2.84,89.0,🟢 ĐÁY CHẤT LƯỢNG,"Có hồi, có xác nhận và lịch sử vùng tương tự ủng hộ.",RSI vùng bắt đáy 39.3 | Hồi từ đáy 5.0% | Nến đóng gần cao nhất phiên | Win T+5 tốt 67.0% | Lợi TB T+5 tốt 1.76%,Chưa lấy lại MA5,590
HDB,OK,2026-05-12,27.35,64.2,-1.62,6.21,3.6,2.82,1.02,CÓ,KHÔNG,95,63.16,60.0,61.05,0.67,1.24,1.37,-2.1,86.0,🟢 ĐÁY CHẤT LƯỢNG,"Có hồi, có xác nhận và lịch sử vùng tương tự ủng hộ.",Hồi từ đáy 6.2% | Đã lấy lại MA5 | Nến đóng gần cao nhất phiên | Volume hồi hợp lý 1.02 | Win T+5 tốt 60.0% | Lợi TB T+5 tốt 1.24%,RSI không còn vùng đáy 64.2 | Chưa giảm đủ sâu,590
BID,OK,2026-05-12,41.75,59.6,-3.02,5.16,2.96,0.36,0.8,CÓ,KHÔNG,162,53.09,58.02,59.88,0.48,0.83,2.06,-1.64,84.0,🟢 ĐÁY CHẤT LƯỢNG,"Có hồi, có xác nhận và lịch sử vùng tương tự ủng hộ.",Hồi từ đáy 5.2% | Đã lấy lại MA5 | Nến đóng gần cao nhất phiên | Volume hồi hợp lý 0.80 | Win T+5 tốt 58.0%,RSI không còn vùng đáy 59.6,590
VPB,OK,2026-05-12,27.85,44.74,-2.28,5.09,-0.54,1.64,0.99,CHƯA,KHÔNG,149,53.69,61.74,55.03,0.16,0.41,0.38,-2.39,82.0,🟢 ĐÁY CHẤT LƯỢNG,"Có hồi, có xác nhận và lịch sử vùng tương tự ủng hộ.",RSI vùng bắt đáy 44.7 | Hồi từ đáy 5.1% | Nến đóng gần cao nhất phiên | Volume hồi hợp lý 0.99 | Win T+5 tốt 61.7%,Chưa giảm đủ sâu | Chưa lấy lại MA5,590
OIL,OK,2026-05-12,14.4,41.94,-7.1,4.35,-2.7,-1.37,0.77,CÓ,KHÔNG,80,35.0,40.0,41.25,-0.19,-0.28,0.03,-3.45,75.0,🟢 ĐÁY CHẤT LƯỢNG,"Có hồi, có xác nhận và lịch sử vùng tương tự ủng hộ.",RSI vùng bắt đáy 41.9 | Có chiết khấu -7.1% | Hồi từ đáy 4.3% | Đã lấy lại MA5 | Nến đóng gần cao nhất phiên,Win T+5 yếu 40.0% | Lợi TB T+5 âm -0.28%,590
MSN,OK,2026-05-12,77.7,42.5,-5.82,2.1,1.44,-0.64,0.93,CHƯA,KHÔNG,126,54.76,50.79,59.52,0.04,-0.07,0.24,-2.71,70.0,🟡 HỒI KỸ THUẬT,Có hồi nhưng chưa đủ mạnh để xác nhận đáy chất lượng.,RSI vùng bắt đáy 42.5 | Hồi từ đáy 2.1% | Nến đóng gần cao nhất phiên | Volume hồi hợp lý 0.93,Chưa lấy lại MA5 | Lợi TB T+5 âm -0.07%,590
DHC,OK,2026-05-12,36.25,47.22,-4.23,3.57,2.4,0.55,0.74,CHƯA,KHÔNG,142,50.7,52.82,54.93,0.69,1.29,2.05,-1.89,67.0,🟡 HỒI KỸ THUẬT,Có hồi nhưng chưa đủ mạnh để xác nhận đáy chất lượng.,RSI vùng bắt đáy 47.2 | Hồi từ đáy 3.6% | Lợi TB T+5 tốt 1.29%,Chưa lấy lại MA5 | Nến đóng yếu gần đáy phiên,590
HAH,OK,2026-05-12,57.7,65.42,-1.37,8.26,1.76,1.58,1.25,CÓ,KHÔNG,123,56.91,56.91,62.6,0.9,1.16,1.82,-2.51,66.0,🟡 HỒI KỸ THUẬT,Có hồi nhưng chưa đủ mạnh để xác nhận đáy chất lượng.,Đã lấy lại MA5 | Nến đóng gần cao nhất phiên | Volume hồi hợp lý 1.25 | Lợi TB T+5 tốt 1.16%,RSI không còn vùng đáy 65.4 | Chưa giảm đủ sâu,590
VHM,OK,2026-05-12,160.2,67.83,-7.56,35.53,5.95,7.52,0.97,CÓ,KHÔNG,188,51.06,56.38,57.45,1.01,1.74,3.42,-4.22,66.0,🟡 HỒI KỸ THUẬT,Có hồi nhưng chưa đủ mạnh để xác nhận đáy chất lượng.,Có chiết khấu -7.6% | Đã lấy lại MA5 | Volume hồi hợp lý 0.97 | Lợi TB T+5 tốt 1.74%,"RSI không còn vùng đáy 67.8 | Hồi quá xa, không còn điểm đáy đẹp",590
LPB,OK,2026-05-12,54.5,85.42,-0.37,20.71,13.31,17.2,1.68,CÓ,KHÔNG,34,50.0,50.0,47.06,1.71,1.35,1.65,-2.92,61.0,🟡 HỒI KỸ THUẬT,Có hồi nhưng chưa đủ mạnh để xác nhận đáy chất lượng.,Đã lấy lại MA5 | Nến đóng gần cao nhất phiên | Volume hồi hợp lý 1.68 | Lợi TB T+5 tốt 1.35%,"RSI không còn vùng đáy 85.4 | Chưa giảm đủ sâu | Hồi quá xa, không còn điểm đáy đẹp",590
VCB,OK,2026-05-12,59.9,51.75,-5.67,1.53,0.0,-4.62,0.82,CHƯA,KHÔNG,188,46.81,48.94,51.6,0.13,0.36,0.55,-1.51,59.0,🔴 BULL TRAP,Có hồi nhưng rủi ro gãy lại còn cao.,Hồi từ đáy 1.5% | Volume hồi hợp lý 0.82,Chưa lấy lại MA5,590
