Mã,Trạng thái dữ liệu,Ngày hiện tại,RSI hiện tại,Drawdown 20 phiên %,Hồi từ đáy 20 phiên %,Số đoạn test,Số đoạn dương,Tỷ lệ đoạn dương %,Win T+5 TB các đoạn %,Lợi TB T+5 các đoạn %,Số mẫu test TB,Độ ổn định mẫu,Lý do ổn định
POW,OK,2026-06-11,50.0,-6.85,3.03,17,12,70.59,48.49,0.38,9.12,ỔN ĐỊNH VỪA,Mẫu tương đối ổn định nhưng chưa thật sự mạnh.
VPB,OK,2026-06-11,40.7,-7.96,1.56,13,9,69.23,60.02,0.81,7.62,ỔN ĐỊNH VỪA,Mẫu tương đối ổn định nhưng chưa thật sự mạnh.
SAB,OK,2026-06-11,54.24,-1.52,4.29,19,13,68.42,51.51,0.32,9.32,ỔN ĐỊNH VỪA,Mẫu tương đối ổn định nhưng chưa thật sự mạnh.
GVR,OK,2026-06-11,50.59,-11.5,7.27,15,10,66.67,62.49,1.29,9.6,ỔN ĐỊNH VỪA,Mẫu tương đối ổn định nhưng chưa thật sự mạnh.
VOS,OK,2026-06-11,30.3,-11.28,0.43,6,4,66.67,54.05,1.15,7.33,ỔN ĐỊNH VỪA,Mẫu tương đối ổn định nhưng chưa thật sự mạnh.
MBS,OK,2026-06-11,40.0,-7.77,2.7,15,10,66.67,60.14,0.97,8.93,ỔN ĐỊNH VỪA,Mẫu tương đối ổn định nhưng chưa thật sự mạnh.
TCH,OK,2026-06-11,40.3,-12.02,3.09,14,9,64.29,49.18,0.15,8.14,ỔN ĐỊNH VỪA,Mẫu tương đối ổn định nhưng chưa thật sự mạnh.
HDB,OK,2026-06-11,40.96,-10.68,1.21,14,9,64.29,57.58,1.03,7.71,ỔN ĐỊNH VỪA,Mẫu tương đối ổn định nhưng chưa thật sự mạnh.
TNG,OK,2026-06-11,51.72,-3.55,3.26,14,9,64.29,60.02,1.26,10.14,ỔN ĐỊNH VỪA,Mẫu tương đối ổn định nhưng chưa thật sự mạnh.
NT2,OK,2026-06-11,44.44,-6.87,0.9,19,12,63.16,52.57,0.58,8.21,ỔN ĐỊNH VỪA,Mẫu tương đối ổn định nhưng chưa thật sự mạnh.
BMP,OK,2026-06-11,39.39,-10.36,2.74,16,10,62.5,57.52,1.8,7.81,ỔN ĐỊNH VỪA,Mẫu tương đối ổn định nhưng chưa thật sự mạnh.
VCI,OK,2026-06-11,22.41,-11.03,1.08,5,3,60.0,60.76,1.62,5.6,ỔN ĐỊNH VỪA,Mẫu tương đối ổn định nhưng chưa thật sự mạnh.
AGR,OK,2026-06-11,29.03,-6.69,0.36,10,6,60.0,55.58,0.52,8.1,ỔN ĐỊNH VỪA,Mẫu tương đối ổn định nhưng chưa thật sự mạnh.
