train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-15,2024-05-14,2024-05-15,2024-06-14,6,15,60.0,1.03,True
2024-05-15,2024-08-14,2024-08-15,2024-09-14,16,5,20.0,-1.25,False
2024-11-15,2025-02-14,2025-02-15,2025-03-14,5,11,27.27,-0.6,False
2025-02-15,2025-05-14,2025-05-15,2025-06-14,15,21,61.9,2.07,True
2025-03-15,2025-06-14,2025-06-15,2025-07-14,25,5,60.0,0.9,True
2025-04-15,2025-07-14,2025-07-15,2025-08-14,7,15,86.67,7.7,True
2025-07-15,2025-10-14,2025-10-15,2025-11-14,5,8,62.5,1.05,True
2025-08-15,2025-11-14,2025-11-15,2025-12-14,5,18,55.56,1.62,True
2025-09-15,2025-12-14,2025-12-15,2026-01-14,5,9,66.67,1.34,True
2025-12-15,2026-03-14,2026-03-15,2026-04-14,11,12,41.67,0.24,True
2026-01-15,2026-04-14,2026-04-15,2026-05-14,14,7,57.14,0.48,True
2026-02-15,2026-05-14,2026-05-15,2026-06-14,7,8,100.0,1.63,True
