train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-12,2024-05-11,2024-05-12,2024-06-11,14,7,14.29,-0.3,False
2024-05-12,2024-08-11,2024-08-12,2024-09-11,8,7,42.86,-0.29,False
2024-06-12,2024-09-11,2024-09-12,2024-10-11,12,12,41.67,-0.2,False
2024-08-12,2024-11-11,2024-11-12,2024-12-11,12,7,28.57,-0.46,False
2024-10-12,2025-01-11,2025-01-12,2025-02-11,9,6,66.67,0.5,True
2024-11-12,2025-02-11,2025-02-12,2025-03-11,15,17,70.59,0.32,True
2025-02-12,2025-05-11,2025-05-12,2025-06-11,22,5,40.0,0.43,True
2025-03-12,2025-06-11,2025-06-12,2025-07-11,5,11,72.73,2.38,True
2025-05-12,2025-08-11,2025-08-12,2025-09-11,9,11,45.45,2.84,True
2025-09-12,2025-12-11,2025-12-12,2026-01-11,4,5,80.0,2.53,True
